
[00:00:00.000 --> 00:00:05.000]  我為什麼要這樣說呢?
[00:00:05.000 --> 00:00:11.000]  當你有個子女,你很快就會期望
[00:00:11.000 --> 00:00:14.000]  我相信期望是比沒有期望好
[00:00:14.000 --> 00:00:17.000]  很多成功的理論都說
[00:00:17.000 --> 00:00:21.000]  沒有期望的小孩子是沒有出息的
[00:00:21.000 --> 00:00:24.000]  他很快就會對自己沒有期望
[00:00:24.000 --> 00:00:28.000]  但有期望的小孩子就會奮鬥
[00:00:28.000 --> 00:00:31.000]  因為他跟隨了你給他的期望
[00:00:31.000 --> 00:00:33.000]  對自己有期望
[00:00:33.000 --> 00:00:35.000]  不過對自己越有期望
[00:00:35.000 --> 00:00:38.000]  就擺不脫的問題就是
[00:00:38.000 --> 00:00:41.000]  努力不等於一定成功
[00:00:41.000 --> 00:00:43.000]  你生很多個都是女的
[00:00:43.000 --> 00:00:45.000]  你努力未必成功
[00:00:45.000 --> 00:00:49.000]  一個人有期望又努力
[00:00:49.000 --> 00:00:51.000]  但最後都未必成功
[00:00:51.000 --> 00:00:53.000]  譬如用統計學看
[00:00:53.000 --> 00:00:56.000]  一個小孩子最好的家庭
[00:00:56.000 --> 00:00:58.000]  就是家人少
[00:00:58.000 --> 00:01:02.000]  生一個,生一個比生兩個好
[00:01:02.000 --> 00:01:05.000]  生兩個比生三個好
[00:01:05.000 --> 00:01:10.000]  媽媽、爸爸讀書比較多
[00:01:10.000 --> 00:01:12.000]  你說我也知道
[00:01:12.000 --> 00:01:17.000]  讀書多自然影響他聽學問的多
[00:01:17.000 --> 00:01:20.000]  經濟環境好一點是好的
[00:01:20.000 --> 00:01:23.000]  因為爸爸媽媽會有很多東西
[00:01:23.000 --> 00:01:26.000]  買到配合讀書的
[00:01:26.000 --> 00:01:29.000]  甚至升學是對的
[00:01:29.000 --> 00:01:30.000]  有個冷門
[00:01:30.000 --> 00:01:32.000]  這個很重要
[00:01:32.000 --> 00:01:36.000]  媽媽生第一胎
[00:01:36.000 --> 00:01:39.000]  年紀大一點
[00:01:39.000 --> 00:01:42.000]  最好是三十一、二歲
[00:01:42.000 --> 00:01:44.000]  早點說吧
[00:01:44.000 --> 00:01:46.000]  不如遲一點
[00:01:46.000 --> 00:01:52.000]  原因是媽媽的情緒成熟嗎
[00:01:52.000 --> 00:01:55.000]  是唯一遺傳給嬰兒的
[00:01:55.000 --> 00:01:58.000]  智能是沒有遺傳的
[00:01:58.000 --> 00:02:01.000]  大學教授一樣有弱智十元仔
[00:02:01.000 --> 00:02:04.000]  但焦慮是有遺傳的
[00:02:04.000 --> 00:02:11.000]  如果媽媽天天炒股票、罵人、打麻將
[00:02:11.000 --> 00:02:13.000]  那麼刺激呢
[00:02:13.000 --> 00:02:15.000]  小孩子出世也很刺激
[00:02:15.000 --> 00:02:17.000]  哭得冒汗
[00:02:17.000 --> 00:02:20.000]  這些是神經系統接駁的關係
[00:02:20.000 --> 00:02:23.000]  所以媽媽成熟一點
[00:02:23.000 --> 00:02:26.000]  就沒那麼容易大驚小怪
[00:02:26.000 --> 00:02:31.000]  所以十元仔自動學到媽媽的冷靜
[00:02:31.000 --> 00:02:33.000]  這是有關係的
[00:02:33.000 --> 00:02:36.000]  如果第一胎較為冷靜
[00:02:36.000 --> 00:02:40.000]  小孩會學哥哥、姐姐
[00:02:40.000 --> 00:02:42.000]  都是冷靜一點的
[00:02:42.000 --> 00:02:44.000]  平靜有聰敏的反應
[00:02:44.000 --> 00:02:49.000]  所以反應會較為聰明、敏銳
[00:02:49.000 --> 00:02:51.000]  這是理論
[00:02:51.000 --> 00:02:54.000]  但如果我做幾十年
[00:02:54.000 --> 00:02:57.000]  我看這些背景的家庭
[00:02:57.000 --> 00:03:00.000]  不一定小孩會成功
[00:03:00.000 --> 00:03:01.000]  不一定
[00:03:01.000 --> 00:03:04.000]  到了1984年
[00:03:04.000 --> 00:03:07.000]  有很多人叫多元智能
[00:03:07.000 --> 00:03:08.000]  說錯了
[00:03:08.000 --> 00:03:09.000]  是多重智能
[00:03:09.000 --> 00:03:11.000]  趙志宇那個說得對
[00:03:11.000 --> 00:03:13.000]  多重智能是什麼呢
[00:03:13.000 --> 00:03:16.000]  即是你的語言表達好
[00:03:16.000 --> 00:03:18.000]  你的邏輯
[00:03:18.000 --> 00:03:20.000]  即是因果關係的思考好
[00:03:20.000 --> 00:03:22.000]  你的藝術空間好
[00:03:22.000 --> 00:03:24.000]  你的動覺很好
[00:03:24.000 --> 00:03:26.000]  你的音樂感很好
[00:03:26.000 --> 00:03:28.000]  你的反省力很好
[00:03:28.000 --> 00:03:29.000]  你的人際很好
[00:03:29.000 --> 00:03:31.000]  即是七樣基礎智能
[00:03:31.000 --> 00:03:33.000]  不夠
[00:03:33.000 --> 00:03:35.000]  是要重疊的
[00:03:35.000 --> 00:03:37.000]  即是你只有一瓣
[00:03:37.000 --> 00:03:39.000]  不夠用的
[00:03:39.000 --> 00:03:41.000]  譬如你語言很好
[00:03:41.000 --> 00:03:44.000]  你最厲害都是去新城做DJ
[00:03:44.000 --> 00:03:47.000]  你最厲害都是去黃埔
[00:03:47.000 --> 00:03:49.000]  你還要加上
[00:03:49.000 --> 00:03:51.000]  你的邏輯好
[00:03:51.000 --> 00:03:53.000]  你說話就有見地
[00:03:53.000 --> 00:03:55.000]  不然你只是發音
[00:03:55.000 --> 00:03:56.000]  說急口令
[00:03:56.000 --> 00:03:59.000]  或者說一些你認為的急才
[00:03:59.000 --> 00:04:01.000]  但問題是裡面不夠深入
[00:04:01.000 --> 00:04:03.000]  即是邏輯很好
[00:04:03.000 --> 00:04:05.000]  當邏輯好的時候
[00:04:05.000 --> 00:04:07.000]  你的反省力又要很好
[00:04:07.000 --> 00:04:09.000]  你只知道剛才那句話
[00:04:09.000 --> 00:04:11.000]  應該用什麼再配合
[00:04:11.000 --> 00:04:13.000]  更加澎湃
[00:04:13.000 --> 00:04:15.000]  你一定要看到你剛才那句話
[00:04:15.000 --> 00:04:17.000]  有什麼漏洞
[00:04:17.000 --> 00:04:19.000]  到你反省力好
[00:04:19.000 --> 00:04:20.000]  你的人際好
[00:04:20.000 --> 00:04:21.000]  就是不要得罪人
[00:04:21.000 --> 00:04:22.000]  講得利誘
[00:04:22.000 --> 00:04:23.000]  要令人舒服
[00:04:23.000 --> 00:04:25.000]  到你邏輯好
[00:04:25.000 --> 00:04:27.000]  如果你有表情
[00:04:27.000 --> 00:04:29.000]  有動覺配合
[00:04:29.000 --> 00:04:31.000]  你是一個好的演員
[00:04:31.000 --> 00:04:32.000]  你演得好
[00:04:32.000 --> 00:04:33.000]  嘩!即是說
[00:04:33.000 --> 00:04:35.000]  一重一重有
[00:04:35.000 --> 00:04:38.000]  就永遠覺得一樣東西好
[00:04:38.000 --> 00:04:40.000]  所以說十全十美
[00:04:40.000 --> 00:04:42.000]  我想很快就發現到
[00:04:42.000 --> 00:04:44.000]  人生是很極
[00:04:44.000 --> 00:04:46.000]  都還可以好下去
[00:04:46.000 --> 00:04:47.000]  好了
[00:04:47.000 --> 00:04:49.000]  聽完這段就覺得
[00:04:49.000 --> 00:04:50.000]  早點說吧
