
[00:00:00.000 --> 00:00:04.000]  各位聽眾我們從這個星期開始
[00:00:04.000 --> 00:00:06.000]  一年有三個星期
[00:00:06.000 --> 00:00:10.000]  都會將聖經 尤其舊約裏面的智慧文學
[00:00:10.000 --> 00:00:13.000]  和大家一齊看人生
[00:00:13.000 --> 00:00:17.000]  所以大家看到今天我們這個廣告的大綱
[00:00:17.000 --> 00:00:21.000]  就是人間三大智慧的第一講
[00:00:21.000 --> 00:00:23.000]  今天我開始
[00:00:23.000 --> 00:00:25.000]  講什麼呢?那裏寫著
[00:00:25.000 --> 00:00:27.000]  空 虎 情
[00:00:27.000 --> 00:00:29.000]  真的很哲學
[00:00:29.000 --> 00:00:32.000]  在舊約的智慧文學裏面
[00:00:32.000 --> 00:00:35.000]  是一個很深刻的體會
[00:00:35.000 --> 00:00:37.000]  人生的記載
[00:00:37.000 --> 00:00:41.000]  當然不單單只是一個人生哲學
[00:00:41.000 --> 00:00:45.000]  舊約裏面的聖經都是將最後我們一切
[00:00:45.000 --> 00:00:49.000]  生命裏面的體會和要面對的困難
[00:00:49.000 --> 00:00:54.000]  和我們的問題轉向看到受神的生命
[00:00:54.000 --> 00:00:59.000]  所以後面我們會講到信 望 愛
[00:00:59.000 --> 00:01:02.000]  信望愛是我們基督教信仰裏面的特質
[00:01:02.000 --> 00:01:04.000]  所以今天如果你是基督徒當然會明白
[00:01:04.000 --> 00:01:06.000]  但如果你說我還未信
[00:01:06.000 --> 00:01:09.000]  我還在信仰的邊緣或尋求中
[00:01:09.000 --> 00:01:10.000]  歡迎你來
[00:01:10.000 --> 00:01:12.000]  這三次是很適合你的
[00:01:12.000 --> 00:01:14.000]  因為我們一齊思想一下
[00:01:14.000 --> 00:01:17.000]  不單單看人生是怎樣
[00:01:17.000 --> 00:01:20.000]  基督教有很深度對人生的理解
[00:01:20.000 --> 00:01:23.000]  更加重要的是我們要問一個問題
[00:01:23.000 --> 00:01:25.000]  有了神的人
[00:01:25.000 --> 00:01:27.000]  一個相信神的人
[00:01:27.000 --> 00:01:29.000]  和一個不相信神的人
[00:01:29.000 --> 00:01:30.000]  沒有神的人
[00:01:30.000 --> 00:01:34.000]  面對人生同樣的困惑和掙扎的時候
[00:01:34.000 --> 00:01:35.000]  有什麼分別
[00:01:35.000 --> 00:01:37.000]  我們要問的是有什麼分別
[00:01:37.000 --> 00:01:40.000]  如果你想知道請你這三個星期都來
[00:01:40.000 --> 00:01:42.000]  下個星期就很好
[00:01:42.000 --> 00:01:45.000]  由李思敬博士和大家講約伯記
[00:01:45.000 --> 00:01:47.000]  當中人生的苦
[00:01:47.000 --> 00:01:49.000]  再下一次我們林志輝牧師
[00:01:49.000 --> 00:01:51.000]  會和我們講雅歌裏面的情
[00:01:51.000 --> 00:01:53.000]  所以我相信是很精彩的
[00:01:53.000 --> 00:01:57.000]  不過今天我要做一個很大膽的努力
[00:01:57.000 --> 00:02:00.000]  但你看到有些人看見這麼長的大綱
[00:02:00.000 --> 00:02:01.000]  開始擔心
[00:02:01.000 --> 00:02:03.000]  慘了,一會兒怎樣喝茶
[00:02:03.000 --> 00:02:05.000]  有的,我現在努力了
[00:02:05.000 --> 00:02:07.000]  大家一起和我合作
[00:02:07.000 --> 00:02:08.000]  揭得快一點
[00:02:08.000 --> 00:02:10.000]  如果你有聖經的話
[00:02:10.000 --> 00:02:12.000]  我很鼓勵你揭開聖經
[00:02:12.000 --> 00:02:15.000]  因為今天我不是只講剛才讀的那幾節聖經
[00:02:15.000 --> 00:02:20.000]  剛才那幾節就是傳道書最尾那一章兩章
[00:02:20.000 --> 00:02:22.000]  就是十一章和十二章
[00:02:22.000 --> 00:02:24.000]  我今天會講完十二章的傳道書
[00:02:24.000 --> 00:02:27.000]  連綜合來看整個問題
[00:02:27.000 --> 00:02:29.000]  雖然我不可能逐句和大家解釋
[00:02:29.000 --> 00:02:33.000]  但是我希望將中間最重要的訊息
[00:02:33.000 --> 00:02:37.000]  最重要的意義和真理和大家一起分享
[00:02:37.000 --> 00:02:39.000]  如果你手上有聖經的話
[00:02:39.000 --> 00:02:41.000]  都想你一起打開傳道書
[00:02:41.000 --> 00:02:43.000]  就是《詩篇》之後《針研》
[00:02:43.000 --> 00:02:46.000]  揭下去就跟著就是傳道書了
[00:02:46.000 --> 00:02:48.000]  有十二章之多
[00:02:48.000 --> 00:02:52.000]  好,我們一起看看聖經裡面
[00:02:52.000 --> 00:02:54.000]  怎樣看人生
[00:02:54.000 --> 00:02:57.000]  我相信如果你是基督徒
[00:02:57.000 --> 00:02:59.000]  或者你稍微知道傳道書
[00:02:59.000 --> 00:03:01.000]  你一定記得的
[00:03:01.000 --> 00:03:03.000]  傳道書經常出現的是什麼?
[00:03:03.000 --> 00:03:06.000]  虛空的虛空
[00:03:06.000 --> 00:03:08.000]  一切都是虛空
