
[00:00:00.000 --> 00:00:06.000]  各位聽眾,讓我們低頭先做一個禱告
[00:00:06.000 --> 00:00:10.000]  我們將下面的時間交給你
[00:00:10.000 --> 00:00:15.000]  教你的說話直接對講的和聽的都去建立他們
[00:00:15.000 --> 00:00:20.000]  讓他們知道你怎樣去看性和愛
[00:00:20.000 --> 00:00:25.000]  又讓我們聽了你的說話的時候都按你的教導來行
[00:00:25.000 --> 00:00:27.000]  奉主耶穌的命求
[00:00:27.000 --> 00:00:33.000]  過幾個星期前我們有機會去探望上面的一些頂尖智慧
[00:00:33.000 --> 00:00:36.000]  我們約了他們一起去北京
[00:00:36.000 --> 00:00:43.000]  主要原因就是兩個月前我們聽到上面我們認識的一些教會領袖
[00:00:43.000 --> 00:00:45.000]  有四十個人被抓了
[00:00:45.000 --> 00:00:51.000]  當關了三個星期之後他們放出來
[00:00:51.000 --> 00:00:53.000]  我們都很掛念他們
[00:00:53.000 --> 00:00:57.000]  因為這個原因我們都很想去見一見他們
[00:00:57.000 --> 00:00:59.000]  和他們溝通一下鼓勵他們
[00:00:59.000 --> 00:01:01.000]  我們去到開心的一件事
[00:01:01.000 --> 00:01:05.000]  就是這四十個頂尖智慧被人抓了的時候
[00:01:05.000 --> 00:01:08.000]  公安要求他們每個人罰2000元人民幣
[00:01:08.000 --> 00:01:10.000]  但是他們說我們沒有錢
[00:01:10.000 --> 00:01:12.000]  第二我們不覺得我們做錯
[00:01:12.000 --> 00:01:15.000]  我們在祈禱為什麼你要抓我們
[00:01:15.000 --> 00:01:20.000]  所以他們就堅持不交這些罰款
[00:01:20.000 --> 00:01:22.000]  他們寧願坐牢
[00:01:22.000 --> 00:01:28.000]  因為這個原因沒有審判就抓了他們坐牢
[00:01:28.000 --> 00:01:30.000]  但是這班頂尖智慧和我們分享的時候
[00:01:30.000 --> 00:01:32.000]  我們初期想著要安慰他們鼓勵他們
[00:01:32.000 --> 00:01:36.000]  想都沒想到他們坐得這麼開心
[00:01:36.000 --> 00:01:41.000]  坐牢前當中有十幾個同工是很怕公安的
[00:01:41.000 --> 00:01:43.000]  誰知坐完牢之後不怕了
[00:01:43.000 --> 00:01:47.000]  現在更加放膽打開門來崇拜
[00:01:47.000 --> 00:01:50.000]  現在直接開門來崇拜
