
[00:00:00.000 --> 00:00:06.520]  最終我們就過了七年的大災難
[00:00:06.520 --> 00:00:10.760]  好像我太太說每次都是大災難
[00:00:10.760 --> 00:00:12.760]  好像很煩那樣
[00:00:12.760 --> 00:00:14.760]  我們現在已經過了
[00:00:14.760 --> 00:00:22.520]  17、18節章都是說到大巴比倫
[00:00:22.520 --> 00:00:26.320]  是說到兩個當時世界的情況
[00:00:26.320 --> 00:00:30.640]  第17章是說到假宗教的大合一
[00:00:30.640 --> 00:00:34.640]  目的就是要人敬拜迪基督和撒旦
[00:00:34.640 --> 00:00:38.720]  但這個運動當我們查了第17章的時候
[00:00:38.720 --> 00:00:42.240]  我們知道是在大災難的中期
[00:00:42.240 --> 00:00:44.880]  是被迪基督毀滅的
[00:00:44.880 --> 00:00:46.880]  因為在大災難的一半
[00:00:46.880 --> 00:00:50.720]  迪基督已經是不需要這個宗教大合一運動了
[00:00:50.720 --> 00:00:53.720]  他已經進入了聖殿裡面
[00:00:53.720 --> 00:00:55.520]  叫人敬拜他
[00:00:55.520 --> 00:00:59.520]  也有那隻在地裡面出來的獸
[00:00:59.520 --> 00:01:01.320]  就是所謂的假先知
[00:01:01.320 --> 00:01:04.720]  是叫天下的人都拜迪基督為神
[00:01:04.720 --> 00:01:08.920]  所以17章是記載了在三年半差不多的時間
[00:01:08.920 --> 00:01:13.320]  迪基督是滅了這個假的宗教合一運動
[00:01:13.320 --> 00:01:18.320]  第18章就說到將來會有第二個巴比倫的大淫婦
[00:01:18.320 --> 00:01:22.920]  而這個我覺得應該是在後三年半
[00:01:22.920 --> 00:01:28.520]  就是一個以迪基督為中心的經濟和政治的體系
[00:01:28.520 --> 00:01:35.120]  上一次我有略略一提到共產主義和資本主義
[00:01:35.120 --> 00:01:39.720]  我想多說幾句來讓大家清晰一點
[00:01:39.720 --> 00:01:43.120]  當我們看這個世界的時局的時候
[00:01:43.120 --> 00:01:47.120]  可能我們有多一個不同角度的看法
[00:01:47.120 --> 00:01:53.320]  上次我提到當今主要的經濟和政治的體系
[00:01:53.320 --> 00:01:54.920]  兩者是連在一起的
[00:01:54.920 --> 00:01:58.320]  就是共產主義和資本主義
[00:01:58.320 --> 00:02:00.720]  兩個哪個比較好呢
[00:02:00.720 --> 00:02:04.320]  其實兩個都有它的弱點
[00:02:04.320 --> 00:02:09.120]  因為這些是罪惡的人所想出來的制度
[00:02:09.120 --> 00:02:11.920]  如果你說資本主義
[00:02:11.920 --> 00:02:15.920]  我們現在美國和西方是行資本主義的
[00:02:15.920 --> 00:02:17.920]  資本主義是說什麼呢
[00:02:17.920 --> 00:02:29.520]  說生產、經濟要賺錢、消費、奢華、貪婪、競爭、手段、計謀
[00:02:29.520 --> 00:02:33.120]  弱肉強食、剝削、貪婪
[00:02:33.120 --> 00:02:35.720]  人成為賺錢的機器
[00:02:35.720 --> 00:02:44.920]  也是用其他人的勞力讓資本家能夠賺取利潤
[00:02:44.920 --> 00:02:47.920]  這個是資本主義
[00:02:47.920 --> 00:02:51.920]  共產主義是無神的
[00:02:51.920 --> 00:02:53.920]  是特權主義
[00:02:53.920 --> 00:02:56.920]  可以說是相當殘酷的
[00:02:56.920 --> 00:02:58.920]  也是貪婪的
[00:02:58.920 --> 00:03:01.920]  你看看在共產主義之下
[00:03:01.920 --> 00:03:05.920]  芝麻綠豆的官都可以貪幾億的
[00:03:05.920 --> 00:03:12.920]  虛假、欺詐、欺凌、管制自由、不講人權
[00:03:12.920 --> 00:03:14.920]  沒有了個人的價值
[00:03:14.920 --> 00:03:19.920]  所以共產主義和資本主義都有它的弱點
[00:03:19.920 --> 00:03:23.920]  但過去美國這二百年我們所看到的是什麼呢
[00:03:23.920 --> 00:03:25.920]  是資本主義
[00:03:25.920 --> 00:03:29.920]  但當它有基督教的背景
[00:03:29.920 --> 00:03:35.920]  用聖經的教導來規限資本主義的時候
[00:03:35.920 --> 00:03:40.920]  這個資本主義就多了一點公義、多了一點廉潔
[00:03:40.920 --> 00:03:55.920]  多了公平競爭、扶弱坐強、人情味、商業道德、善待員工、公平工資
[00:03:55.920 --> 00:03:58.920]  有這些規限
[00:03:58.920 --> 00:04:06.920]  資本主義的弱肉強食的特質就被圈住了
[00:04:06.920 --> 00:04:12.920]  但當我們基督教對美國的影響越來越少的時候
[00:04:12.920 --> 00:04:18.920]  資本主義那種貪婪的特性就會走出來
[00:04:18.920 --> 00:04:21.920]  如果我問大家
[00:04:21.920 --> 00:04:26.920]  在末世在主耶穌回來之前或者在七年大災難當中
[00:04:26.920 --> 00:04:31.920]  到底剩下來的是資本主義還是共產主義呢
[00:04:31.920 --> 00:04:36.920]  到時基督所行的是資本主義還是共產主義呢
[00:04:36.920 --> 00:04:39.920]  其實答案上次我都講過了
[00:04:39.920 --> 00:04:41.920]  去到第十八章的時候
[00:04:41.920 --> 00:04:46.920]  當我們看到十八章所表現出來的是資本主義
[00:04:46.920 --> 00:04:53.920]  是一個貪婪、一個利潤、奢華、享受、賺錢
[00:04:53.920 --> 00:04:57.920]  這種不像是共產主義
[00:04:57.920 --> 00:05:00.920]  應該剩下來的就是資本主義
[00:05:00.920 --> 00:05:05.920]  所以這兩個世界陣營的走勢
[00:05:05.920 --> 00:05:11.920]  應該資本主義可以走到迪基督的時代
[00:05:11.920 --> 00:05:13.920]  去到七年的災難
[00:05:13.920 --> 00:05:17.920]  而共產主義我們看到它是弱了的
[00:05:17.920 --> 00:05:20.920]  很明顯當蘇聯解體之後
[00:05:20.920 --> 00:05:25.920]  現在唯一的就只是中國
[00:05:25.920 --> 00:05:30.920]  除了中國之外我數來數去都只有六七個國家
[00:05:30.920 --> 00:05:34.920]  越南、北韓、老哥、古巴
[00:05:34.920 --> 00:05:38.920]  然後連南美的委內瑞拉都算進去
[00:05:38.920 --> 00:05:40.920]  全部都是只有六個國家
[00:05:40.920 --> 00:05:46.920]  而這六個國家唯一可以叫做有實力的經濟強國
[00:05:46.920 --> 00:05:48.920]  都只是中國
[00:05:48.920 --> 00:05:54.920]  我們就要看一下究竟聖經給我們的提示
[00:05:54.920 --> 00:05:58.920]  到底當我們看這個世界局勢的時候
[00:05:58.920 --> 00:06:01.920]  是不是資本主義一直會強盛
[00:06:01.920 --> 00:06:06.920]  而共產主義會在末世的時候式微
[00:06:06.920 --> 00:06:08.920]  我們拭目以待
[00:06:08.920 --> 00:06:13.920]  接著我就要擺一個share screen
[00:06:13.920 --> 00:06:21.920]  我想和大家複習一下我們整體的時間性
[00:06:21.920 --> 00:06:27.920]  現在大家看到我將這個從末世到新天新地
[00:06:27.920 --> 00:06:31.920]  和我以前擺出來是熟口熟面的
[00:06:31.920 --> 00:06:34.920]  我以前擺出來沒有這麼多的資料
[00:06:34.920 --> 00:06:39.920]  因為當時我們還沒查到現在進入第十九章
[00:06:39.920 --> 00:06:42.920]  所以有些資料我還沒放進去
[00:06:42.920 --> 00:06:44.920]  但我們現在要來看一看
[00:06:44.920 --> 00:06:48.920]  中間那裡就是時代
[00:06:48.920 --> 00:06:51.920]  很明顯七年大災難
[00:06:51.920 --> 00:06:54.920]  時間那裡是不成比例的
[00:06:54.920 --> 00:06:57.920]  新約教會時代我們現在只是處於末世
[00:06:57.920 --> 00:07:00.920]  末世就是主耶穌升天之後
[00:07:00.920 --> 00:07:05.920]  一直到七年大災難都是教會時代或者末世
[00:07:05.920 --> 00:07:07.920]  已經是二千年了
[00:07:07.920 --> 00:07:12.920]  二千年沒理由和七年好像七年比過去還要寬
[00:07:12.920 --> 00:07:15.920]  所以這個時間是不成比例的
[00:07:15.920 --> 00:07:19.920]  後面的千禧年又一千年應該很寬
[00:07:19.920 --> 00:07:22.920]  但我們是不按比例的
[00:07:22.920 --> 00:07:25.920]  因為我很多資料要放在七年大災難
[00:07:25.920 --> 00:07:29.920]  因為過去這麼多個星期我們都是在七年大災難
[00:07:29.920 --> 00:07:32.920]  所以這個是不成比例的
[00:07:32.920 --> 00:07:38.920]  我也將我要表達的時間推進
[00:07:38.920 --> 00:07:42.920]  用ABCDE方便我們看
[00:07:42.920 --> 00:07:46.920]  首先要quote主耶穌在馬太福音24:21那裡
[00:07:46.920 --> 00:07:50.920]  因為那時必有大災難
[00:07:50.920 --> 00:07:56.920]  所以我們知道中間七年大災難藍色那個是必然會出現的
[00:07:56.920 --> 00:07:59.920]  耶穌說從世界的起頭直到如今
[00:07:59.920 --> 00:08:04.920]  沒有這樣的災難後來也沒有
[00:08:04.920 --> 00:08:07.920]  我們從六章到第十八章
[00:08:07.920 --> 00:08:11.920]  我們看到七年大災難那個慘的情況
[00:08:11.920 --> 00:08:15.920]  七人之災應該是在初期的
[00:08:15.920 --> 00:08:20.920]  包括騎著白馬出來是世界和平的
[00:08:20.920 --> 00:08:27.920]  但之後七號之災七碗之災就將我們帶到災難的尾段
[00:08:27.920 --> 00:08:30.920]  我們首先來看看A
[00:08:30.920 --> 00:08:34.920]  A就是七年大災難的開始
[00:08:34.920 --> 00:08:37.920]  新約教會時代的結束
[00:08:37.920 --> 00:08:41.920]  這裡我說的是滴基督興起一定會出現的
[00:08:41.920 --> 00:08:46.920]  這個大家可以寫在旁邊是帖後第二章
[00:08:46.920 --> 00:08:50.920]  保羅解釋給鐵達萊加教會很清楚
[00:08:50.920 --> 00:08:53.920]  滴基督一天未出現
[00:08:53.920 --> 00:08:57.920]  一天我們都未進到七年的大災難
[00:08:57.920 --> 00:09:03.920]  第三聖殿建成就是滴基督為了討好猶太人
[00:09:03.920 --> 00:09:07.920]  他建了第三個聖殿在聖殿山上
[00:09:07.920 --> 00:09:10.920]  讓猶太人可以恢復祭祀
[00:09:10.920 --> 00:09:13.920]  為什麼我們知道是恢復祭祀呢?
[00:09:13.920 --> 00:09:16.920]  因為你看下去下面那裡
[00:09:16.920 --> 00:09:22.920]  E那裡是一七之半他必叫祭祀與貢獻止息
[00:09:22.920 --> 00:09:25.920]  這是《淡爾理書》第九章
[00:09:25.920 --> 00:09:27.920]  在大災難的中間
