
[00:00:00.000 --> 00:00:05.280]  我們首先低頭祈禱
[00:00:05.280 --> 00:00:10.840]  祝賀多謝你給我們機會來到敬拜你
[00:00:10.840 --> 00:00:13.520]  你真是配得上我們的敬拜
[00:00:13.520 --> 00:00:14.880]  我們的讚命
[00:00:14.880 --> 00:00:18.440]  我們在這一刻安靜我們的心
[00:00:18.440 --> 00:00:20.600]  對我們每一個人講說話
[00:00:20.600 --> 00:00:23.440]  為了祈禱馮主耶穌基督名球
[00:00:23.440 --> 00:00:30.800]  有一個牧師叫做Cory Tan Boon
[00:00:30.800 --> 00:00:32.240]  名字很有趣
[00:00:32.240 --> 00:00:34.000]  因為他是荷蘭人
[00:00:34.000 --> 00:00:37.600]  Cory的爸爸也是牧師
[00:00:37.600 --> 00:00:40.800]  第二次世界大戰的時候
[00:00:40.800 --> 00:00:44.400]  他的爸爸病了一些猶太人
[00:00:44.400 --> 00:00:48.720]  因為這樣他們被納粹黨抓去坐牢
[00:00:48.720 --> 00:00:51.960]  後來就去到集中營
[00:00:51.960 --> 00:00:54.960]  他一個一個的親人
[00:00:54.960 --> 00:00:59.560]  例如他姐姐在集中營裡離世
[00:00:59.560 --> 00:01:02.160]  不過Cory沒事
[00:01:02.160 --> 00:01:05.760]  他過了之後就放出來
[00:01:05.760 --> 00:01:07.720]  放出來之後怎樣呢
[00:01:07.720 --> 00:01:10.600]  他一樣熱心侍奉主
[00:01:10.600 --> 00:01:12.280]  他為主做了很多事
[00:01:12.280 --> 00:01:13.400]  他甚至寫了一些書
[00:01:13.400 --> 00:01:15.200]  所以有時候我們看到他的東西
[00:01:15.200 --> 00:01:17.720]  就是因為那本書
[00:01:17.720 --> 00:01:19.800]  試過有人問他一個問題
[00:01:19.800 --> 00:01:25.680]  問題就是為何經過一個這麼艱苦
[00:01:25.680 --> 00:01:28.320]  這麼大挫折的經驗
[00:01:28.320 --> 00:01:29.800]  這麼悽慘的經驗
[00:01:29.800 --> 00:01:31.680]  竟然好像沒什麼事
[00:01:31.680 --> 00:01:35.320]  為何你的信心還可以堅持
[00:01:35.320 --> 00:01:36.840]  Cory說了一句話
[00:01:36.840 --> 00:01:39.400]  我覺得很值得我們思想
[00:01:39.400 --> 00:01:42.960]  他說當我們正在坐一輛火車
[00:01:42.960 --> 00:01:47.960]  而那輛火車正在走進黑洞的時候
[00:01:47.960 --> 00:01:50.040]  我們會怎樣做呢
[00:01:50.040 --> 00:01:52.600]  我們會繼續坐在那輛車
[00:01:52.600 --> 00:01:55.080]  相信它帶我們進黑洞
[00:01:55.080 --> 00:02:00.440]  而會將黑洞那裡帶我們出來
[00:02:00.440 --> 00:02:02.720]  他的意思就是說
[00:02:02.720 --> 00:02:05.360]  當時他就好像坐著一輛火車
[00:02:05.360 --> 00:02:07.640]  神帶領他進入黑洞
[00:02:07.640 --> 00:02:14.400]  他就相信主在黑洞那裡帶出來
[00:02:14.400 --> 00:02:16.000]  如果這樣說的話
[00:02:16.000 --> 00:02:17.840]  今天我們讀過經文這班人
[00:02:17.840 --> 00:02:19.680]  《耶利米書》29章這班人
[00:02:19.680 --> 00:02:23.560]  正正就是進入黑洞的那一刻
[00:02:23.560 --> 00:02:26.840]  時間差不多是597
[00:02:26.840 --> 00:02:28.360]  主前597
[00:02:28.360 --> 00:02:31.400]  那件事就是我們經常說避露
[00:02:31.400 --> 00:02:33.120]  實在避露之前
[00:02:33.120 --> 00:02:36.480]  就是由大國滅亡之前
[00:02:36.480 --> 00:02:37.920]  差不多10年
[00:02:37.920 --> 00:02:40.360]  就已經有一班人是避露了
[00:02:40.360 --> 00:02:43.480]  所以我們經常聽誕意理才知道
[00:02:43.480 --> 00:02:46.840]  以西傑先知那些
[00:02:46.840 --> 00:02:49.680]  就是第一批避露那班人
[00:02:49.680 --> 00:02:53.520]  現在這一封信就是第一批避露了
[00:02:53.520 --> 00:02:56.560]  但是耶路撒冷未真是被滅
[00:02:56.560 --> 00:02:58.320]  那10年間
[00:02:58.320 --> 00:03:01.080]  實在應該是頭一兩年左右
[00:03:01.080 --> 00:03:04.200]  神透過耶利米才寫信給那些
[00:03:04.200 --> 00:03:06.440]  已經避露了那班人
[00:03:06.440 --> 00:03:08.160]  就說了剛才那些說話
[00:03:08.160 --> 00:03:09.400]  大家想想
[00:03:09.400 --> 00:03:10.720]  如果我們是那班人
[00:03:10.720 --> 00:03:13.160]  我們很想聽到的信息是什麼
[00:03:13.160 --> 00:03:15.080]  很想聽到的信息就是神跟我們說
[00:03:15.080 --> 00:03:16.080]  沒事的
[00:03:16.080 --> 00:03:19.520]  很快我們就喜歡出埃及地帶領你們回來
[00:03:19.520 --> 00:03:20.960]  過紅海
[00:03:20.960 --> 00:03:25.200]  馬拿在抗夜那些經驗
[00:03:25.200 --> 00:03:26.400]  就帶你們回來
[00:03:26.400 --> 00:03:29.560]  我們很想聽的信息就是這樣的信息
[00:03:29.560 --> 00:03:31.360]  何不知呢
[00:03:31.360 --> 00:03:35.640]  神跟他們說的信息就是剛才我們讀的信息
[00:03:35.640 --> 00:03:38.200]  基本上就是說不會的
[00:03:38.200 --> 00:03:40.520]  這件事不會這麼快就完的
[00:03:40.520 --> 00:03:42.960]  你們要等候
[00:03:42.960 --> 00:03:48.360]  你們要用信心安靜的等候我的工作
[00:03:48.360 --> 00:03:49.760]  在這個等候之間
[00:03:49.760 --> 00:03:52.160]  實在神跟他們說了什麼信息呢
[00:03:52.160 --> 00:03:54.440]  就是第五第六節了
