
[00:00:00.000 --> 00:00:02.300]  我們先低頭禱告
[00:00:02.300 --> 00:00:05.700]  祝求你安靜我們的心
[00:00:05.700 --> 00:00:10.100]  讓我們的心靈向你躺開
[00:00:10.100 --> 00:00:13.700]  讓我們能夠聽到你的說話
[00:00:13.700 --> 00:00:17.520]  又讓我們的心能夠
[00:00:17.520 --> 00:00:19.920]  被你的靈提升
[00:00:19.920 --> 00:00:21.920]  可以敬拜你
[00:00:21.920 --> 00:00:23.560]  去近見你
[00:00:23.560 --> 00:00:27.920]  祝求你在我們當中
[00:00:28.240 --> 00:00:30.800]  你成為敬拜的對象
[00:00:30.800 --> 00:00:33.500]  我們是一個蒙福的人
[00:00:33.500 --> 00:00:37.180]  求你賜給我們這個會場
[00:00:37.180 --> 00:00:38.920]  有一個敬拜的氣氛
[00:00:38.920 --> 00:00:43.380]  幫助我們能夠在你的裡面
[00:00:43.380 --> 00:00:45.140]  我們的交通
[00:00:45.140 --> 00:00:47.280]  我們彼此的勉勵
[00:00:47.280 --> 00:00:49.360]  都蒙你的悅納
[00:00:49.360 --> 00:00:51.080]  蒙你的賜福
[00:00:51.080 --> 00:00:54.760]  祈禱是奉主耶穌基督的名字
[00:00:54.760 --> 00:00:56.160]  阿門
[00:00:57.160 --> 00:01:00.860]  這個碑子的比喻
[00:01:00.860 --> 00:01:02.860]  是分開兩部分的
[00:01:02.860 --> 00:01:06.100]  24-30節
[00:01:06.100 --> 00:01:08.520]  是那個比喻的本身
[00:01:08.520 --> 00:01:10.420]  相當清楚
[00:01:10.420 --> 00:01:14.540]  除了碑子是什麼回事
[00:01:14.540 --> 00:01:16.320]  需要解釋之外
[00:01:16.320 --> 00:01:18.100]  我們整個比喻
[00:01:18.100 --> 00:01:20.300]  一讀就可以明白的
[00:01:20.300 --> 00:01:23.260]  36-43節
[00:01:23.260 --> 00:01:26.020]  是馬太加上去的解釋
[00:01:27.020 --> 00:01:29.020]  特點呢
[00:01:29.020 --> 00:01:31.080]  只有馬太有
[00:01:31.080 --> 00:01:33.080]  如果同一個比喻
[00:01:33.080 --> 00:01:35.420]  記載在馬太和盧嘉
[00:01:35.420 --> 00:01:36.380]  你就會發覺
[00:01:36.380 --> 00:01:38.120]  盧嘉是沒有解釋的
[00:01:38.120 --> 00:01:40.280]  他就是將比喻講了
[00:01:40.280 --> 00:01:42.860]  但是馬太就更加有解釋
[00:01:42.860 --> 00:01:43.860]  而解釋呢
[00:01:43.860 --> 00:01:45.060]  他是用一個
[00:01:45.060 --> 00:01:45.900]  叫做
[00:01:45.900 --> 00:01:47.200]  如意法
[00:01:47.200 --> 00:01:48.980]  Eligorical
[00:01:48.980 --> 00:01:50.720]  如意法
[00:01:50.720 --> 00:01:53.500]  如意法
[00:01:53.500 --> 00:01:56.220]  特別是在這個碑子比喻
[00:01:56.220 --> 00:01:59.220]  是發揮得最臨近的
[00:01:59.220 --> 00:02:00.980]  那個方程式
[00:02:00.980 --> 00:02:02.020]  就是說
[00:02:02.020 --> 00:02:03.300]  天國
[00:02:03.300 --> 00:02:05.500]  就事密密
[00:02:05.500 --> 00:02:06.460]  或者說
[00:02:06.460 --> 00:02:07.460]  殺種
[00:02:07.460 --> 00:02:08.540]  就事密密
[00:02:08.540 --> 00:02:10.060]  那個就事
[00:02:10.060 --> 00:02:11.900]  就是用來表示
