
[00:00:00.000 --> 00:00:06.000]  各位親愛的兄弟姐妹平安
[00:00:06.000 --> 00:00:10.000]  你們從來有沒有見過有些人
[00:00:10.000 --> 00:00:14.000]  是自以為了不起 不可一世
[00:00:14.000 --> 00:00:18.000]  看不起人 見低就踩
[00:00:18.000 --> 00:00:22.000]  見高就拜的那些人
[00:00:22.000 --> 00:00:26.000]  我們見到在今天這個世界裏面充滿這些人
[00:00:26.000 --> 00:00:30.000]  覺得他們自己 由國家開始
[00:00:30.000 --> 00:00:34.000]  我們的國家是擁有全世界最好的醫療設備
[00:00:34.000 --> 00:00:38.000]  最好的藥物 最好的醫療團隊
[00:00:38.000 --> 00:00:42.000]  所以我們不怕新冠肺炎
[00:00:42.000 --> 00:00:46.000]  有沒有聽過呢
[00:00:46.000 --> 00:00:50.000]  當我們看到現在的時間
[00:00:50.000 --> 00:00:54.000]  原來曾經誇口
[00:00:54.000 --> 00:00:58.000]  是擁有全球最佳的藥物
[00:00:58.000 --> 00:01:02.000]  最佳的醫療團隊 最佳的醫療設備
[00:01:02.000 --> 00:01:08.000]  各方面的東西的 正正就是全世界幻想新冠肺炎最多的國家
[00:01:08.000 --> 00:01:12.000]  而死亡也是最多的國家
[00:01:12.000 --> 00:01:16.000]  另一方面 以企業 以個人來說
[00:01:16.000 --> 00:01:20.000]  都是一樣 是曾經風靡一時
[00:01:20.000 --> 00:01:24.000]  是因為地產 發跡 各方面的東西
[00:01:24.000 --> 00:01:28.000]  開始越來越多發展
[00:01:28.000 --> 00:01:32.000]  足球隊要擁有全亞洲最好的足球隊
[00:01:32.000 --> 00:01:36.000]  什麼都要贏 什麼都要盡
[00:01:36.000 --> 00:01:40.000]  他的業務發展 也不只是地產
[00:01:40.000 --> 00:01:44.000]  而是各行各業都有他的份
[00:01:44.000 --> 00:01:48.000]  曾幾何時 很多人一提到這個名字
[00:01:48.000 --> 00:01:52.000]  是沒有人不認識的一個名字
[00:01:52.000 --> 00:01:56.000]  但現在已經面臨破產的邊緣
[00:01:56.000 --> 00:02:00.000]  各位頂尖的姐妹們
[00:02:00.000 --> 00:02:04.000]  今天我也要和大家介紹一個霸主
[00:02:04.000 --> 00:02:08.000]  但後來就成為一個全球最富有的國家
[00:02:08.000 --> 00:02:12.000]  這個國家到底是什麼呢
[00:02:12.000 --> 00:02:16.000]  他的名字叫做巴比倫
[00:02:16.000 --> 00:02:20.000]  啟示錄稱他為大巴比倫
[00:02:20.000 --> 00:02:24.000]  到底這個大巴比倫和歷史的巴比倫
[00:02:24.000 --> 00:02:28.000]  有什麼關係呢
[00:02:28.000 --> 00:02:32.000]  如果大家有留意整本聖經的記載
[00:02:32.000 --> 00:02:36.000]  你會發覺到這個巴比倫
[00:02:36.000 --> 00:02:40.000]  和大巴比倫等等 都是特別針對一個城市
[00:02:40.000 --> 00:02:44.000]  而另一方面 我們也去看一看
[00:02:44.000 --> 00:02:48.000]  原來舊約先知預言到巴比倫
[00:02:48.000 --> 00:02:52.000]  未來的命運 還有啟示錄
[00:02:52.000 --> 00:02:56.000]  啟示錄記載到巴比倫
[00:02:56.000 --> 00:03:00.000]  末後七年大災難的時候
[00:03:00.000 --> 00:03:04.000]  他的遭遇 完全逐字應驗
[00:03:04.000 --> 00:03:08.000]  是因為這樣 我們今天就要做一個
[00:03:08.000 --> 00:03:12.000]  非常清晰的一個聖經
[00:03:12.000 --> 00:03:16.000]  這個聖經就是說
[00:03:16.000 --> 00:03:20.000]  舊約歷史的巴比倫
[00:03:20.000 --> 00:03:24.000]  正正就是啟示錄裏面預言
[00:03:24.000 --> 00:03:30.000]  將要一方面成為全球最富有的一個國家
[00:03:30.000 --> 00:03:36.000]  但另一方面 他也成為一個極速滅亡的一個國家
[00:03:36.000 --> 00:03:40.000]  完全是指入同一個城市
[00:03:40.000 --> 00:03:44.000]  同一個首都 甚至同一個國家
[00:03:44.000 --> 00:03:48.000]  歷史上的巴比倫 有解經家
[00:03:48.000 --> 00:03:52.000]  就將他逐步逐步追的時候
[00:03:52.000 --> 00:03:56.000]  就追到巴別塔開始
[00:03:56.000 --> 00:04:00.000]  他們說巴比倫其實那個位置本身
[00:04:00.000 --> 00:04:04.000]  正正就是舊約聖經創世紀十一章
[00:04:04.000 --> 00:04:08.000]  是巴別塔那個鎖塞地
[00:04:08.000 --> 00:04:12.000]  是人自己要去到最高
[00:04:12.000 --> 00:04:16.000]  什麼都是最高 要和上帝一樣
[00:04:16.000 --> 00:04:20.000]  然後我們看一看 以塞瓦書十四章
[00:04:20.000 --> 00:04:28.000]  十三到十四節 是論及歷史上的尼布甲尼撒王的時候
[00:04:28.000 --> 00:04:32.000]  以塞瓦曾經錄出這一段這樣的經文
[00:04:32.000 --> 00:04:36.000]  他說 你就是尼布甲尼撒
[00:04:36.000 --> 00:04:40.000]  心裡曾說 我要升到天上
[00:04:40.000 --> 00:04:44.000]  我要高舉我的寶座 在神眾星以上
[00:04:44.000 --> 00:04:48.000]  我要坐在聚會的山上 在北方的極處
[00:04:48.000 --> 00:04:53.000]  我要升到高雲之上 我要與至上者同等
[00:04:53.000 --> 00:04:59.000]  我要 我要 我要 我要 我要 前後五次我要
[00:04:59.000 --> 00:05:02.000]  我們可以看到這個巴比倫王
[00:05:02.000 --> 00:05:07.000]  他是目中無人 心中無神的一個人
[00:05:07.000 --> 00:05:10.000]  是因為這樣的緣故 我們看得到
[00:05:10.000 --> 00:05:13.000]  為什麼他要打完一個國家 又要打一個國家
[00:05:13.000 --> 00:05:16.000]  滅完一個國家 又要滅一個國家
[00:05:16.000 --> 00:05:20.000]  全部將這些他已經打敗了的人
[00:05:20.000 --> 00:05:24.000]  殺得了就殺 然後就俘虜他們去巴比倫
[00:05:24.000 --> 00:05:29.000]  來做苦刑 地圖全部納為己有
[00:05:29.000 --> 00:05:32.000]  當作是他自己的地圖
[00:05:32.000 --> 00:05:36.000]  現在我們要看一看 到底這個巴比倫
[00:05:36.000 --> 00:05:40.000]  和啟示錄十七十八章那個巴比倫
[00:05:40.000 --> 00:05:45.000]  有沒有一點真真正正是叫做相近的地方
[00:05:45.000 --> 00:05:52.000]  我們留意看 耶利米書是耶穌降生前
[00:05:52.000 --> 00:05:59.000]  五百多六百年 是耶利米先知所寫的
[00:05:59.000 --> 00:06:05.000]  在他的預言裡面 我們確是發現到啟示錄十七十八章
[00:06:05.000 --> 00:06:11.000]  完完全全的續字應驗 舉個例子
[00:06:11.000 --> 00:06:17.000]  耶利米書五十一章 第二節 第七節
[00:06:17.000 --> 00:06:21.000]  巴比倫蘇萊契耶和華手中的金杯
[00:06:21.000 --> 00:06:25.000]  啟示錄十七章第四和十八章第六
[00:06:25.000 --> 00:06:29.000]  他是手拿金杯 然後耶利米書五十一章十三
[00:06:29.000 --> 00:06:33.000]  他住在重水之上 然後啟示錄就告訴他
[00:06:33.000 --> 00:06:37.000]  他是坐在重水之上 是什麼意思呢?
[00:06:37.000 --> 00:06:44.000]  一會兒我們去講 第三是萬國喝醉了他的酒
[00:06:44.000 --> 00:06:49.000]  就瘋狂 在耶利米書五十一章第七節下半段
[00:06:49.000 --> 00:06:52.000]  另外啟示錄十八章第三節
[00:06:52.000 --> 00:06:57.000]  住在地上的人喝醉了他淫亂的酒
[00:06:57.000 --> 00:07:01.000]  十七章第二十八章第三 都是這麼說
[00:07:01.000 --> 00:07:07.000]  然後 舊約耶利米書稱這個叫巴比倫
[00:07:07.000 --> 00:07:12.000]  五十章第一節 來到啟示錄同樣稱他為巴比倫
[00:07:12.000 --> 00:07:15.000]  十七章第五十八章第十
