
[00:00:00.000 --> 00:00:02.000]  (字幕: 丹爾里)
[00:00:02.000 --> 00:00:06.080]  丹爾里書是一本很奇妙的書
[00:00:06.080 --> 00:00:10.720]  丹爾里書是包括人物和歷史
[00:00:10.720 --> 00:00:13.760]  我們今天已經去到第七章
[00:00:13.760 --> 00:00:16.720]  丹爾里書的第一章至到第六章
[00:00:16.720 --> 00:00:20.160]  都是集中在人物和歷史
[00:00:20.160 --> 00:00:21.600]  人物是誰呢
[00:00:21.600 --> 00:00:23.440]  當然就是丹爾里先
[00:00:23.440 --> 00:00:26.520]  丹爾里是一個很不平凡的人
[00:00:26.520 --> 00:00:29.840]  出生在一個很不平凡的時代
[00:00:30.600 --> 00:00:33.200]  他從小就已經被撈到巴比倫
[00:00:33.200 --> 00:00:34.640]  是一個亡國奴
[00:00:34.640 --> 00:00:38.880]  他也去到異國身不由己
[00:00:38.880 --> 00:00:41.520]  在那裡被逼成為太監
[00:00:41.520 --> 00:00:44.080]  但是神仍然很顧念他
[00:00:44.080 --> 00:00:46.800]  在那裡神沒有離開過他
[00:00:46.800 --> 00:00:49.480]  他在那裡被王賞識
[00:00:49.480 --> 00:00:53.280]  在那裡擔任一個很高的位置
[00:00:53.280 --> 00:00:58.360]  神用他來保護亡國的猶太人
[00:00:58.360 --> 00:01:02.520]  丹爾里書也是一本歷史的書
[00:01:02.520 --> 00:01:06.920]  歷史是從主前六百年開始的
[00:01:06.920 --> 00:01:12.480]  主前六百年那個時代是一個很重要的時代
[00:01:12.480 --> 00:01:13.400]  為什麼呢
[00:01:13.400 --> 00:01:15.440]  因為主前六百年
[00:01:15.440 --> 00:01:18.200]  猶太人都有他自己的國家
[00:01:18.200 --> 00:01:19.760]  有他自己的君王
[00:01:19.760 --> 00:01:24.200]  但是當他們被巴比倫滅了
[00:01:24.200 --> 00:01:26.400]  撈到巴比倫的時候
[00:01:26.400 --> 00:01:30.880]  由那一刻開始一直到1948年
[00:01:30.880 --> 00:01:33.480]  猶太人都是沒有自己的國家的
[00:01:33.480 --> 00:01:37.960]  所以這段時間耶穌基督在《路加福音》第21章裡面
[00:01:37.960 --> 00:01:41.680]  形容這個是叫做Age of the Gentiles
[00:01:41.680 --> 00:01:44.000]  是外邦人的時代
[00:01:44.000 --> 00:01:46.760]  就是說神的選民猶太人
[00:01:46.760 --> 00:01:52.360]  在世界的舞台上不再是一個首要的角色
[00:01:52.360 --> 00:01:55.960]  他們乃是被外邦人來統治
[00:01:56.240 --> 00:01:58.720]  甚至是被外邦人來汝用
[00:01:58.720 --> 00:02:01.000]  這個外邦人的時間
[00:02:01.000 --> 00:02:03.800]  即使到了1948年以色列復國
[00:02:03.800 --> 00:02:05.880]  到今天我們都看不到
[00:02:05.880 --> 00:02:08.600]  以色列是掌管了世界這個舞台
[00:02:08.600 --> 00:02:12.200]  反而以色列是到處被人攻擊
[00:02:12.200 --> 00:02:14.960]  到現在二千多年之後
[00:02:14.960 --> 00:02:16.040]  都是這樣的情況
[00:02:16.040 --> 00:02:20.560]  所以彈爾里的時代就開始了
[00:02:20.560 --> 00:02:25.200]  猶太人被神懲罰四散東西
[00:02:25.560 --> 00:02:27.800]  而且是被逼白的時候
[00:02:27.800 --> 00:02:32.760]  彈爾里書也是一本充滿了預言的書
[00:02:32.760 --> 00:02:35.080]  所以我們這個系列的題目
[00:02:35.080 --> 00:02:36.200]  我們首先第一句
[00:02:36.200 --> 00:02:38.880]  我們說是認識彈爾里的為人
[00:02:38.880 --> 00:02:41.240]  我們是要看他的為人
[00:02:41.240 --> 00:02:44.400]  但是到第七章一直到第十二章
[00:02:44.400 --> 00:02:45.520]  最後這六章
[00:02:45.520 --> 00:02:49.840]  我們乃是講到洞悉未來天機
[00:02:49.840 --> 00:02:51.560]  什麼叫未來的天機呢
[00:02:51.560 --> 00:02:53.000]  就是預言
