
[00:00:00.000 --> 00:00:07.200]  今晚我們繼續查考主耶穌寫信給七個教會
[00:00:07.200 --> 00:00:11.000]  後面那三個 啟示錄第三章
[00:00:11.000 --> 00:00:15.240]  上一次我們查了四個教會 啟示錄第二章
[00:00:15.240 --> 00:00:19.520]  但我們還未開始查下面那三個教會
[00:00:19.520 --> 00:00:22.840]  我都想再重溫一下
[00:00:22.840 --> 00:00:29.440]  這七封信是先於他給約翰天上的意象
[00:00:29.440 --> 00:00:33.280]  即是他要教會先看了這封信
[00:00:33.280 --> 00:00:37.440]  然後才讀後面的預言和意象
[00:00:37.440 --> 00:00:43.240]  換句話說 基督是要我們先搞好我們和基督的關係
[00:00:43.240 --> 00:00:46.640]  我們先清除我們有的問題
[00:00:46.640 --> 00:00:50.640]  然後我們才領受那些預言 而不是倒轉
[00:00:50.640 --> 00:00:53.960]  而不是不理我們現在的情況是怎樣
[00:00:53.960 --> 00:00:57.240]  我們只想知道將來會發生甚麼事
[00:00:57.240 --> 00:01:03.040]  如果是這樣 那些末世的預言對我們是沒有好處的
[00:01:03.040 --> 00:01:05.840]  所以假如我們不先預備好我們的心
[00:01:05.840 --> 00:01:08.040]  搞好我們和基督的關係
[00:01:08.040 --> 00:01:13.640]  知道末世的預言只是滿足到我們的好奇心
[00:01:13.640 --> 00:01:16.840]  對我們的屬靈生命是沒有幫助的
[00:01:16.840 --> 00:01:19.040]  第二件事我們上次都講過
[00:01:19.040 --> 00:01:24.640]  就是基督是對這些教會的情況一清二楚的
[00:01:24.640 --> 00:01:29.240]  連人心裏面的情況基督都知道的
[00:01:29.240 --> 00:01:35.640]  因為他對每一個教會都說「我知道 我知道 我知道」
[00:01:35.640 --> 00:01:40.440]  這個知道不只是聽聞、封聞
[00:01:40.440 --> 00:01:43.240]  這個知道真是很深入的知道
[00:01:43.240 --> 00:01:49.240]  總共在第二章和第三章出現了13次這麼多
[00:01:49.240 --> 00:01:53.040]  神不要我們只是有外表的服侍
[00:01:53.040 --> 00:01:57.440]  就算我們外表是有很多很多的侍奉 很忙碌
[00:01:57.440 --> 00:02:00.640]  但是如果我們的心不在那裏的時候
[00:02:00.640 --> 00:02:03.840]  我們外出所做的事都是沒有用的
[00:02:03.840 --> 00:02:06.440]  所以上海的教會 它第一個教會
[00:02:06.440 --> 00:02:09.440]  是要他們恢復他們原來的愛心
[00:02:09.440 --> 00:02:12.440]  對神的愛心 對人的愛心
[00:02:12.440 --> 00:02:15.640]  這個神是更加看重的
[00:02:15.640 --> 00:02:18.840]  而教會裏面 它給你的書信
[00:02:18.840 --> 00:02:23.440]  是大部分的教會你要悔改
[00:02:23.440 --> 00:02:28.040]  當你有問題的時候 你不要不承認這些問題
[00:02:28.040 --> 00:02:29.640]  你是需要悔改的
[00:02:29.640 --> 00:02:34.440]  所以悔改這個詞也是出現了很多很多次的
[00:02:34.440 --> 00:02:37.840]  另外一點就是大部分的教會
[00:02:37.840 --> 00:02:41.040]  耶穌都是勸勉他們要「得勝」
[00:02:41.040 --> 00:02:45.040]  這兩個字「得勝」這兩個字在末世是很重要的
[00:02:45.040 --> 00:02:48.640]  神是要我們「得勝」 得勝就是要打仗
[00:02:48.640 --> 00:02:52.840]  打一場屬靈的仗 然後在這場仗裏面勝利的
[00:02:52.840 --> 00:02:59.240]  不是失敗的 其實每一個教會都是在內憂外患當中
