
[00:00:00.000 --> 00:00:05.000]  在場的大英姐妹平安
[00:00:05.000 --> 00:00:08.000]  這個時候應該在家裡吃飯
[00:00:08.000 --> 00:00:12.000]  吃完飯或者等吃飯的大英姐妹平安
[00:00:12.000 --> 00:00:15.000]  很感謝大補堂的邀請
[00:00:15.000 --> 00:00:21.000]  今晚能夠一年三晚的三個星期
[00:00:21.000 --> 00:00:25.000]  和大家一起讀啟示錄
[00:00:25.000 --> 00:00:31.000]  今次是星期一晚 第三晚也是星期五晚
[00:00:31.000 --> 00:00:35.000]  下個星期反而是星期六晚
[00:00:35.000 --> 00:00:40.000]  我們在開始的時候一起祈禱
[00:00:40.000 --> 00:00:48.000]  因為讀啟示錄是新約聖經最後一卷書
[00:00:48.000 --> 00:00:56.000]  是講述未來終極的信徒屬於上帝的子民的歸宿
[00:00:56.000 --> 00:00:58.000]  也是要必恭必敬
[00:00:58.000 --> 00:01:01.000]  不是說讀其他那些不用那麼恭敬
[00:01:01.000 --> 00:01:07.000]  而是我們在這個時候都可以靜一靜心
[00:01:07.000 --> 00:01:10.000]  如果我們之前已經讀過啟示錄
[00:01:10.000 --> 00:01:17.000]  可以很快在腦裡輸入上帝在啟示錄裡給我們的訊息
[00:01:17.000 --> 00:01:24.000]  如果還沒讀過的 也要清靜心來一起看
[00:01:24.000 --> 00:01:29.000]  今晚我會和大家看聖經多於看筆記
[00:01:29.000 --> 00:01:32.000]  稍後我會詳細的和大家說
[00:01:32.000 --> 00:01:34.000]  我們一起祈禱
[00:01:34.000 --> 00:01:37.000]  天父 我要感謝你
[00:01:37.000 --> 00:01:42.000]  在這個疫情的日子當中
[00:01:42.000 --> 00:01:48.000]  在我們各方面都感覺很困難的日子當中
[00:01:48.000 --> 00:01:52.000]  在我們心水很多時候都不寧
[00:01:52.000 --> 00:01:55.000]  每天都在留意數字
[00:01:55.000 --> 00:02:00.000]  每天都在留意我們周遭的朋友
[00:02:00.000 --> 00:02:05.000]  我們認識的人可能會離開
[00:02:05.000 --> 00:02:10.000]  我們自己心裡可能有一點失落的時候
[00:02:10.000 --> 00:02:15.000]  我們也在尋找各式各樣的機會
[00:02:15.000 --> 00:02:20.000]  讓我們自己的家人過得更好的生活的時候
[00:02:20.000 --> 00:02:25.000]  在我們的信仰當中 在我們的信仰生活裡面
[00:02:25.000 --> 00:02:29.000]  我們仍然能夠來到你的面前
[00:02:29.000 --> 00:02:34.000]  仍然能夠被稱為你在地上屬於你的子民
[00:02:34.000 --> 00:02:35.000]  我們感恩
[00:02:35.000 --> 00:02:39.000]  祈禱今晚和未來兩個星期
[00:02:39.000 --> 00:02:43.000]  五六的晚上一起讀啟示錄的時候
[00:02:43.000 --> 00:02:44.000]  你與我們同在
[00:02:44.000 --> 00:02:48.000]  你讓啟示錄的訊息打動我們
[00:02:48.000 --> 00:02:50.000]  讓我們能夠深思明白
[00:02:50.000 --> 00:02:56.000]  也幫助我們知道你自己的心意是怎麼樣
[00:02:56.000 --> 00:02:57.000]  叫我們在地上
[00:02:57.000 --> 00:03:02.000]  無論在哪個地方我們所過的日子
[00:03:02.000 --> 00:03:07.000]  都能夠配得上你自己子民的稱號
[00:03:07.000 --> 00:03:10.000]  能夠成為你自己的福音
[00:03:10.000 --> 00:03:13.000]  你的道的見證人
[00:03:13.000 --> 00:03:14.000]  與我們同在
[00:03:14.000 --> 00:03:16.000]  將今晚時間仰望交托
[00:03:16.000 --> 00:03:17.000]  同主名求
[00:03:17.000 --> 00:03:18.000]  心心所願
[00:03:18.000 --> 00:03:22.000]  好 先講講
[00:03:22.000 --> 00:03:26.000]  筆記今天就沒有powerpoint了
[00:03:26.000 --> 00:03:28.000]  所以就不是一格格一點點
[00:03:28.000 --> 00:03:31.000]  就變成一大堆的字
