
[00:00:00.000 --> 00:00:05.380]  各位午安 首先恭祝大家母親節快樂
[00:00:05.380 --> 00:00:07.060]  我想問一問在我們中間有多少人
[00:00:07.060 --> 00:00:10.900]  是第一次踏入這個教堂 第一次來的
[00:00:10.900 --> 00:00:12.460]  都有不少的
[00:00:12.460 --> 00:00:17.600]  我們歡迎在我們中間的新的朋友 歡迎你們
[00:00:17.600 --> 00:00:21.420]  有多少是 我想稍微知道一下
[00:00:21.420 --> 00:00:24.920]  有多少是天南地北來的 參加天南地北的
[00:00:24.920 --> 00:00:28.240]  有多少是聽到收音機來的
[00:00:28.240 --> 00:00:31.460]  有多少是聽到收音機來的 歡迎
[00:00:31.460 --> 00:00:34.840]  可能在收音機聽過我的聲音
[00:00:34.840 --> 00:00:37.140]  但是見到人 原來是這樣的
[00:00:37.140 --> 00:00:39.600]  原來是一個老坑
[00:00:39.600 --> 00:00:43.300]  每逢到母親節的時候
[00:00:43.300 --> 00:00:48.040]  我就特別多一些的感受
[00:00:48.040 --> 00:00:53.040]  我想問聽得清不清楚 好像那個echo很厲害
[00:00:53.040 --> 00:00:57.320]  不知道聽得清不清楚
[00:00:57.320 --> 00:00:59.880]  我記得有一次我孫子
[00:00:59.880 --> 00:01:03.760]  剛才大家看到一個跳跳砸砸的那個就是我孫子
[00:01:03.760 --> 00:01:07.180]  有一天我孫子就跟我聊天
[00:01:07.180 --> 00:01:10.580]  我聊天的時候突然間哭得很厲害
[00:01:10.580 --> 00:01:12.500]  我問他什麼事
[00:01:12.500 --> 00:01:17.560]  他說 我想著我媽
[00:01:17.560 --> 00:01:23.720]  因為他媽在五年前生他弟弟的時候
[00:01:23.720 --> 00:01:25.560]  弟弟還沒有出生
[00:01:25.560 --> 00:01:31.620]  他就因為胎水入血 突然間死了
[00:01:31.620 --> 00:01:34.320]  所以醫生就要馬上劏肚子
[00:01:34.320 --> 00:01:35.940]  把那個孩子拿出來
[00:01:35.940 --> 00:01:41.080]  送去UCSF做一個急救
[00:01:41.080 --> 00:01:45.580]  其實我孫子 就是第二個孫子生存的機會
[00:01:45.580 --> 00:01:49.440]  是少於50%
[00:01:49.440 --> 00:01:52.640]  就算生存如果腦沒有影響
[00:01:52.640 --> 00:01:54.860]  是少於20%
[00:01:54.860 --> 00:01:57.840]  所以今天如果大家有機會見到我小孫子的時候
[00:01:57.840 --> 00:02:03.380]  你就會知道他其實是一個miracle baby
[00:02:03.380 --> 00:02:11.380]  是一個奇蹟的一個小孩
[00:02:11.380 --> 00:02:16.820]  他哭得很厲害 他坐在我那裡
[00:02:16.820 --> 00:02:21.160]  我就跟他說 爺爺跟你一樣
[00:02:21.160 --> 00:02:26.660]  我在五歲的時候就沒有了我媽媽
[00:02:26.660 --> 00:02:31.500]  我媽媽是自殺死的
[00:02:31.500 --> 00:02:35.180]  所以我們兩父子是特別很親切
[00:02:35.180 --> 00:02:37.600]  因為大家都有同一的經歷
[00:02:37.600 --> 00:02:42.780]  我經歷就是沒有媽媽
[00:02:42.780 --> 00:02:46.920]  有媽媽是很幸福的 真的很幸福
[00:02:46.920 --> 00:02:54.660]  所以不要埋怨你媽媽煮東西又鹹又囉嗦
[00:02:54.660 --> 00:02:59.700]  又常餓 日有外夜有餓
[00:02:59.700 --> 00:03:01.280]  當你沒有了媽媽的時候
[00:03:01.280 --> 00:03:05.620]  你就會發覺你是少了很多很多東西
[00:03:05.620 --> 00:03:09.940]  當Ryan坐在我膝蓋上哭得很厲害的時候
[00:03:09.940 --> 00:03:12.080]  我大腿哭得很厲害的時候
[00:03:12.080 --> 00:03:16.200]  我跟他說 其實媽媽沒有死
[00:03:16.200 --> 00:03:18.040]  她只不過是在天堂
[00:03:18.040 --> 00:03:19.940]  因為她也是一個基督徒
[00:03:19.940 --> 00:03:22.580]  我說你想不想有一天都見到媽媽
[00:03:22.580 --> 00:03:23.780]  他說想
[00:03:23.780 --> 00:03:26.320]  我說你就要接受耶穌基督
[00:03:26.320 --> 00:03:28.220]  在你的心裡面做你的救主
[00:03:28.220 --> 00:03:32.560]  有一天我們在天堂都會見面
[00:03:32.560 --> 00:03:35.060]  他就真的跟我一起祈禱
