
[00:00:00.000 --> 00:00:10.000]  各位弟兄姊妹好,今天是這個壽難節之前最後一個的主日
[00:00:10.000 --> 00:00:15.000]  今天我們都選了一段經文是講最後晚餐的
[00:00:15.000 --> 00:00:20.000]  我們選了《約翰福音》這段,因為這個月大家應該是看《約翰福音》
[00:00:20.000 --> 00:00:27.000]  《約翰福音》的最後晚餐也很有特色,又跟其他幾卷福音書不一樣
[00:00:27.000 --> 00:00:32.000]  我們講到這個講道的時候會再跟大家說《約翰福音》的特色在哪裡
[00:00:32.000 --> 00:00:37.000]  不過我們開始分享神的話語之前,我們首先讀神的話語
[00:00:37.000 --> 00:00:41.000]  我們會讀《約翰福音》15章1-17節
[00:00:41.000 --> 00:00:48.000]  我讀大家可以在家裡或者在哪裡都好,可以跟著一起讀
[00:00:48.000 --> 00:00:51.000]  《約翰福音》15章1-17節
[00:00:51.000 --> 00:01:01.000]  我是真菩萄樹,我富士栽培的人,凡屬我不結果子的枝子,他就展去
[00:01:01.000 --> 00:01:09.000]  凡結果子的,他就收你乾淨,使枝子結果子更多
[00:01:09.000 --> 00:01:15.000]  現在你們因我講給你們的道,已經乾淨了
[00:01:15.000 --> 00:01:20.000]  你們要常在我裡面,我也常在你裡面
[00:01:20.000 --> 00:01:26.000]  枝子若不常在葡萄樹上,自己就不能結果子
[00:01:26.000 --> 00:01:31.000]  你們若不常在我裡面,也是這樣
[00:01:31.000 --> 00:01:39.000]  我是葡萄樹,你們是枝子,常在我裡面的,我也常在他裡面
[00:01:39.000 --> 00:01:46.000]  這人就多結果子,因為你了我,你們就不能做什麼
[00:01:46.000 --> 00:01:53.000]  人若不常在我裡面,就將枝子雕在外面枯乾
[00:01:53.000 --> 00:01:57.000]  人拾起來,鋒在火裡燒了
[00:01:57.000 --> 00:02:04.000]  你們若常在我裡面,我的話也常在你們裡面
[00:02:04.000 --> 00:02:10.000]  凡你們所願意的,祈求的,就給你們成就
[00:02:10.000 --> 00:02:16.000]  你們多結果子,我父就因此得榮耀
[00:02:16.000 --> 00:02:20.000]  你們也就是我的門徒了
[00:02:20.000 --> 00:02:24.000]  我愛你們,正如父愛我一樣
