
[00:00:00.000 --> 00:00:10.600]  今天和大家講的是人生的知足和滿足
[00:00:10.600 --> 00:00:14.200]  剛才那首歌不知道有沒有人知道歌名
[00:00:14.200 --> 00:00:16.400]  其實我也要找才找到歌名
[00:00:16.400 --> 00:00:18.800]  歌名叫做「淺淺淺」
[00:00:18.800 --> 00:00:21.400]  就是天才與白痴一首的插曲
[00:00:21.400 --> 00:00:23.200]  在1975年
[00:00:23.200 --> 00:00:27.200]  這首歌當時也是很突破的一首歌
[00:00:27.200 --> 00:00:30.600]  廣播電台禁播這首歌
[00:00:30.600 --> 00:00:35.400]  聽過的歌詞不是有什麼不良意識
[00:00:35.400 --> 00:00:37.400]  只不過是寫實
[00:00:37.400 --> 00:00:42.800]  其實錢這東西很多人都需要
[00:00:42.800 --> 00:00:46.600]  但錢也是很累人的一件事
[00:00:46.600 --> 00:00:49.000]  人都希望生活無憂
[00:00:49.000 --> 00:00:53.200]  但你會發現很多時候有錢的人
[00:00:53.200 --> 00:00:55.600]  仍然有很多憂慮
[00:00:55.600 --> 00:00:57.800]  不是有錢的人就沒有憂慮
[00:00:57.800 --> 00:01:00.800]  我經常和太太說
[00:01:00.800 --> 00:01:02.800]  有錢人一定開心
[00:01:02.800 --> 00:01:04.800]  我太太經常和我說
[00:01:04.800 --> 00:01:06.800]  沒有錢人一定不開心
[00:01:06.800 --> 00:01:08.400]  我又和她說
[00:01:08.400 --> 00:01:10.600]  沒有錢人一定不開心
[00:01:10.600 --> 00:01:12.200]  我太太又和我說
[00:01:12.200 --> 00:01:14.800]  有錢人都可以很開心
[00:01:14.800 --> 00:01:20.800]  這些就是我和太太之間彼此的切磋
[00:01:20.800 --> 00:01:22.400]  其實我也同意的
[00:01:22.400 --> 00:01:26.800]  原來我發現住大屋開好車不一定開心
[00:01:26.800 --> 00:01:28.800]  但也可以很開心
[00:01:28.800 --> 00:01:32.800]  住小屋開舊車也可以很開心
[00:01:32.800 --> 00:01:34.800]  也可以很不開心
[00:01:34.800 --> 00:01:40.200]  原來人的心情不是在於你擁有多少東西
[00:01:40.200 --> 00:01:42.400]  很多時候是在於你的心態
[00:01:42.400 --> 00:01:45.600]  和你看的角度是對還是不對
[00:01:45.600 --> 00:01:49.800]  所以我今天在預備這篇信息的時候
[00:01:49.800 --> 00:01:52.200]  有句話常常提醒我自己
[00:01:52.200 --> 00:01:54.800]  人生裡最重要不是有什麼
[00:01:54.800 --> 00:01:57.600]  人要知足才能滿足
[00:01:57.600 --> 00:02:00.400]  人要享受才能享福
[00:02:00.400 --> 00:02:03.400]  有些人一路擁有一路埋怨
[00:02:03.400 --> 00:02:06.400]  你是很難享受很難享福
[00:02:06.400 --> 00:02:09.000]  有些人有他不斷想再有
[00:02:09.000 --> 00:02:12.000]  他不知足又很難滿足
[00:02:12.000 --> 00:02:17.400]  我發現在這個物質世界裡是很現實的
[00:02:17.400 --> 00:02:19.200]  但在現實當中
[00:02:19.200 --> 00:02:21.400]  人都應該有一個正確的態度
[00:02:21.400 --> 00:02:23.400]  去看一個很現實的世界
[00:02:23.400 --> 00:02:25.400]  所以今天跟大家說三樣東西
[00:02:25.400 --> 00:02:26.400]  三個要
[00:02:26.400 --> 00:02:29.800]  要知足、要滿足和要明白
[00:02:29.800 --> 00:02:31.800]  要知足而不貪
[00:02:31.800 --> 00:02:33.800]  要滿足而享受
[00:02:33.800 --> 00:02:35.800]  要明白而享福
[00:02:35.800 --> 00:02:39.800]  第一樣要知足而不貪
[00:02:39.800 --> 00:02:43.800]  如果大家有聖經就打開傳道書第五章
[00:02:43.800 --> 00:02:45.800]  我們會看第十節
[00:02:45.800 --> 00:02:47.800]  到第六章
[00:02:47.800 --> 00:02:49.800]  到第十二節
[00:02:49.800 --> 00:02:57.800]  我們先看第五章十至十七節
[00:02:57.800 --> 00:02:58.800]  第十節這樣說
[00:02:58.800 --> 00:03:01.800]  貪愛銀紙不因得銀紙知足
[00:03:01.800 --> 00:03:05.800]  貪愛豐富的也不因得利益知足
