
[00:00:00.000 --> 00:00:06.900]  OK 看到了 馬可福音第十二章
[00:00:06.900 --> 00:00:09.140]  很奇怪 跳來跳去
[00:00:09.140 --> 00:00:12.220]  上次是說第十三章 今次又回頭了
[00:00:12.220 --> 00:00:15.080]  說第十二章 之前也說過第十二章
[00:00:15.080 --> 00:00:17.640]  也說過再之前的第十一章 是吧?
[00:00:17.640 --> 00:00:21.040]  記不記得?那個無花果樹的比喻
[00:00:21.040 --> 00:00:27.840]  也說過無花果樹之後接著那個潔淨聖殿
[00:00:27.840 --> 00:00:30.960]  這個就夾在那兩段經文的中間
[00:00:30.960 --> 00:00:32.660]  我們今天就看這段經文
[00:00:32.660 --> 00:00:35.660]  大家一起打開你們的聖經
[00:00:35.660 --> 00:00:38.480]  我們就一起在你們自己的鏡頭前面
[00:00:38.480 --> 00:00:40.080]  我們一起讀這段經文 好嗎?
[00:00:40.080 --> 00:00:42.880]  馬可福音第十二章 由38節開始
[00:00:42.880 --> 00:00:47.380]  七節經文很短的 我們大家同心一致讀
[00:00:47.380 --> 00:00:49.560]  耶穌教導人的時候說
[00:00:49.560 --> 00:00:51.560]  你們要提防經學家
[00:00:51.560 --> 00:00:54.520]  他們喜歡穿長袍走來走去
[00:00:54.520 --> 00:00:57.720]  喜歡人在市中心向他們問安
[00:00:57.720 --> 00:01:02.280]  又喜歡會堂裡的高位 現實上的守衛
[00:01:02.280 --> 00:01:05.200]  他們貪沒了寡婦的房產
[00:01:05.200 --> 00:01:08.920]  又假裝作尋常的祈禱 禱告
[00:01:08.920 --> 00:01:11.880]  這些人必受更重的刑罰
[00:01:11.880 --> 00:01:14.200]  耶穌面對銀庫坐著
[00:01:14.200 --> 00:01:16.880]  看著大家怎樣把錢投入庫中
[00:01:16.880 --> 00:01:20.240]  許多有錢的人投入很多的錢
[00:01:20.240 --> 00:01:24.080]  後來有一個窮寡婦來投入了兩個小錢
[00:01:24.080 --> 00:01:25.880]  就是一個銅錢
[00:01:25.880 --> 00:01:28.680]  耶穌把門徒叫過來對他們說
[00:01:28.680 --> 00:01:30.000]  我實在告訴你們
[00:01:30.000 --> 00:01:35.520]  這窮寡婦投入婦女的比眾人投入的更多
[00:01:35.520 --> 00:01:38.880]  因為她們都是把自己剩餘的投入
[00:01:38.880 --> 00:01:40.800]  這寡婦是自己不足
[00:01:40.800 --> 00:01:46.840]  她把她一切所有的就是全部養生的都投進去了
[00:01:46.840 --> 00:01:50.400]  這段經文其實你剛才讀的時候很怪
[00:01:50.400 --> 00:01:53.400]  通常我們就只看窮寡婦那段經文
[00:01:53.400 --> 00:01:57.800]  我想從小就聽老師教導
[00:01:57.800 --> 00:02:01.120]  到在講台上不同的目者或者傳道人
[00:02:01.120 --> 00:02:02.600]  可能分類這段經文的時間
[00:02:02.600 --> 00:02:05.360]  我們都有差不多的領受
[00:02:05.360 --> 00:02:08.320]  但是如果將我們剛才讀的那段經文
[00:02:08.320 --> 00:02:13.640]  好像將前面耶穌叫那幫門徒提防那幫經學家的
[00:02:13.640 --> 00:02:15.360]  那幾節經文的故事
[00:02:15.360 --> 00:02:17.000]  放進去看的時候
[00:02:17.000 --> 00:02:19.440]  好像有些不一樣的圖畫出來了
[00:02:19.440 --> 00:02:22.920]  還有這兩個故事好像表面上看的時候
[00:02:22.920 --> 00:02:27.520]  好像不是兩個很接近的故事
[00:02:27.520 --> 00:02:28.440]  但其實不是的
[00:02:28.440 --> 00:02:31.240]  當你看的時候這段經文是很有趣的
[00:02:31.240 --> 00:02:33.040]  我們今天就重新看
[00:02:33.040 --> 00:02:35.720]  可能這段經文很耳熟能詳
[00:02:35.720 --> 00:02:38.760]  但是我們嘗試放開我們自己過去
[00:02:38.760 --> 00:02:41.360]  看這段經文的經驗和傳統
[00:02:41.360 --> 00:02:45.040]  再進入今天的這七節經文當中的時間
[00:02:45.040 --> 00:02:47.680]  看看主耶穌基督有什麼特別的亮光
[00:02:47.680 --> 00:02:50.440]  是要和我們每一個弟兄姐妹分享
[00:02:50.440 --> 00:02:54.400]  當我們看的時候回到第38節第一個故事
[00:02:54.400 --> 00:02:56.680]  第一個故事一開始的時候
[00:02:56.680 --> 00:02:59.560]  耶穌就和那幫門徒說
[00:02:59.560 --> 00:03:01.880]  你們要提防那些經學家
