
[00:00:00.000 --> 00:00:02.000]  請各位多多支持 多謝各位
[00:00:03.000 --> 00:00:05.000]  聽子會新年快樂
[00:00:05.000 --> 00:00:08.000]  今日主我記得曾經在新春期間
[00:00:08.000 --> 00:00:11.000]  都和大家在盤鈴裏面有機會分享
[00:00:11.000 --> 00:00:14.000]  今次是第二次和大家分享
[00:00:14.000 --> 00:00:18.000]  特別很欣賞潮州教會的文化
[00:00:18.000 --> 00:00:20.000]  我自己本身都來自潮州教會
[00:00:20.000 --> 00:00:23.000]  所以我知道潮州教會的特色
[00:00:23.000 --> 00:00:25.000]  其他的教會比較少
[00:00:25.000 --> 00:00:27.000]  就是在新春期間裏面
[00:00:27.000 --> 00:00:29.000]  我們有不同的聚會
[00:00:29.000 --> 00:00:33.000]  我不知道城朝鎮有沒有年初一的崇拜
[00:00:33.000 --> 00:00:37.000]  我自己來自香港的一間潮州教會都是
[00:00:37.000 --> 00:00:40.000]  就算我現在離開了之後
[00:00:40.000 --> 00:00:43.000]  如果年初一找不到其他教會
[00:00:43.000 --> 00:00:45.000]  我都會回到自己的教會去崇拜
[00:00:45.000 --> 00:00:48.000]  還有就是年初一的時間
[00:00:48.000 --> 00:00:50.000]  除了崇拜之外
[00:00:50.000 --> 00:00:53.000]  還有其他的新春的盤鈴會 報道會等等
[00:00:53.000 --> 00:00:58.000]  我記得我自己城中的教會
[00:00:58.000 --> 00:01:01.000]  就是在年初二、三、四
[00:01:01.000 --> 00:01:05.000]  都有晚間的盤鈴會
[00:01:05.000 --> 00:01:08.000]  在那個年代 現在就比較困難了
[00:01:08.000 --> 00:01:11.000]  我不知道這裏是不是也有類似的傳統
[00:01:11.000 --> 00:01:15.000]  無論如何 我先將我所服侍的一個地方
[00:01:15.000 --> 00:01:18.000]  布魯神學院的文案帶給大家
[00:01:18.000 --> 00:01:23.000]  請大家特別紀念我們神學院這段時間的需要
[00:01:23.000 --> 00:01:27.000]  因為神學院在這麼多年來
[00:01:27.000 --> 00:01:29.000]  都是在九龍塘這個地方運作
[00:01:29.000 --> 00:01:31.000]  離這裏不是很遠的地方
[00:01:31.000 --> 00:01:36.000]  感謝去年六月的時間我們買了一個新的地方
[00:01:36.000 --> 00:01:39.000]  希望在今年的八月就搬進去了
[00:01:39.000 --> 00:01:41.000]  這個地方就在美孚
[00:01:41.000 --> 00:01:44.000]  如果經過美孚都會慢慢看到這個地方
[00:01:44.000 --> 00:01:47.000]  詳情我會將單張在這裏 大家可以看看
[00:01:47.000 --> 00:01:49.000]  如果你們散會的時候有興趣
[00:01:49.000 --> 00:01:52.000]  或者你都可以拿我們神學院的通訊
