
[00:00:00.000 --> 00:00:08.000]  我們在祢的面前傳一個感謝的心
[00:00:08.000 --> 00:00:12.000]  但也在祢的面前傳一個戰經的心
[00:00:12.000 --> 00:00:14.000]  我們要認識祢
[00:00:14.000 --> 00:00:17.000]  主啊,我們是憑著祢的應許
[00:00:17.000 --> 00:00:20.000]  祢說過尋找的必定尋見
[00:00:20.000 --> 00:00:23.000]  敲門,祢為我們開門
[00:00:23.000 --> 00:00:25.000]  祈求的就要得著
[00:00:25.000 --> 00:00:28.000]  我們就是憑著一個這麼單純的信心
[00:00:28.000 --> 00:00:31.000]  到父神施恩的寶座前
[00:00:31.000 --> 00:00:34.000]  祈求祢透過聖經的說話
[00:00:34.000 --> 00:00:38.000]  幫助我們更深認識主
[00:00:38.000 --> 00:00:42.000]  我們傳這樣的等候到主的面前
[00:00:42.000 --> 00:00:44.000]  深信祢要賞賜
[00:00:44.000 --> 00:00:48.000]  祢要垂聽我們不配的禱告
[00:00:48.000 --> 00:00:51.000]  奉耶穌基督的名求,阿們
[00:00:51.000 --> 00:00:56.000]  我先解釋一下我們這個課程的題目
[00:00:56.000 --> 00:01:00.000]  《舊約聖經》的針言裡的金句
[00:01:00.000 --> 00:01:02.000]  大家一定很熟悉
[00:01:02.000 --> 00:01:05.000]  敬畏耶和華是智慧的開端
[00:01:05.000 --> 00:01:10.000]  認識智聖者便是聰明
[00:01:10.000 --> 00:01:12.000]  不過我們借這一句聖經
[00:01:12.000 --> 00:01:16.000]  大概不是想進入針言裡
[00:01:16.000 --> 00:01:19.000]  講到什麼是智慧,什麼是聰明
[00:01:19.000 --> 00:01:21.000]  我們只是想提出
[00:01:21.000 --> 00:01:28.000]  在我們認識神的過程
[00:01:28.000 --> 00:01:31.000]  或者認識神的方法上
[00:01:31.000 --> 00:01:41.000]  有很多時候我發覺我們是依循了西方的思想途徑
[00:01:41.000 --> 00:01:43.000]  所謂西方的意思
[00:01:43.000 --> 00:01:54.000]  是指著在歐洲拉丁或者早一些希臘的文化背景來說
[00:01:54.000 --> 00:02:00.000]  西方討論有關於上帝的資料很豐富
[00:02:00.000 --> 00:02:06.000]  但是也假設了西方文化裡
[00:02:06.000 --> 00:02:11.000]  有一些基本的觀念、語言
[00:02:11.000 --> 00:02:15.000]  這些是我們不一定熟悉的
[00:02:15.000 --> 00:02:17.000]  不是的,我很熟悉的
[00:02:17.000 --> 00:02:21.000]  在教會裡多聽幾堂專題講座
[00:02:21.000 --> 00:02:24.000]  或者上一些護教學、主要學的課程
[00:02:24.000 --> 00:02:26.000]  特別是上神學院的課程
[00:02:26.000 --> 00:02:30.000]  多多少少都會懂得講幾句神學
[00:02:30.000 --> 00:02:31.000]  一些術語
[00:02:31.000 --> 00:02:35.000]  好像講到上帝存在的五大論證
[00:02:35.000 --> 00:02:39.000]  如果上帝是一個完美的上帝
[00:02:39.000 --> 00:02:41.000]  他一定要包括存在
[00:02:41.000 --> 00:02:43.000]  這句話用中文講出來已經很難聽
[00:02:43.000 --> 00:02:48.000]  我們也會講到很多只有基督徒才會明白
[00:02:48.000 --> 00:02:50.000]  或者用慣的字眼
[00:02:50.000 --> 00:02:52.000]  好像上帝的屬性
[00:02:52.000 --> 00:02:54.000]  在香港社會上講屬性這個字的意思
[00:02:54.000 --> 00:02:56.000]  大概有另外的解法
[00:02:56.000 --> 00:02:58.000]  上帝的attributes
[00:02:58.000 --> 00:03:02.000]  我們會講到上帝是一個being
[00:03:02.000 --> 00:03:05.000]  照Portulac的說法是一個B
[00:03:05.000 --> 00:03:10.000]  大家如果看過田立克的系統神學翻譯
[00:03:10.000 --> 00:03:12.000]  怎麼翻譯成中文呢?
[00:03:12.000 --> 00:03:13.000]  很痛苦
[00:03:13.000 --> 00:03:21.000]  我們需要從哲學、西方的文化、觀念、語言入手
[00:03:21.000 --> 00:03:26.000]  來認識上帝是否必然呢?
[00:03:26.000 --> 00:03:30.000]  對我自己是一個很大的困惑
[00:03:30.000 --> 00:03:33.000]  有些像在新約時期
[00:03:33.000 --> 00:03:35.000]  保羅提出說
[00:03:35.000 --> 00:03:37.000]  做基督徒是不是要受割禮呢?
[00:03:37.000 --> 00:03:38.000]  如果不受割禮
[00:03:38.000 --> 00:03:40.000]  是不是可以做基督徒信耶穌呢?
[00:03:40.000 --> 00:03:41.000]  我們認識上帝
[00:03:41.000 --> 00:03:44.000]  是不是一定要循西方的思想進路
[00:03:44.000 --> 00:03:46.000]  西方的觀念
[00:03:46.000 --> 00:03:50.000]  我不是說這些觀念、思想不對
[00:03:50.000 --> 00:03:54.000]  我更加不是說西方的神學沒有價值
[00:03:54.000 --> 00:03:56.000]  請你不要誤會我的意思
[00:03:56.000 --> 00:03:58.000]  我只不過是說
[00:03:58.000 --> 00:03:59.000]  坐在這裏
[00:03:59.000 --> 00:04:03.000]  我們百分之一百不是西方人
[00:04:03.000 --> 00:04:06.000]  雖然我們受的教育
[00:04:06.000 --> 00:04:08.000]  很大程度上是西方
[00:04:08.000 --> 00:04:11.000]  但是這些基本的觀念
[00:04:11.000 --> 00:04:15.000]  始終對我們來說有一定的距離在
[00:04:15.000 --> 00:04:18.000]  所以難怪在教會裏
[00:04:18.000 --> 00:04:20.000]  我們時時都會發覺神學
[00:04:20.000 --> 00:04:24.000]  給我們的感覺、給我們的印象
[00:04:24.000 --> 00:04:26.000]  就是冷冰冰的
[00:04:26.000 --> 00:04:28.000]  就是不切實際的
[00:04:28.000 --> 00:04:30.000]  就是很奸式的
[00:04:30.000 --> 00:04:32.000]  或者很奸詐的
[00:04:32.000 --> 00:04:38.000]  要特別花精神、花心機去學那些說話
[00:04:38.000 --> 00:04:42.000]  學完之後又不一定實際上有用的
[00:04:42.000 --> 00:04:44.000]  這一層的功夫
[00:04:44.000 --> 00:04:47.000]  很多時候令弟兄姊妹卻步
[00:04:47.000 --> 00:04:51.000]  又或者覺得我不需要神學
[00:04:51.000 --> 00:04:54.000]  我侍奉有熱誠
[00:04:54.000 --> 00:04:57.000]  我讀聖經、專心、我靈修、我操練
[00:04:57.000 --> 00:05:01.000]  神學對我們來說隔了一重
[00:05:01.000 --> 00:05:06.000]  隔了一重究竟是神學還是文化呢?
[00:05:06.000 --> 00:05:09.000]  是有關於神的真理的內容
[00:05:09.000 --> 00:05:11.000]  令我們覺得格格不入
[00:05:11.000 --> 00:05:15.000]  還是表達這個真理的說話、語言、觀念
[00:05:15.000 --> 00:05:17.000]  令我們覺得格格不入呢?
[00:05:17.000 --> 00:05:21.000]  有時候如果我們能夠稍微看清楚一點
[00:05:21.000 --> 00:05:24.000]  或者我們會有不同的領會
[00:05:24.000 --> 00:05:26.000]  在這個課程裏
[00:05:26.000 --> 00:05:34.000]  我們嘗試從聖經來入手
[00:05:34.000 --> 00:05:36.000]  特別是舊約聖經
[00:05:36.000 --> 00:05:39.000]  它不是一本西方的作品
[00:05:39.000 --> 00:05:42.000]  舊約聖經是希伯來文寫成的
[00:05:42.000 --> 00:05:46.000]  舊約聖經是以色列人的經典
[00:05:46.000 --> 00:05:52.000]  是古代近東文化的產品
[00:05:52.000 --> 00:05:54.000]  東方
[00:05:54.000 --> 00:05:59.000]  舊約聖經裏面很多的觀念、術語
[00:05:59.000 --> 00:06:06.000]  和我們東方中國人的感受的接近程度
[00:06:06.000 --> 00:06:10.000]  會比西方哲學術語
[00:06:10.000 --> 00:06:13.000]  或者西方文化的觀念
[00:06:13.000 --> 00:06:17.000]  是比我們有不同的領會
[00:06:17.000 --> 00:06:21.000]  一位猶太人的學者John Levinson
[00:06:21.000 --> 00:06:25.000]  在哈佛大學教舊約聖經
[00:06:25.000 --> 00:06:28.000]  教猶太教、拉比的思想
[00:06:28.000 --> 00:06:31.000]  他在一篇文章裏面曾經這樣說過
[00:06:31.000 --> 00:06:34.000]  他說如果你問一個西方人
[00:06:34.000 --> 00:06:37.000]  你信甚麼
[00:06:37.000 --> 00:06:41.000]  他就會指著他的信經來答覆你
[00:06:41.000 --> 00:06:44.000]  我信上帝全能的父、創造天地的主等等
[00:06:44.000 --> 00:06:47.000]  全部是觀念、是教義
[00:06:47.000 --> 00:06:50.000]  但如果你問一個東方人
[00:06:50.000 --> 00:06:51.000]  你信甚麼
[00:06:51.000 --> 00:06:54.000]  他就會告訴你他怎樣做
[00:06:54.000 --> 00:06:57.000]  他日常生活裏面拜甚麼
[00:06:57.000 --> 00:07:00.000]  他守甚麼節日、守甚麼齋
[00:07:00.000 --> 00:07:04.000]  這不單單是說中國人、猶太人如是
[00:07:04.000 --> 00:07:07.000]  在東方和西方
[00:07:07.000 --> 00:07:14.000]  來接觸上帝、信仰、神學的方式
[00:07:14.000 --> 00:07:16.000]  是有不同的
[00:07:16.000 --> 00:07:19.000]  而舊約聖經給我們一個選擇
[00:07:19.000 --> 00:07:23.000]  除了西方神學、哲學
[00:07:23.000 --> 00:07:27.000]  西方的思想文化之外的另一個選擇
[00:07:27.000 --> 00:07:30.000]  這個選擇我自己覺得
[00:07:30.000 --> 00:07:34.000]  或者我們會容易掌握
[00:07:34.000 --> 00:07:37.000]  比較上我們要先讀了哲學
[00:07:37.000 --> 00:07:40.000]  西方的哲學、希臘的哲學
[00:07:40.000 --> 00:07:42.000]  然後再去掌握神學
[00:07:42.000 --> 00:07:44.000]  或者會更加親切
[00:07:44.000 --> 00:07:46.000]  當然我再強調
[00:07:46.000 --> 00:07:49.000]  我這樣說不是說西方的神學沒有價值
[00:07:49.000 --> 00:07:52.000]  我自己有一半讀神學的時間
[00:07:52.000 --> 00:07:55.000]  是放在系統神學上
[00:07:55.000 --> 00:07:57.000]  我發覺系統神學很重要
[00:07:57.000 --> 00:08:01.000]  但往往在我們因為要矯前
[00:08:01.000 --> 00:08:08.000]  在這些觀念、語言、思想、文化背景的困難上
[00:08:08.000 --> 00:08:15.000]  反而令我們失去對系統神學的價值掌握
