
[00:00:00.000 --> 00:00:03.440]  我剛剛夠資格 多了幾年
[00:00:03.440 --> 00:00:06.740]  傳道書是一本不容易講的
[00:00:06.740 --> 00:00:11.720]  也是很多時候在教會都不敢講
[00:00:11.720 --> 00:00:16.720]  傳道者就將你不敢講的東西講出來
[00:00:16.720 --> 00:00:18.520]  有什麼不敢講呢?
[00:00:18.520 --> 00:00:20.980]  在教會這邊我們都不敢講
[00:00:20.980 --> 00:00:22.740]  但是在教會裡面
[00:00:22.740 --> 00:00:25.960]  我們都不敢講 因為我們是教會的
[00:00:25.960 --> 00:00:29.920]  有什麼不敢講呢?在教會裡面
[00:00:29.920 --> 00:00:33.340]  我們多數都講上了恩典 上了怎麼醫治我
[00:00:33.340 --> 00:00:37.040]  上了怎麼幫助我 困難裡面又解決了
[00:00:37.040 --> 00:00:41.480]  傳道者說 不是的 有很多東西不能醫治
[00:00:41.480 --> 00:00:44.760]  你勤力做了 被老闆開除了
[00:00:44.760 --> 00:00:47.540]  不敢講 傳道者說不要緊
[00:00:47.540 --> 00:00:49.540]  你不敢講 我幫你講
[00:00:49.540 --> 00:00:51.920]  所以剛才那個經文
[00:00:51.920 --> 00:00:56.280]  是彎曲的、不能辯直、缺乏的、不計其數
[00:00:56.280 --> 00:00:59.120]  然後呢 繼續說要找智慧
[00:00:59.120 --> 00:01:03.120]  不過找不到 都是暴風
[00:01:03.120 --> 00:01:06.520]  今天想跟大家講傳道書
[00:01:06.520 --> 00:01:11.300]  有人說這麼悲觀的東西 不要講了
[00:01:11.300 --> 00:01:16.000]  但是傳道書正是我們很想聽的
[00:01:16.000 --> 00:01:21.000]  因為有很多東西我們都跟傳道者很有同感
[00:01:21.000 --> 00:01:24.440]  不過很多時候我們不敢講
[00:01:24.440 --> 00:01:29.220]  所以在這兩晚裡面 我不知道講不講完
[00:01:29.220 --> 00:01:32.960]  有一個小時多一點 這麼喜歡
[00:01:32.960 --> 00:01:39.540]  我嘗試今晚先講一些道論 傳道書的道論
[00:01:39.540 --> 00:01:43.420]  然後講第一個最震撼的就是虛空
[00:01:43.420 --> 00:01:47.920]  虛空的虛空 什麼意思呢?
[00:01:47.920 --> 00:01:52.840]  傳道書是誰寫的呢?
[00:01:52.840 --> 00:01:55.980]  很明顯 很多學者就說
[00:01:55.980 --> 00:01:59.000]  傳道書自己講的 所羅門所寫
[00:01:59.000 --> 00:02:03.340]  所羅門是一個最富有、最有權勢
[00:02:03.340 --> 00:02:06.100]  在世上享盡榮華富貴
[00:02:06.100 --> 00:02:10.440]  也是掌握最高的權柄的以色列王
[00:02:10.440 --> 00:02:13.200]  在這個時候的國家也是去到最高
[00:02:13.200 --> 00:02:18.140]  還有它是以智慧出名
[00:02:18.140 --> 00:02:21.920]  如果傳道書是所羅門所寫
[00:02:21.920 --> 00:02:24.260]  很明顯就是屬於剛剛那個時候
[00:02:24.260 --> 00:02:28.880]  我們叫做智慧的黃金時代
[00:02:28.880 --> 00:02:30.680]  我們再看傳道書
[00:02:30.680 --> 00:02:34.800]  這本書不應該是所羅門一個人寫的
[00:02:34.800 --> 00:02:38.040]  因為它裡面是包括了很多的智慧
[00:02:38.040 --> 00:02:41.520]  還有包括了一些言語就不是一個時代
[00:02:41.520 --> 00:02:46.060]  因此我們很相信所羅門連同他的智者
[00:02:46.060 --> 00:02:49.700]  在所羅門晚期的時候總結他一生
[00:02:49.700 --> 00:02:52.720]  他所見到的事情 你就寫出來
[00:02:52.720 --> 00:02:56.580]  而他所寫這麼多好像很空虛、很悲觀的東西
[00:02:56.580 --> 00:03:00.780]  而背後剛好相反 很積極
[00:03:00.780 --> 00:03:03.920]  並且很快樂
[00:03:03.920 --> 00:03:08.500]  所以如果小心去看傳道書的時候
[00:03:08.500 --> 00:03:13.620]  反而就讓你從一個好像很沒有意義的人生裡面
[00:03:13.620 --> 00:03:19.220]  真正找到的意義
[00:03:19.220 --> 00:03:21.080]  我們看回所羅門
[00:03:21.080 --> 00:03:24.420]  所羅門的生平有五個階段
[00:03:24.420 --> 00:03:26.960]  第一個階段就是求智慧
[00:03:26.960 --> 00:03:30.080]  這個我們很熟悉了 不詳細說
[00:03:30.080 --> 00:03:34.840]  第二階段 上帝就給他一個名字
[00:03:34.840 --> 00:03:37.140]  他不單是求智慧
[00:03:37.140 --> 00:03:41.120]  上帝給他一個名字 這個在實夏
[00:03:41.120 --> 00:03:47.120]  這個十月記下 叫做耶底亞
[00:03:47.120 --> 00:03:49.300]  意思就是耶和和愛他
[00:03:49.300 --> 00:03:52.340]  就是這兩個 第一個智慧
[00:03:52.340 --> 00:03:54.800]  上帝說好 你不是自己求財富 你求智慧
[00:03:54.800 --> 00:03:58.940]  我就給你智慧 讓你好管理國家
[00:03:58.940 --> 00:04:02.000]  不單止這樣 他還是耶和愛他
[00:04:02.000 --> 00:04:04.380]  耶和見到很喜歡他
