
[00:00:00.000 --> 00:00:05.000]  各位睇片節目嘅各位朋友你好
[00:00:05.000 --> 00:00:07.520]  歡迎大家參加我哋三藩市播道會
[00:00:07.520 --> 00:00:09.520]  網上嘅五堂崇拜
[00:00:09.520 --> 00:00:11.520]  今日係復活節
[00:00:11.520 --> 00:00:13.520]  喺度係恭祝復活節
[00:00:13.520 --> 00:00:15.520]  快快樂樂
[00:00:15.520 --> 00:00:16.520]  開開心心
[00:00:16.520 --> 00:00:18.520]  活得精彩
[00:00:18.520 --> 00:00:20.520]  我哋今日思想嘅題目叫做
[00:00:20.520 --> 00:00:23.520]  十年生死兩茫茫
[00:00:23.520 --> 00:00:25.520]  英文係記載喺傳說書
[00:00:25.520 --> 00:00:28.520]  第九章一節至十字
[00:00:28.520 --> 00:00:31.520]  未開始思想呢段聖經之前
[00:00:31.520 --> 00:00:33.520]  請同心一同禱告
[00:00:33.520 --> 00:00:36.520]  慈悲讓阿尊父我哋滿心多謝你
[00:00:36.520 --> 00:00:38.520]  因為我哋知道
[00:00:38.520 --> 00:00:41.520]  你已經戰勝死亡
[00:00:41.520 --> 00:00:44.520]  你記得十字架三日後復活
[00:00:44.520 --> 00:00:47.520]  成為復活初熟嘅果子
[00:00:47.520 --> 00:00:50.520]  以致我哋能夠有機會
[00:00:50.520 --> 00:00:53.520]  將來係一樣復活
[00:00:53.520 --> 00:00:55.520]  得享永生
[00:00:55.520 --> 00:00:58.520]  喺新天新地裏面
[00:00:58.520 --> 00:01:01.520]  能夠活得精彩
[00:01:01.520 --> 00:01:03.520]  活得開心
[00:01:03.520 --> 00:01:06.520]  求主帝用啲話語去安慰
[00:01:06.520 --> 00:01:07.520]  鼓勵
[00:01:07.520 --> 00:01:09.520]  祝福我哋每一個
[00:01:09.520 --> 00:01:10.520]  我哋今日禱告
[00:01:10.520 --> 00:01:12.520]  奈系奉耶穌基督命求
[00:01:12.520 --> 00:01:14.520]  阿門
[00:01:14.520 --> 00:01:17.520]  十年生死兩茫茫
[00:01:17.520 --> 00:01:20.520]  不思量自難忘
[00:01:20.520 --> 00:01:23.520]  千里孤奮無處華棲
[00:01:23.520 --> 00:01:26.520]  盡是相逢應不惜
[00:01:26.520 --> 00:01:29.520]  塵滿面憤魚雙
[00:01:29.520 --> 00:01:32.520]  夜來幽夢忽還鄉
[00:01:32.520 --> 00:01:34.520]  小軒唱靜疏莊
[00:01:34.520 --> 00:01:37.520]  相顧無言唯有淚千行
[00:01:37.520 --> 00:01:40.520]  了一年戀長斷處
[00:01:40.520 --> 00:01:43.520]  明月夜短從剛
[00:01:43.520 --> 00:01:47.520]  呢首係蘇東坡所寫嘅詞
[00:01:47.520 --> 00:01:51.520]  呢首《道望詞》係喺宋神宗
[00:01:51.520 --> 00:01:53.520]  十八年(1075年)
[00:01:53.520 --> 00:01:55.520]  正月二十日
[00:01:55.520 --> 00:01:56.520]  佢所寫嘅
[00:01:56.520 --> 00:01:59.520]  佢夢見自己嘅妻子
[00:01:59.520 --> 00:02:01.520]  傷心感慨之餘
[00:02:01.520 --> 00:02:04.520]  就寫咗呢一首千古名詞
[00:02:04.520 --> 00:02:06.520]  嗰時候
[00:02:06.520 --> 00:02:09.520]  佢嘅妻子黃昏已經去世咗十年
[00:02:09.520 --> 00:02:13.520]  呢十年嚟亦都係蘇軾最坎坷嘅日子
[00:02:13.520 --> 00:02:15.520]  仕途不如意
[00:02:15.520 --> 00:02:17.520]  喺潮州受人排斥
[00:02:17.520 --> 00:02:18.520]  多次被貶
[00:02:18.520 --> 00:02:20.520]  呢一年正月二十日
[00:02:20.520 --> 00:02:24.520]  佢發夢見到佢嘅太太黃昏
[00:02:24.520 --> 00:02:27.520]  呢份隱藏咗十年思念
[00:02:27.520 --> 00:02:30.520]  終於喺夢中爆發出嚟
[00:02:30.520 --> 00:02:32.520]  亦都成就咗蘇東坡
[00:02:32.520 --> 00:02:36.520]  呢首名垂千古嘅經典詞作
[00:02:36.520 --> 00:02:39.520]  十年生死兩茫茫
[00:02:39.520 --> 00:02:42.520]  長久嘅鬱結喺心中嘅悲嘆
[00:02:42.520 --> 00:02:45.520]  喺頭一句就已經表露無遺
[00:02:45.520 --> 00:02:49.520]  亦都係為成首詞定下咗個主調
[00:02:49.520 --> 00:02:51.520]  淒涼至極
[00:02:51.520 --> 00:02:53.520]  兩茫茫
[00:02:53.520 --> 00:02:56.520]  唔係淨係佢單方面
[00:02:56.520 --> 00:02:59.520]  有咁樣嘅心情同埋有咁嘅感受
[00:02:59.520 --> 00:03:03.520]  佢想像到喺九泉之下嘅妻子
[00:03:03.520 --> 00:03:05.520]  一樣係有咁樣嘅感受
