
[00:00:00.000 --> 00:00:05.000]  人生你記得
[00:00:05.000 --> 00:00:09.000]  我們在這個世界上只有借用權
[00:00:09.000 --> 00:00:11.000]  沒有擁有權
[00:00:11.000 --> 00:00:13.000]  你是借來用的
[00:00:13.000 --> 00:00:17.000]  遲早有一天你擁有的一切
[00:00:17.000 --> 00:00:19.000]  不是他們離開你
[00:00:19.000 --> 00:00:22.000]  就是你離開他們
[00:00:22.000 --> 00:00:25.000]  同不同意嗎?
[00:00:25.000 --> 00:00:27.000]  有多少人同意呢?舉手
[00:00:27.000 --> 00:00:30.000]  全部都同意
[00:00:30.000 --> 00:00:34.000]  所以你記得你的身份是Kella
[00:00:34.000 --> 00:00:39.000]  我們全部都是銀行的貴委員
[00:00:39.000 --> 00:00:42.000]  每天你數多少億都好
[00:00:42.000 --> 00:00:44.000]  你不需要高興
[00:00:44.000 --> 00:00:47.000]  第二你只數幾百元
[00:00:47.000 --> 00:00:49.000]  你又不需要不高興
[00:00:49.000 --> 00:00:52.000]  第三你更加不需要
[00:00:52.000 --> 00:00:55.000]  跟那些數億的同事一起去
[00:00:55.000 --> 00:00:58.000]  更加不需要跟那些數億多的比較
[00:00:58.000 --> 00:01:00.000]  然後自卑
[00:01:00.000 --> 00:01:02.000]  原因在哪裡?
[00:01:02.000 --> 00:01:04.000]  無論你數多少都好
[00:01:04.000 --> 00:01:06.000]  經過你手的那些
[00:01:06.000 --> 00:01:09.000]  全部都不是你的
[00:01:09.000 --> 00:01:11.000]  你記得這件事
[00:01:11.000 --> 00:01:15.000]  你的人生完全不同了
[00:01:15.000 --> 00:01:17.000]  你抓住上帝的允許
[00:01:17.000 --> 00:01:19.000]  八十九磅
[00:01:19.000 --> 00:01:23.000]  億屈都可以改變
[00:01:23.000 --> 00:01:26.000]  對人生很灰
[00:01:26.000 --> 00:01:28.000]  覺得人生沒有意義
[00:01:28.000 --> 00:01:30.000]  你可以改變
[00:01:30.000 --> 00:01:31.000]  我都告訴大家
[00:01:31.000 --> 00:01:34.000]  我自己有同類一些的經歷
[00:01:34.000 --> 00:01:36.000]  這個經歷主要是什麼呢?
[00:01:36.000 --> 00:01:39.000]  就是因為我媽媽
[00:01:39.000 --> 00:01:41.000]  下來了香港之後
[00:01:41.000 --> 00:01:44.000]  我們一家在中國解放的時候
[00:01:44.000 --> 00:01:46.000]  我們下來
