
[00:00:00.000 --> 00:00:02.000]  多謝基爺的介紹
[00:00:02.000 --> 00:00:04.000]  我都想不到
[00:00:04.000 --> 00:00:06.000]  我上一次在12月尾
[00:00:06.000 --> 00:00:08.000]  講了最後一課之後
[00:00:08.000 --> 00:00:10.000]  想著真的完結了
[00:00:10.000 --> 00:00:12.000]  由於施牧師見我回到香港
[00:00:12.000 --> 00:00:14.000]  沒什麼事做
[00:00:14.000 --> 00:00:16.000]  他就問我
[00:00:16.000 --> 00:00:18.000]  可不可以幫忙講道
[00:00:18.000 --> 00:00:20.000]  很多謝大家過往
[00:00:20.000 --> 00:00:22.000]  在我岳母的喪禮上
[00:00:22.000 --> 00:00:24.000]  對我們關心支持
[00:00:24.000 --> 00:00:26.000]  剛剛那天
[00:00:26.000 --> 00:00:28.000]  星期二辦完喪事之後
[00:00:28.000 --> 00:00:30.000]  我坐在施牧師旁邊
[00:00:30.000 --> 00:00:32.000]  施牧師問我可不可以幫忙講道
[00:00:32.000 --> 00:00:34.000]  他剛幫完我
[00:00:34.000 --> 00:00:36.000]  我很難答不可以
[00:00:36.000 --> 00:00:38.000]  特別見到他做到焦頭爛額
[00:00:38.000 --> 00:00:40.000]  所以我覺得
[00:00:40.000 --> 00:00:42.000]  趁這個機會
[00:00:42.000 --> 00:00:44.000]  今天真是
[00:00:44.000 --> 00:00:46.000]  我相信是最後一次
[00:00:46.000 --> 00:00:48.000]  3月31日正式上班
[00:00:48.000 --> 00:00:50.000]  的時間回到今天
[00:00:50.000 --> 00:00:52.000]  想不到在這個時間
[00:00:52.000 --> 00:00:54.000]  在這個情況下
[00:00:54.000 --> 00:00:56.000]  有機會回來香港和大家分享這段情景
[00:00:56.000 --> 00:00:58.000]  終極一戰不是講我
[00:00:58.000 --> 00:01:00.000]  是講一段經文
[00:01:00.000 --> 00:01:04.000]  在羅馬書裏面
[00:01:04.000 --> 00:01:06.000]  整個佈局
[00:01:06.000 --> 00:01:08.000]  可以說是非常周密
[00:01:08.000 --> 00:01:10.000]  非常重要
[00:01:10.000 --> 00:01:12.000]  有人這樣形容
[00:01:12.000 --> 00:01:14.000]  如果聖經是一隻戒指
[00:01:14.000 --> 00:01:16.000]  羅馬書
[00:01:16.000 --> 00:01:18.000]  就是戒指上的那顆鑽石
[00:01:18.000 --> 00:01:20.000]  如果羅馬書第八章
[00:01:20.000 --> 00:01:22.000]  是什麼呢?
[00:01:22.000 --> 00:01:24.000]  羅馬書第八章就是鑽石上
[00:01:24.000 --> 00:01:26.000]  非常閃耀的光芒
[00:01:26.000 --> 00:01:28.000]  就是羅馬書第八章
[00:01:28.000 --> 00:01:30.000]  如果你明白整個羅馬書的佈局
[00:01:30.000 --> 00:01:32.000]  我相信你都會同意
[00:01:32.000 --> 00:01:34.000]  這個說法
[00:01:34.000 --> 00:01:36.000]  羅馬書基本上
[00:01:36.000 --> 00:01:38.000]  分開兩大部分
[00:01:38.000 --> 00:01:40.000]  前面那部分叫做「恩順清義」
[00:01:40.000 --> 00:01:42.000]  即是我們所相信的福音
[00:01:42.000 --> 00:01:44.000]  是什麼呢?
[00:01:44.000 --> 00:01:46.000]  為什麼要信耶穌?
[00:01:46.000 --> 00:01:48.000]  就是從第一章到第八章
[00:01:48.000 --> 00:01:50.000]  而後面有一個附錄
[00:01:50.000 --> 00:01:52.000]  就是第九章到第八章
[00:01:52.000 --> 00:01:54.000]  如果所有人都得救
[00:01:54.000 --> 00:01:56.000]  特別的個案
[00:01:56.000 --> 00:01:58.000]  以色列人從舊約開始已經是神的子民
