
[00:00:00.000 --> 00:00:02.000]  領主們我曾經講過
[00:00:02.000 --> 00:00:05.000]  我希望用幾次我們崇拜的講道
[00:00:05.000 --> 00:00:08.000]  圍繞著一個主題
[00:00:08.000 --> 00:00:11.000]  這個主題是取自聖經新約
[00:00:11.000 --> 00:00:14.000]  雅各書的第一章
[00:00:14.000 --> 00:00:19.000]  因為人的怒氣並不成就神的意
[00:00:19.000 --> 00:00:26.000]  我們特別圍繞著這個怒氣這個課題
[00:00:26.000 --> 00:00:31.000]  或者你會覺得怒氣發生在生氣是小事
[00:00:31.000 --> 00:00:33.000]  是難免的
[00:00:33.000 --> 00:00:37.000]  但是我自己越來越有這樣的感覺
[00:00:37.000 --> 00:00:41.000]  我覺得我們真是來到一個彎曲背貌的世代
[00:00:41.000 --> 00:00:45.000]  我們越來越多機會碰到很多令我們失望的事
[00:00:45.000 --> 00:00:50.000]  又會見到越來越多令我們失望的人
[00:00:50.000 --> 00:00:52.000]  所以我們的脾氣
[00:00:52.000 --> 00:00:54.000]  我們的怒氣
[00:00:54.000 --> 00:00:56.000]  我們的怒氣
[00:00:56.000 --> 00:01:00.000]  是比我們想像中的越來越多
[00:01:00.000 --> 00:01:04.000]  你可以想像一下尤其是過去這兩三年
[00:01:04.000 --> 00:01:07.000]  無論在你自己的家裏
[00:01:07.000 --> 00:01:10.000]  你身邊的人包括你自己在內
[00:01:10.000 --> 00:01:13.000]  在工作的場所
[00:01:13.000 --> 00:01:15.000]  甚至在街上
[00:01:15.000 --> 00:01:19.000]  在地鐵
[00:01:19.000 --> 00:01:24.000]  在這個碰到的日常生活裏面
[00:01:24.000 --> 00:01:30.000]  我們發覺人那種怨氣那種怒氣是越來越多
[00:01:30.000 --> 00:01:33.000]  我感覺到發怒這件事
[00:01:33.000 --> 00:01:39.000]  越來越變成一個越來越普遍和嚴重的罪
[00:01:39.000 --> 00:01:47.000]  我不是說得好像很嚴重那樣誇張
[00:01:47.000 --> 00:01:51.000]  大家不要忘記在基督教的傳統裏面
[00:01:51.000 --> 00:01:54.000]  我們經常稱為七宗罪
[00:01:54.000 --> 00:01:58.000]  七種在信仰在聖經裏面
[00:01:58.000 --> 00:02:00.000]  我們認為是最值得我們留心
[00:02:00.000 --> 00:02:03.000]  很容易拖到我們的罪裏面
[00:02:03.000 --> 00:02:06.000]  其中一樣就是這個怒氣
[00:02:06.000 --> 00:02:09.000]  所以我很想用幾次的時間
[00:02:09.000 --> 00:02:11.000]  回到神的說話
[00:02:11.000 --> 00:02:13.000]  去和大家一起去學習
[00:02:13.000 --> 00:02:18.000]  怎樣可以去面對去改變我們
[00:02:18.000 --> 00:02:21.000]  讓我們不單止可以在怒氣上
[00:02:21.000 --> 00:02:24.000]  不是被魔鬼留地步
[00:02:24.000 --> 00:02:25.000]  在聖經所說的
[00:02:25.000 --> 00:02:30.000]  甚至可以成為這個世代我們周圍的人一種的見證
[00:02:30.000 --> 00:02:34.000]  我們上一次已經從聖經的各個角度
