
[00:00:00.000 --> 00:00:09.000]  現在講到深層心理學和聖靈的工作
[00:00:09.000 --> 00:00:12.000]  這個在我過去這十年裏面都想解決的問題
[00:00:12.000 --> 00:00:15.000]  現在我不敢說我解決
[00:00:15.000 --> 00:00:19.000]  不過都算有個中期報告
[00:00:19.000 --> 00:00:24.000]  都算有一點總結對自己看了這麼多書
[00:00:24.000 --> 00:00:27.000]  我看了很多書,不過我不想告訴你多少本
[00:00:27.000 --> 00:00:32.000]  總之很多,你會發現我今天的筆記裏面
[00:00:32.000 --> 00:00:35.000]  講潛意識的部分是很多的
[00:00:35.000 --> 00:00:39.000]  你不用聽我說潛意識,心理學的東西
[00:00:39.000 --> 00:00:44.000]  我有一點不贊成的,因為我看了這麼多書裏面
[00:00:44.000 --> 00:00:49.000]  似乎不是很多書對潛意識有一個全面的了解
[00:00:49.000 --> 00:00:52.000]  很多書講潛意識,很多學派
[00:00:52.000 --> 00:00:55.000]  不下一百幾十個學派來看潛意識
[00:00:55.000 --> 00:00:57.000]  但每個學派都看它一面
[00:00:57.000 --> 00:01:01.000]  我嘗試看了這麼多,把它總合起來
[00:01:01.000 --> 00:01:06.000]  找出我自己的潛意識藍圖和了解
[00:01:06.000 --> 00:01:09.000]  我相信我們中間有些人都是讀心理學的
[00:01:09.000 --> 00:01:12.000]  如果我說錯了,請你幫我補充
[00:01:12.000 --> 00:01:16.000]  我始終覺得我寫這麼多,第一對自己有個總結
[00:01:16.000 --> 00:01:21.000]  第二我覺得應該有些貢獻,甚至在心理學的角度來說
[00:01:21.000 --> 00:01:25.000]  直到現在我可能還未看完這麼多書
[00:01:25.000 --> 00:01:29.000]  但我看的書裏面還未有一本書可以這麼全面
[00:01:29.000 --> 00:01:33.000]  對潛意識這個問題有交代,比較平衡一點
[00:01:33.000 --> 00:01:36.000]  很多書講潛意識都很神秘、很爽,很特別
[00:01:36.000 --> 00:01:39.000]  但可能不是很準確、偏差
[00:01:39.000 --> 00:01:44.000]  希望今天跟大家先花不少的時間
[00:01:44.000 --> 00:01:49.000]  跟大家去探索這個所謂潛意識這個特別的課題
[00:01:49.000 --> 00:01:55.000]  然後我們第二部分處理究竟聖靈的工作、神的啟示
[00:01:55.000 --> 00:01:59.000]  神對我們所講的說話、神的能力在我們生命裏面
[00:01:59.000 --> 00:02:05.000]  新生命的工作和我們所講到的潛意識之間的關係是怎樣
[00:02:05.000 --> 00:02:11.000]  希望大家可以試一試去跟著這條路去掙扎
[00:02:11.000 --> 00:02:14.000]  去思想和我一起去思考,一起去掙扎
[00:02:14.000 --> 00:02:18.000]  我們不是為了好奇,我們希望可以透過這個了解
[00:02:18.000 --> 00:02:20.000]  摸到我們自己內心的世界
[00:02:20.000 --> 00:02:22.000]  到明晚你就知道我說的有意思
[00:02:22.000 --> 00:02:26.000]  因為我們讀柱的時候,其實是對一個很重要的部分
[00:02:26.000 --> 00:02:28.000]  對自己內心真實世界的發現
[00:02:28.000 --> 00:02:30.000]  你發現到你內心世界是怎樣
[00:02:30.000 --> 00:02:34.000]  夠膽去面對的話,你就摸到讀柱的真正意義
[00:02:34.000 --> 00:02:38.000]  如果不是讀柱的話,你會很痛苦,甚至可能很孤立
[00:02:38.000 --> 00:02:41.000]  一個好的讀柱令到一個人更加自由
[00:02:41.000 --> 00:02:44.000]  一個不好的讀柱令到一個人更加枯萎
[00:02:44.000 --> 00:02:50.000]  這個關鍵在於你自己摸不摸到你真正內心世界的圖畫是怎樣
[00:02:50.000 --> 00:02:52.000]  這個是牽涉到潛意識的
[00:02:52.000 --> 00:02:56.000]  所以今天所講的東西是引導明天都有意思在當中
[00:02:56.000 --> 00:03:01.000]  希望大家一起去留心去想
[00:03:01.000 --> 00:03:04.000]  我一起先祈禱我們求我們的主幫助我們
[00:03:04.000 --> 00:03:06.000]  奇妙的全能的主
[00:03:06.000 --> 00:03:11.000]  我們今晚謙卑,恭敬
[00:03:11.000 --> 00:03:18.000]  在你面前,我們求你幫我們了解我們自己,了解你
[00:03:18.000 --> 00:03:21.000]  主啊,我們知道你做我們的時候
[00:03:21.000 --> 00:03:24.000]  實在是給我們一個很奇妙的世界
[00:03:24.000 --> 00:03:26.000]  在我們的心靈裏面
[00:03:26.000 --> 00:03:33.000]  我們都承認有很多我們未明白,未知道的地方
[00:03:33.000 --> 00:03:37.000]  但當我們仰望你的時候,主啊,我們看見
[00:03:37.000 --> 00:03:41.000]  你是那位創造我們的神
[00:03:41.000 --> 00:03:45.000]  你看透我們心裏面每一個部分
[00:03:45.000 --> 00:03:48.000]  所以我們就帶著這份愚昧
[00:03:48.000 --> 00:03:50.000]  帶著這份渴求來到你面前
[00:03:50.000 --> 00:03:55.000]  我們求你幫助我們今晚可以靠著你自己的恩典
[00:03:55.000 --> 00:03:57.000]  靠著你聖靈的幫助
[00:03:57.000 --> 00:04:01.000]  引導我們揭開我們內心世界的真理
[00:04:01.000 --> 00:04:03.000]  讓我們不會偏差
[00:04:03.000 --> 00:04:06.000]  更加讓我們不是單停留在好奇
[00:04:06.000 --> 00:04:11.000]  讓我們真是體會到我們背後這個未發現的世界的時候
[00:04:11.000 --> 00:04:15.000]  就更加能夠欣賞,甚至更加能夠經歷
[00:04:15.000 --> 00:04:18.000]  你在我們的生命當中所做的工作
[00:04:18.000 --> 00:04:20.000]  主啊,你知道我們所想的,所希望的
[00:04:20.000 --> 00:04:22.000]  不是知道一些的資料
[00:04:22.000 --> 00:04:25.000]  但是想知道究竟我們怎樣可以分辨
[00:04:25.000 --> 00:04:29.000]  去學習聆聽你自己在我們心裏面對我們所說的話
[00:04:29.000 --> 00:04:32.000]  主啊,求你就欣賞我們這份的祈求
[00:04:32.000 --> 00:04:34.000]  你自己恩代我們
[00:04:34.000 --> 00:04:36.000]  幫助我們每一個人,特別是講的
[00:04:36.000 --> 00:04:38.000]  是聽的
[00:04:38.000 --> 00:04:40.000]  都有你自己恩典在你面前蒙恩
