
[00:00:00.000 --> 00:00:08.500]  《史徒函》轉記載十五篇的講章
[00:00:08.500 --> 00:00:15.300]  今天我們來到二十章是第十篇
[00:00:15.300 --> 00:00:17.500]  不難記的
[00:00:17.500 --> 00:00:23.800]  頭那五篇從第二章五秦節
[00:00:23.800 --> 00:00:29.800]  彼得和十一個使徒站起來高聲說開始
[00:00:29.800 --> 00:00:33.300]  停在第七章第五篇的講章
[00:00:33.300 --> 00:00:39.000]  是史提反殉道之前所講的舊約
[00:00:39.000 --> 00:00:42.300]  上帝救恩的歷史
[00:00:42.300 --> 00:00:48.800]  最後那五篇是二十二章到二十七章
[00:00:48.800 --> 00:00:58.300]  保羅在猶太人、外邦人、羅馬的官府面前
[00:00:58.300 --> 00:01:02.300]  見證耶穌基督
[00:01:02.300 --> 00:01:06.800]  中間這五篇就由第十章
[00:01:06.800 --> 00:01:15.300]  彼得對戈尼留第一個外邦人信主的報道開始
[00:01:15.300 --> 00:01:21.800]  二十章保羅向以弗所教會長老
[00:01:21.800 --> 00:01:24.800]  說別的講章
[00:01:24.800 --> 00:01:28.800]  所以十五篇、五篇、五篇、五篇
[00:01:28.800 --> 00:01:32.300]  三個段落很清楚
[00:01:32.300 --> 00:01:33.800]  你不記得也好
[00:01:33.800 --> 00:01:37.300]  回去你打開一找就出來
[00:01:37.300 --> 00:01:39.300]  這一篇的講章
[00:01:39.300 --> 00:01:42.800]  在十五篇的講道裡面最特別的地方
[00:01:42.800 --> 00:01:46.300]  就是他不是和猶太人
[00:01:46.300 --> 00:01:52.300]  也不是和外邦人見證福音的講章
[00:01:52.300 --> 00:01:54.800]  是唯一《史道行傳》裡面
[00:01:54.800 --> 00:02:01.800]  向教會所講的一篇講章
[00:02:01.800 --> 00:02:03.800]  我們就要知道一點點
[00:02:03.800 --> 00:02:08.800]  保羅和以弗所教會的關係
[00:02:08.800 --> 00:02:10.800]  通常我們讀《史道行傳》
[00:02:10.800 --> 00:02:13.300]  就記得保羅四次全道旅程
[00:02:13.300 --> 00:02:14.800]  已經很厲害了
[00:02:14.800 --> 00:02:16.300]  哪四次呢?
[00:02:16.300 --> 00:02:20.300]  就要問主要學老師才記得了
[00:02:20.300 --> 00:02:22.300]  你記得第一次
[00:02:22.300 --> 00:02:24.800]  他和巴拿巴在安提拉教會
[00:02:24.800 --> 00:02:26.300]  在牧養的時候
[00:02:26.300 --> 00:02:31.300]  聖靈說要為我分派巴拿巴和掃羅出去
[00:02:31.300 --> 00:02:34.300]  做我所吩咐他們要做的事
[00:02:34.300 --> 00:02:37.300]  兩個人帶著約翰馬赫出去
[00:02:37.300 --> 00:02:40.300]  結果不是向猶太人傳道
[00:02:40.300 --> 00:02:45.300]  乃是神為他們開外邦人信道之門
[00:02:45.300 --> 00:02:49.300]  這是第一次保羅的全道旅程
[00:02:49.300 --> 00:02:50.300]  第二次呢?
[00:02:50.300 --> 00:02:51.300]  記不記得?
[00:02:51.300 --> 00:02:53.300]  巴拿巴說我們又再去
[00:02:53.300 --> 00:02:54.800]  保羅說好
[00:02:54.800 --> 00:02:56.300]  巴拿巴說帶約翰去
[00:02:56.300 --> 00:02:57.800]  馬赫去好不好?
[00:02:57.800 --> 00:02:59.300]  保羅說不好
[00:02:59.300 --> 00:03:01.800]  於是二人起了爭論
[00:03:01.800 --> 00:03:04.300]  甚至彼此分開
[00:03:04.300 --> 00:03:06.800]  我們說安提拉教會好東西
[00:03:06.800 --> 00:03:08.300]  分開
[00:03:08.300 --> 00:03:11.300]  那就雙倍宣教的額外資金
[00:03:11.300 --> 00:03:14.300]  一對宣教隊現在變成兩對
[00:03:14.300 --> 00:03:17.300]  不需要教會分裂
[00:03:17.300 --> 00:03:18.300]  所以結果
[00:03:18.300 --> 00:03:22.300]  巴拿巴帶約翰馬赫往居比路去傳道
[00:03:22.300 --> 00:03:27.800]  保羅和西拉以為是回去亞細亞
[00:03:27.800 --> 00:03:30.800]  原來耶穌的靈又不許
[00:03:30.800 --> 00:03:32.300]  聖靈又禁止
[00:03:32.300 --> 00:03:33.300]  記得嗎?
[00:03:33.300 --> 00:03:34.300]  十六章
[00:03:34.300 --> 00:03:38.300]  原來第二次的傳道旅程
