
[00:00:00.000 --> 00:00:03.520]  DIY是Do It Yourself的簡寫
[00:00:03.520 --> 00:00:08.640]  如果你有留意社會發展和流行文化的
[00:00:08.640 --> 00:00:12.880]  你大概會很驚訝地注意到
[00:00:12.880 --> 00:00:16.000]  我們今天的兩性的走勢和發展
[00:00:16.000 --> 00:00:17.840]  是讓我們很擔心的
[00:00:17.840 --> 00:00:22.640]  意思就是男人變得越來越難受的小男人
[00:00:22.640 --> 00:00:27.120]  而女人也變得從來沒見過這麼臭的臭女人
[00:00:27.120 --> 00:00:29.520]  包括她的體味和她的言語
[00:00:29.520 --> 00:00:37.040]  我很多年前對這個問題做過一些近距離的觀察和研究
[00:00:37.040 --> 00:00:40.080]  直到最近才把它整理成篇
[00:00:40.080 --> 00:00:42.800]  希望可以提出一些修正之道
[00:00:42.800 --> 00:00:44.960]  可以忘羊補牢
[00:00:44.960 --> 00:00:50.320]  我會分開四個階段和你解釋這個問題
[00:00:50.320 --> 00:00:57.040]  首先我會敘述一些常見的街頭小徑
[00:00:57.040 --> 00:01:02.160]  來講出我們今天所關心的問題是真實地存在
[00:01:02.160 --> 00:01:03.440]  不是我作出來的
[00:01:03.440 --> 00:01:06.400]  我多數都會將我觀察到的
[00:01:06.400 --> 00:01:12.240]  加上在哪裡和什麼時候見到的這些街景來講出來
[00:01:12.240 --> 00:01:16.240]  我相信你都可以補上很多這類的小故事
[00:01:16.240 --> 00:01:22.000]  接著我會嘗試從文化和社會的角度
[00:01:22.000 --> 00:01:25.520]  來給這個現象一個解話
[00:01:25.520 --> 00:01:30.000]  我相信當中所發生的這種的逆性發展
[00:01:30.000 --> 00:01:36.400]  是跟現代人誤解了什麼叫做男性masculinity
[00:01:36.400 --> 00:01:40.080]  什麼叫做女性femininity是有關的
[00:01:40.080 --> 00:01:44.080]  是誤解了這兩個最重要的目標
[00:01:44.080 --> 00:01:47.280]  我們就向錯誤的方向發展了
[00:01:47.280 --> 00:01:53.360]  第三段我會敘述兩個的故事
[00:01:53.360 --> 00:01:58.480]  是可以代表了人類那種勇氣和承擔的理想
