
[00:00:00.000 --> 00:00:05.680]  大家好 今天是平安夜
[00:00:05.680 --> 00:00:07.120]  明天是聖誕節
[00:00:07.120 --> 00:00:11.040]  帶著歡樂的來慶祝主的降生
[00:00:11.040 --> 00:00:19.200]  平安夜是紀念耶穌基督為我們降臨
[00:00:19.200 --> 00:00:21.440]  剛才唱了兩首詩
[00:00:21.440 --> 00:00:25.360]  小百里行提到一個安靜的城
[00:00:25.360 --> 00:00:28.800]  雖然世上紛亂 很多戰爭
[00:00:28.800 --> 00:00:33.280]  但基督的降臨帶給我們和平和盼望
[00:00:33.280 --> 00:00:37.440]  按照中林期第四個星期
[00:00:37.440 --> 00:00:42.400]  今天主題是盼望和平
[00:00:42.400 --> 00:00:50.080]  按照教會經文路加福音一章26至36節
[00:00:50.080 --> 00:00:52.960]  我們每年都差不多讀這些經文
[00:00:52.960 --> 00:00:54.000]  很熟悉的 是不是
[00:00:54.000 --> 00:00:55.920]  我們都讀一次 一起讀
[00:00:55.920 --> 00:00:58.960]  26節 到了第六個月
[00:00:58.960 --> 00:01:04.640]  天使加伯列奉神的差遣往加利利的一座城去
[00:01:04.640 --> 00:01:06.880]  這城名叫拿撒勒
[00:01:06.880 --> 00:01:08.880]  到一個童女那裡
[00:01:08.880 --> 00:01:12.080]  是已經許背大衛家的一個人
[00:01:12.080 --> 00:01:13.680]  名叫若瑟
[00:01:13.680 --> 00:01:16.240]  童女的名字叫瑪麗亞
[00:01:16.240 --> 00:01:18.640]  天使進去對她說
[00:01:18.640 --> 00:01:22.000]  蒙大恩的女子我問你安
[00:01:22.000 --> 00:01:24.240]  主和你同在了
[00:01:24.240 --> 00:01:27.440]  瑪麗亞因這話就肯驚慌
[00:01:27.440 --> 00:01:31.920]  又反覆思想這又問安是甚麼意思
[00:01:31.920 --> 00:01:33.520]  天使對她說
[00:01:33.520 --> 00:01:35.360]  瑪麗亞不要怕
[00:01:35.360 --> 00:01:38.480]  你在神面前已經蒙恩了
[00:01:38.480 --> 00:01:40.640]  你要懷孕生子
[00:01:40.640 --> 00:01:43.440]  可以給他起名叫耶穌
[00:01:43.440 --> 00:01:44.880]  他要為大
[00:01:44.880 --> 00:01:47.440]  稱為至高者的兒子
[00:01:47.440 --> 00:01:51.200]  主神要把他祖大位的位給他
[00:01:51.200 --> 00:01:53.600]  他要作哪個家的王
[00:01:53.600 --> 00:01:55.120]  直到永遠
