
[00:00:00.000 --> 00:00:05.280]  肯定告訴你 走火警不是在港島的時候發生的
[00:00:05.280 --> 00:00:09.640]  所以請你的心不要這麼心急
[00:00:09.640 --> 00:00:15.000]  我待會帶些什麼走呢 諸如此類 我們專心在聽著
[00:00:15.000 --> 00:00:20.580]  負責的大英姐妹 原先告訴我 港島10點3分
[00:00:20.580 --> 00:00:24.960]  然後領事又很短 希望多點時間在港島
[00:00:24.960 --> 00:00:27.640]  後來才發現原來我們很多時間
[00:00:27.640 --> 00:00:32.440]  所以由很緊張的時間 變成很鬆軟的時間
[00:00:32.440 --> 00:00:35.720]  所以希望大家不要心急 諸如此類
[00:00:35.720 --> 00:00:37.720]  我們真的專心在聽著
[00:00:37.720 --> 00:00:39.720]  我們今天講的是「成性」
[00:00:39.720 --> 00:00:42.840]  「成性」其實有意思是分別為性
[00:00:42.840 --> 00:00:45.640]  這個地方其實是分別為性
[00:00:45.640 --> 00:00:49.440]  不是因為我 也不是因為你 是因為神
[00:00:49.440 --> 00:00:55.840]  這個是聖殿 今天是主人 神在我們當中的時候
[00:00:55.840 --> 00:00:57.840]  這個地方就是分別為性
[00:00:57.840 --> 00:01:02.240]  所以讓我們今天崇拜的時候 讓我們的心對準祂
[00:01:02.240 --> 00:01:07.520]  讓我們在祂面前敬拜 讓祂親自來向我們說話
[00:01:07.520 --> 00:01:15.600]  很感謝神真的有機會讓我講完這個許多話
[00:01:15.600 --> 00:01:22.520]  講完這個四重福音的系列
[00:01:22.520 --> 00:01:26.240]  原先安排了每個月講一次 不行
[00:01:26.240 --> 00:01:28.240]  我以為後來沒有機會
[00:01:28.240 --> 00:01:31.020]  但是多謝宋長老 他又在掙扎
[00:01:31.020 --> 00:01:34.860]  終於給我有機會講四次
[00:01:34.860 --> 00:01:38.320]  除了今天之外 11月最後兩個主日
[00:01:38.320 --> 00:01:44.440]  我們會講耶穌是醫治的主 和耶穌是在來的王
[00:01:44.440 --> 00:01:47.040]  其實當我預備這個四重福音的時候
[00:01:47.040 --> 00:01:51.840]  越是預備 我越是覺得這個訊息是非常非常重要
[00:01:51.840 --> 00:01:57.040]  我們所相信的福音是整全的 是豐富的
[00:01:57.040 --> 00:01:59.040]  是改變生命的
[00:01:59.040 --> 00:02:01.640]  我們上一次講到耶穌是救主的
[00:02:01.640 --> 00:02:05.240]  我們說很重要的就是 不單只是耶穌拯救我們
[00:02:05.240 --> 00:02:08.360]  祂更加是成為我們生命的王
[00:02:08.360 --> 00:02:10.640]  祂給我們豐盛的生命
[00:02:10.640 --> 00:02:12.520]  當我們真的願意去投靠祂的時候
[00:02:12.520 --> 00:02:15.200]  其實我們生命是不再一樣的
[00:02:15.200 --> 00:02:17.560]  但是我們怎樣才能夠堅定這個豐盛的生命呢?
[00:02:17.560 --> 00:02:21.000]  其中一個key 一個要訣就是什麼呢?
