
[00:00:00.000 --> 00:00:04.000]  今晚我們來到《利美記》第十九章
[00:00:04.000 --> 00:00:11.000]  亦都是我們提過的傳卷書的中心
[00:00:11.000 --> 00:00:18.000]  我們上一堂提到《利美記》十九章的前後兩章
[00:00:18.000 --> 00:00:21.000]  即是十八章和二十章
[00:00:21.000 --> 00:00:23.000]  是很相似的
[00:00:23.000 --> 00:00:27.000]  不單止開頭結尾提到
[00:00:27.000 --> 00:00:30.000]  以色列人作為上帝的子民
[00:00:30.000 --> 00:00:32.000]  需要分別為聖
[00:00:32.000 --> 00:00:39.000]  不要和當地的文化侵襲
[00:00:39.000 --> 00:00:42.000]  他們要和他們不同
[00:00:42.000 --> 00:00:46.000]  討論的內容亦都很相似
[00:00:46.000 --> 00:00:48.000]  上一堂我們已經提過
[00:00:48.000 --> 00:00:52.000]  講到在聖的關係上
[00:00:52.000 --> 00:00:59.000]  以及講到不要把兒女獻給摩洛經火
[00:00:59.000 --> 00:01:02.000]  十八章和二十章這樣的重複
[00:01:02.000 --> 00:01:07.000]  或者說是一個呼應
[00:01:07.000 --> 00:01:17.000]  最重要的作用就是將十九章的核心位置凸顯出來
[00:01:17.000 --> 00:01:22.000]  所以如果第十九章是利美記的中心的話
[00:01:22.000 --> 00:01:27.000]  大概它不是和合本的標題所說
[00:01:27.000 --> 00:01:32.000]  只是將一些沒法歸類的誡明
[00:01:32.000 --> 00:01:36.000]  將它放在一起
[00:01:36.000 --> 00:01:41.000]  但完全看不到意思在哪裡
[00:01:41.000 --> 00:01:43.000]  如果將它放在最後
[00:01:43.000 --> 00:01:44.000]  我們可以這樣說
[00:01:44.000 --> 00:01:46.000]  附錄
[00:01:46.000 --> 00:01:52.000]  但在傳卷書的中間核心最重要的地方
[00:01:52.000 --> 00:01:57.000]  我們必須要小心地讀
[00:01:57.000 --> 00:01:59.000]  這章很長
[00:01:59.000 --> 00:02:02.000]  雖然不是最長的一章聖經
[00:02:02.000 --> 00:02:08.000]  但它有接近四十節
[00:02:08.000 --> 00:02:11.000]  今晚我不想和你讀完
[00:02:11.000 --> 00:02:13.000]  我們只讀一半
[00:02:13.000 --> 00:02:17.000]  由第一節到第十八節
[00:02:17.000 --> 00:02:18.000]  不過讀的時候
[00:02:18.000 --> 00:02:22.000]  我不想逐節讀
[00:02:22.000 --> 00:02:28.000]  我們跟從這章經文本來分段的格式
[00:02:28.000 --> 00:02:32.000]  就是說每一個小段結束的時候
[00:02:32.000 --> 00:02:35.000]  都會出現同一句說話
[00:02:35.000 --> 00:02:38.000]  那句說話就等於在沒有標點符號
[00:02:38.000 --> 00:02:42.000]  沒有分段的記認的情況下
[00:02:42.000 --> 00:02:47.000]  就等於那個句號的總結
[00:02:47.000 --> 00:02:51.000]  這句說話就是「我是耶和華」
[00:02:51.000 --> 00:02:54.000]  所以我們由第一節開始讀起
[00:02:54.000 --> 00:02:57.000]  我們會請弟兄姊妹輪流讀
[00:02:57.000 --> 00:03:00.000]  但不是讀一節一節輪流
[00:03:00.000 --> 00:03:02.000]  而是一段一段輪流
[00:03:02.000 --> 00:03:05.000]  所以你要打醒十二分精神
[00:03:05.000 --> 00:03:10.000]  要讀到小段結束出現「我是耶和華」
[00:03:10.000 --> 00:03:13.000]  然後才算讀完
[00:03:13.000 --> 00:03:19.000]  第一句翻譯上好像看不到
[00:03:19.000 --> 00:03:20.000]  所以我讀第一句
[00:03:20.000 --> 00:03:23.000]  請姊妹讀第二個小段
[00:03:23.000 --> 00:03:27.000]  弟兄我和你們一起讀第三段開始
[00:03:27.000 --> 00:03:28.000]  第一段是這樣說的
[00:03:28.000 --> 00:03:30.000]  「耶和華對摩西說
[00:03:30.000 --> 00:03:34.000]  你曉遇以色列傳回中說
[00:03:34.000 --> 00:03:36.000]  你們要聖潔
[00:03:36.000 --> 00:03:41.000]  因為我是耶和華你們的上帝
[00:03:41.000 --> 00:03:44.000]  是聖潔的」請姊妹讀
[00:03:44.000 --> 00:03:48.000]  「你們各人都當孝敬父母
