
[00:00:00.000 --> 00:00:05.400]  各位看見字幕的各位朋友你們好
[00:00:05.400 --> 00:00:08.100]  歡迎大家參加我們三藩市播道會
[00:00:08.100 --> 00:00:10.100]  網上的五堂崇拜
[00:00:10.100 --> 00:00:14.900]  今天我們繼續思想論盡人生這個系列
[00:00:14.900 --> 00:00:17.700]  我們來到第26講
[00:00:17.700 --> 00:00:20.300]  題目叫做天鵝之歌
[00:00:20.300 --> 00:00:23.000]  經文是取自提摩太后書
[00:00:23.000 --> 00:00:26.700]  未開始思想這段聖經之前
[00:00:26.700 --> 00:00:28.700]  請同心一同祷告
[00:00:28.700 --> 00:00:31.800]  慈悲仁愛的天父我們滿心感謝祢
[00:00:31.800 --> 00:00:36.900]  我們知道在祢裏面我們有永生的盼望
[00:00:36.900 --> 00:00:39.700]  以致我們在這個世上活著的時候
[00:00:39.700 --> 00:00:42.700]  是滿有盼望滿有意思的
[00:00:42.700 --> 00:00:48.700]  求祢今天藉著保羅在提摩太后書的信息
[00:00:48.700 --> 00:00:51.700]  給我們有很多的鼓勵和挑戰
[00:00:51.700 --> 00:00:53.300]  祢與我們同在
[00:00:53.300 --> 00:00:55.900]  我們今天祷告拉奉耶穌基督明求
[00:00:55.900 --> 00:00:56.900]  阿們
[00:00:56.900 --> 00:01:01.900]  蘇勒摩曾經寫過一首詞叫做《碗溪沙》
[00:01:01.900 --> 00:01:03.900]  那首詞是這樣的說法
[00:01:03.900 --> 00:01:07.900]  「厄山下難芽短暫溪
[00:01:07.900 --> 00:01:10.900]  從間沙路靜無泥
[00:01:10.900 --> 00:01:13.900]  笑笑無語只窺啼
[00:01:13.900 --> 00:01:16.900]  誰道人生無在少
[00:01:16.900 --> 00:01:19.900]  門前流水尚能西
[00:01:19.900 --> 00:01:23.900]  幽漲白髮暢旺繼」
[00:01:23.900 --> 00:01:26.900]  用我們現在說話來說
[00:01:26.900 --> 00:01:29.900]  當蘇魯伯說
[00:01:29.900 --> 00:01:32.900]  所謂誰道人生無在少
[00:01:32.900 --> 00:01:35.900]  門前流水尚能西
[00:01:35.900 --> 00:01:38.900]  幽漲白髮暢旺繼
[00:01:38.900 --> 00:01:40.900]  就是說
[00:01:40.900 --> 00:01:43.900]  誰說老了之後不會再年輕呢?
[00:01:43.900 --> 00:01:45.900]  你看看
[00:01:45.900 --> 00:01:47.900]  在門前的溪水
[00:01:47.900 --> 00:01:49.900]  尚且能夠向西邊流去
[00:01:49.900 --> 00:01:53.900]  我們何必總是感慨時光流逝
[00:01:53.900 --> 00:01:57.900]  說自己「我老了」
[00:01:57.900 --> 00:02:01.900]  中國河流都是往東流的
[00:02:01.900 --> 00:02:03.900]  不可能往西流
[00:02:03.900 --> 00:02:07.900]  但在我眼前的溪水卻是向西流
[00:02:07.900 --> 00:02:10.900]  我們以為不可能的事
[00:02:10.900 --> 00:02:12.900]  其實都有可能
[00:02:12.900 --> 00:02:14.900]  於是蘇勒摩就引用了
[00:02:14.900 --> 00:02:16.900]  白居易的一首詩叫做《醉歌》
[00:02:16.900 --> 00:02:18.900]  來總結他的一首詞
[00:02:18.900 --> 00:02:22.900]  他說「幽漲白髮暢旺繼」
[00:02:22.900 --> 00:02:25.900]  原來在這首詩裏
[00:02:25.900 --> 00:02:28.900]  白居易借了「繼命報曉」
[00:02:28.900 --> 00:02:30.900]  傷感時間的流逝
[00:02:30.900 --> 00:02:32.900]  生命的老去
[00:02:32.900 --> 00:02:36.900]  人很快很快就老了
[00:02:36.900 --> 00:02:38.900]  老然後就會死
[00:02:38.900 --> 00:02:41.900]  但蘇魯伯卻不是純粹
[00:02:41.900 --> 00:02:44.900]  這個時間的流逝而隨波逐流
[00:02:44.900 --> 00:02:46.900]  他要逆流而上
[00:02:46.900 --> 00:02:49.900]  他見到山腳下溪邊的蘭草
[00:02:49.900 --> 00:02:51.900]  剛剛出了亂芽
[00:02:51.900 --> 00:02:54.900]  浸泡在溪水之中
[00:02:54.900 --> 00:02:57.900]  松樹之間的沙石路
[00:02:57.900 --> 00:03:00.900]  潔淨得一點泥土的塵跡都沒有
[00:03:00.900 --> 00:03:02.900]  已經是黃昏了
[00:03:02.900 --> 00:03:04.900]  雨聲蕭蕭
[00:03:04.900 --> 00:03:07.900]  杜鵑鳥亦在鳴叫
[00:03:07.900 --> 00:03:09.900]  這就是蘇東坡所說的
[00:03:09.900 --> 00:03:12.900]  山下流芽短暫溪
[00:03:12.900 --> 00:03:15.900]  松間沙路靜無泥
[00:03:15.900 --> 00:03:20.900]  蕭蕭無語止虧題的意思
[00:03:20.900 --> 00:03:23.900]  事實上老不老
[00:03:23.900 --> 00:03:25.900]  並不是歲月的問題
[00:03:25.900 --> 00:03:27.900]  而是心態的問題
[00:03:27.900 --> 00:03:30.900]  我剛剛過了八十大壽
[00:03:30.900 --> 00:03:32.900]  難免感到歲月如流水
[00:03:32.900 --> 00:03:35.900]  就想到孔夫子在水邊感慨
[00:03:35.900 --> 00:03:37.900]  世者如師夫
[00:03:37.900 --> 00:03:41.900]  要像蘇東坡那樣逆流而上
[00:03:41.900 --> 00:03:43.900]  真是談何易容易
[00:03:43.900 --> 00:03:46.900]  事實上蘇東坡自己是怎樣
[00:03:46.900 --> 00:03:49.900]  在六十歲那年被貶到惠州
[00:03:49.900 --> 00:03:51.900]  本來是帶著一種
[00:03:51.900 --> 00:03:53.900]  所謂「隨遇而安」的心態
[00:03:53.900 --> 00:03:56.900]  安頓了一家大小
[00:03:56.900 --> 00:03:59.900]  預備在這地方度過餘生
[00:03:59.900 --> 00:04:02.900]  誰知沒多久就接到朝廷的命令
[00:04:02.900 --> 00:04:06.900]  更被貶到最遠最遠的海南島
[00:04:06.900 --> 00:04:08.900]  這是在北宋時期
[00:04:08.900 --> 00:04:11.900]  能夠給官員最大的懲罰
[00:04:11.900 --> 00:04:15.900]  就是被貶到天涯海角
[00:04:15.900 --> 00:04:18.900]  當宋老伯聽到這消息時
[00:04:18.900 --> 00:04:20.900]  他就寫了兩句詩
[00:04:20.900 --> 00:04:24.900]  「年來萬事足,所欠唯一死」
[00:04:24.900 --> 00:04:27.900]  當時去海南島就像今天去月球一樣
[00:04:27.900 --> 00:04:29.900]  往往一去不返
[00:04:29.900 --> 00:04:32.900]  長子蘇萬送他去到海邊
[00:04:32.900 --> 00:04:35.900]  他對他的兒子蘇萬說
[00:04:35.900 --> 00:04:37.900]  自己一到海南島
[00:04:37.900 --> 00:04:39.900]  就會趕緊做好副棺材
[00:04:39.900 --> 00:04:41.900]  選上墓地
[00:04:41.900 --> 00:04:44.900]  死後就將他埋葬在海南島
[00:04:44.900 --> 00:04:48.900]  所有的家人不需要為他舉辦喪禮
[00:04:48.900 --> 00:04:52.900]  喪禮又不像他剛才的一首詞
[00:04:52.900 --> 00:04:54.900]  說得那麼瀟灑
[00:04:54.900 --> 00:04:57.900]  正如在定風波重陽的一首詞中
[00:04:57.900 --> 00:04:59.900]  有這樣的說法
[00:04:59.900 --> 00:05:01.900]  古往今來誰不老
[00:05:01.900 --> 00:05:05.900]  多少牛山何必更占伊
[00:05:05.900 --> 00:05:07.900]  古往今來有誰不會老
[00:05:07.900 --> 00:05:09.900]  誰不會死呢
[00:05:09.900 --> 00:05:12.900]  人生真是數不清
[00:05:12.900 --> 00:05:14.900]  或多或少
[00:05:14.900 --> 00:05:17.900]  沒有誰像齊景公一樣
[00:05:17.900 --> 00:05:19.900]  登上牛山
[00:05:19.900 --> 00:05:22.900]  感慨時光消逝而哭泣
[00:05:22.900 --> 00:05:27.900]  始終蘇東坡一想到人老了
[00:05:27.900 --> 00:05:29.900]  老以後又死了
[00:05:29.900 --> 00:05:31.900]  有些悲哀的感覺
[00:05:31.900 --> 00:05:34.900]  我以為像我這樣年紀的老友
[00:05:34.900 --> 00:05:37.900]  要面對這些問題
[00:05:37.900 --> 00:05:39.900]  也不是身體的衰殘
[00:05:39.900 --> 00:05:42.900]  我覺得像我們這樣的年紀
[00:05:42.900 --> 00:05:46.900]  往往有兩大問題困擾我們
[00:05:46.900 --> 00:05:48.900]  這兩個是什麼問題呢
[00:05:48.900 --> 00:05:50.900]  第一個 做人為了什麼
[00:05:50.900 --> 00:05:52.900]  人生有何意義呢
[00:05:52.900 --> 00:05:56.900]  第二個 人生的盼望是什麼呢
[00:05:56.900 --> 00:06:01.900]  在美國不少州份都容許PAS
[00:06:01.900 --> 00:06:04.900]  (Precision Assisted Suicide)
[00:06:04.900 --> 00:06:07.900]  醫生協助下結束自己的生命
[00:06:07.900 --> 00:06:08.900]  根據研究指出
[00:06:08.900 --> 00:06:11.900]  不少人尋求自殺
[00:06:11.900 --> 00:06:14.900]  不是因為身體的痛楚
[00:06:14.900 --> 00:06:16.900]  而是覺得人生沒有意義
[00:06:16.900 --> 00:06:18.900]  沒有前途 沒有將來
[00:06:18.900 --> 00:06:20.900]  沒有留戀之地
[00:06:20.900 --> 00:06:21.900]  當然蘇東坡的說話
[00:06:21.900 --> 00:06:23.900]  好像以灰之木
[00:06:23.900 --> 00:06:25.900]  生於不繫之舟
[00:06:25.900 --> 00:06:26.900]  當一個人的心
[00:06:26.900 --> 00:06:29.900]  好像消炎了之後的灰燼
[00:06:29.900 --> 00:06:31.900]  身體好像失去了方向
[00:06:31.900 --> 00:06:33.900]  漂浮在水裏的小舟
[00:06:33.900 --> 00:06:36.900]  是一件非常恐怖的事
[00:06:36.900 --> 00:06:38.900]  你都不知道為了什麼
[00:06:38.900 --> 00:06:40.900]  我記得香港中學讀書的時候
[00:06:40.900 --> 00:06:43.900]  我們不少老師是來自英國的
[00:06:43.900 --> 00:06:45.900]  退休之後就回到祖家
[00:06:45.900 --> 00:06:47.900]  往往不到兩三年
[00:06:47.900 --> 00:06:49.900]  就聽到校長宣佈
[00:06:49.900 --> 00:06:52.900]  他們在英國死亡
