
[00:00:00.000 --> 00:00:08.000]  大家好 今天是母親節
[00:00:08.000 --> 00:00:14.000]  今天我就破例不講母親的訊息
[00:00:14.000 --> 00:00:20.000]  今天會講一個很特別的訊息
[00:00:20.000 --> 00:00:25.000]  講關於姊妹的
[00:00:25.000 --> 00:00:32.000]  很少提到單身和單親
[00:00:32.000 --> 00:00:38.000]  之後我們會紀念養育母親
[00:00:38.000 --> 00:00:42.000]  剛才那段經文
[00:00:42.000 --> 00:00:45.000]  我和大家提一次
[00:00:45.000 --> 00:00:52.000]  彼得在呂大附近有個地方叫約伯
[00:00:52.000 --> 00:00:56.000]  約伯是美麗的意思
[00:00:56.000 --> 00:00:59.000]  裏面有個女門徒
[00:00:59.000 --> 00:01:05.000]  這個女門徒可能是指寡婦
[00:01:05.000 --> 00:01:09.000]  但大部分的解經家相信
[00:01:09.000 --> 00:01:15.000]  可能她是未結婚的女人
[00:01:15.000 --> 00:01:17.000]  而她信了主
[00:01:17.000 --> 00:01:23.000]  並且她很熱心 很愛主
[00:01:23.000 --> 00:01:25.000]  很愛周圍的人
[00:01:25.000 --> 00:01:34.000]  這個女士叫大比大 或多加
[00:01:34.000 --> 00:01:40.000]  一個美麗的地方 上面有多加 即是羚羊的意思
[00:01:40.000 --> 00:01:43.000]  本來這幅圖畫很美
[00:01:43.000 --> 00:01:46.000]  但聖經記載不詳細
[00:01:46.000 --> 00:01:51.000]  只提到她講行善事 多思周濟
[00:01:51.000 --> 00:01:55.000]  即是她有能力幫助很多人
[00:01:55.000 --> 00:01:59.000]  我們猜測她有家底
[00:01:59.000 --> 00:02:02.000]  她的父親或家庭
[00:02:02.000 --> 00:02:04.000]  如果她是寡婦
[00:02:04.000 --> 00:02:08.000]  可能她的丈夫留下財產給她
[00:02:08.000 --> 00:02:11.000]  所以她可以幫助其他人
[00:02:11.000 --> 00:02:16.000]  並且做了很多好事
[00:02:16.000 --> 00:02:21.000]  然後她患病死了
[00:02:21.000 --> 00:02:25.000]  按照猶太人的規矩
[00:02:25.000 --> 00:02:28.000]  死人要洗乾淨
[00:02:28.000 --> 00:02:33.000]  然後才用香料去包紮
[00:02:33.000 --> 00:02:35.000]  現在她洗乾淨了
[00:02:35.000 --> 00:02:38.000]  但門徒很不安
[00:02:38.000 --> 00:02:41.000]  很想請彼得過來
[00:02:41.000 --> 00:02:45.000]  為祈禱或安慰周圍的人
[00:02:45.000 --> 00:02:49.000]  按照剛才讀的聖經
