
[00:00:00.000 --> 00:00:08.000]  俄巴底亞書是十二仙之書的第四部
[00:00:08.000 --> 00:00:13.000]  有一張書 有21節經文
[00:00:13.000 --> 00:00:17.000]  在舊約是最短的一部書
[00:00:17.000 --> 00:00:20.000]  在新約又如何呢?
[00:00:20.000 --> 00:00:24.000]  新約有一張經文的書本
[00:00:24.000 --> 00:00:30.000]  有《肥理門書》、《約翰一書》、《約翰二書》和《尤大書》
[00:00:30.000 --> 00:00:32.000]  全部都是一張經文
[00:00:32.000 --> 00:00:37.000]  如果是數節數的 最短的就是《約翰一書》
[00:00:37.000 --> 00:00:43.000]  但如果是數字數的話 最短的就是《約翰二書》
[00:00:43.000 --> 00:00:46.000]  最長的又如何呢?
[00:00:46.000 --> 00:00:50.000]  最長的在舊約是詩篇
[00:00:50.000 --> 00:00:54.000]  如果是去計節數的話
[00:00:54.000 --> 00:01:01.000]  但舊約最長計字數的是《耶利迷書》
[00:01:01.000 --> 00:01:03.000]  新約又如何呢?
[00:01:03.000 --> 00:01:08.000]  新約最長的無論是節數 無論是計字數
[00:01:08.000 --> 00:01:13.000]  都是《盧伽福音》最長
[00:01:13.000 --> 00:01:19.000]  但俄巴底亞的作者沒有提到自己的背景
[00:01:19.000 --> 00:01:25.000]  通常先知書都有提到先知的父親是誰
[00:01:25.000 --> 00:01:28.000]  他的先祖是誰 家鄉在哪裡
[00:01:28.000 --> 00:01:31.000]  但在十二先知書裏面
[00:01:31.000 --> 00:01:37.000]  俄巴底亞書和馬拉紀書沒有提到作者的背景
[00:01:37.000 --> 00:01:43.000]  這個作者在經文裏面好幾次提到耶路撒冷
[00:01:43.000 --> 00:01:47.000]  好幾次提到尤大石安
[00:01:47.000 --> 00:01:53.000]  所以我們相信俄巴底亞應該是一個南國的先知
[00:01:53.000 --> 00:01:59.000]  俄巴底亞的意思 名字的意思就是神的僕人
[00:01:59.000 --> 00:02:06.000]  在舊約 其實俄巴底亞這個名字是一個很普遍的名字
[00:02:06.000 --> 00:02:09.000]  很多人都叫俄巴底亞
[00:02:09.000 --> 00:02:14.000]  超過十二個人 有大衛軍隊裏面的一個官長
[00:02:14.000 --> 00:02:16.000]  有阿哈王的一個僕人
[00:02:16.000 --> 00:02:22.000]  亦都有約西亞時代修理聖殿其中一個公頭的利美人
[00:02:22.000 --> 00:02:24.000]  都是叫做俄巴底亞
[00:02:24.000 --> 00:02:30.000]  亦都有一個是以色列從巴比倫回歸的一個領袖
[00:02:30.000 --> 00:02:33.000]  都是叫做俄巴底亞
[00:02:33.000 --> 00:02:39.000]  我們相信俄巴底亞是一個很早期的先知
[00:02:39.000 --> 00:02:45.000]  他同期的先知應該就是以利亞和以利沙兩位
[00:02:45.000 --> 00:02:53.000]  以東就是俄巴底亞書的主角
[00:02:53.000 --> 00:02:56.000]  剛才都讀過經文 是有關以東
[00:02:56.000 --> 00:02:59.000]  以東在哪裏呢
[00:02:59.000 --> 00:03:02.000]  以東就是以素 以素就是以東
[00:03:02.000 --> 00:03:06.000]  其實這兩個字是通用在聖經裏面
[00:03:06.000 --> 00:03:12.000]  在創世記25章30節 36章1節都有告訴我們
[00:03:12.000 --> 00:03:14.000]  其實以東就是等於以素
[00:03:14.000 --> 00:03:16.000]  以素又是誰呢
[00:03:16.000 --> 00:03:20.000]  以素是雅各的孿生兄弟
[00:03:20.000 --> 00:03:25.000]  兩兄弟在母親的肚裏已經大打出手
[00:03:25.000 --> 00:03:31.000]  哥哥想出來 弟弟就抓住他的腳
[00:03:31.000 --> 00:03:36.000]  所以雅各的名字亦都叫做抓住的意思
[00:03:36.000 --> 00:03:39.000]  哥哥出來之後做了長子
[00:03:39.000 --> 00:03:43.000]  弟弟就拼命想搶了長子的名份
[00:03:43.000 --> 00:03:47.000]  一碗紅豆湯又說想換了哥哥的名份
[00:03:47.000 --> 00:03:53.000]  後來知道爸爸就快和哥哥 給哥哥以素有一個祝福
[00:03:53.000 --> 00:03:58.000]  就和媽媽合謀 黏到自己滿身都是毛
[00:03:58.000 --> 00:04:01.000]  因為哥哥滿身都是毛的以素
[00:04:01.000 --> 00:04:04.000]  爸爸那時候已經老眼昏花 看不見了
[00:04:04.000 --> 00:04:07.000]  他說你走過來讓我摸摸你
[00:04:07.000 --> 00:04:10.000]  一摸之下 啊對了這個是以素了
[00:04:10.000 --> 00:04:12.000]  因為他全身都是毛
