
[00:00:00.000 --> 00:00:05.600]  各位大影子妹 各位朋友 你們好
[00:00:05.600 --> 00:00:08.180]  歡迎大家參加我們三藩市報道會
[00:00:08.180 --> 00:00:10.440]  網上的五堂崇拜
[00:00:10.440 --> 00:00:12.680]  我們今天繼續思想
[00:00:12.680 --> 00:00:15.440]  撒姆爾記上 撒姆爾記下
[00:00:15.440 --> 00:00:18.440]  有關大衛生平的訊息
[00:00:18.440 --> 00:00:22.080]  今天我們來到撒姆爾記上第15章
[00:00:22.080 --> 00:00:24.080]  一節至13節
[00:00:24.080 --> 00:00:28.400]  題目叫做「反叛豈有此理」
[00:00:28.400 --> 00:00:31.320]  在未開始思想這段聖經之前
[00:00:31.320 --> 00:00:33.320]  請你同心低頭 我們同禱告
[00:00:33.320 --> 00:00:36.320]  慈悲人天父 我們滿心感謝你
[00:00:36.320 --> 00:00:39.760]  讓我們有機會一起去敬拜你
[00:00:39.760 --> 00:00:41.760]  念讀你的話語
[00:00:41.760 --> 00:00:45.440]  我們在你面前 首先求你赦免我們
[00:00:45.440 --> 00:00:50.800]  赦免很多時候我們很自我中心
[00:00:50.800 --> 00:00:52.800]  很反叛
[00:00:52.800 --> 00:00:55.200]  求你赦免
[00:00:55.200 --> 00:00:58.480]  讓我們能夠在你面前謙卑
[00:00:58.480 --> 00:01:00.480]  看到自己的軟弱
[00:01:00.480 --> 00:01:03.920]  並願意完全學服給你
[00:01:03.920 --> 00:01:08.720]  求你用你的話語提醒 怨滅 教導 安慰 督責我們
[00:01:08.720 --> 00:01:13.280]  我們這樣禱告 乃是奉耶穌基督命求 阿們
[00:01:13.280 --> 00:01:16.480]  我認識一個朋友
[00:01:16.480 --> 00:01:20.000]  他有一個女兒 差不多16歲
[00:01:20.000 --> 00:01:22.000]  就讀高中
[00:01:22.000 --> 00:01:25.840]  最近三更半夜才回家
[00:01:25.840 --> 00:01:29.120]  有學人吸煙 茶枝蕩粉
[00:01:29.120 --> 00:01:31.600]  穿上性感的衣服
[00:01:31.600 --> 00:01:34.480]  功課自然一落千丈
[00:01:34.480 --> 00:01:36.960]  父母非常擔心
[00:01:36.960 --> 00:01:40.240]  尤其是做媽媽的更難以忍受
[00:01:40.240 --> 00:01:42.240]  每次質問他的時候
[00:01:42.240 --> 00:01:45.280]  要麼反駁 要麼不理睬
[00:01:45.280 --> 00:01:48.000]  關上房門 不理你
[00:01:48.320 --> 00:01:51.120]  有一晚 差不多兩點鐘
[00:01:51.120 --> 00:01:54.880]  是早上兩點鐘才回家
[00:01:54.880 --> 00:01:57.360]  有個男孩送她回來
[00:01:57.360 --> 00:02:00.560]  在門口 媽媽就看到了
[00:02:00.560 --> 00:02:02.560]  因為媽媽整晚都沒睡
[00:02:02.560 --> 00:02:04.560]  在窗口看著等她回來
[00:02:04.560 --> 00:02:08.480]  但是一見到的時候 火都爆了
[00:02:08.480 --> 00:02:11.840]  看到兩個人在門前親熱
[00:02:11.840 --> 00:02:13.840]  難捨難離
[00:02:13.840 --> 00:02:17.600]  媽媽見到的時候真的是眼火旺
[00:02:17.600 --> 00:02:19.600]  一進門就問她
[00:02:19.600 --> 00:02:21.120]  當然就是反駁
[00:02:21.120 --> 00:02:23.120]  說什麼人權 什麼私隱
[00:02:23.120 --> 00:02:26.880]  媽媽一時興起 忍不住就打了一巴掌
[00:02:26.880 --> 00:02:28.880]  女兒當時很生氣
[00:02:28.880 --> 00:02:31.760]  哭哭啼啼的立即離家出走
[00:02:31.760 --> 00:02:33.760]  事隔了15分鐘
[00:02:33.760 --> 00:02:35.760]  有警察來敲門
[00:02:35.760 --> 00:02:37.760]  要拘捕這個媽媽
[00:02:37.760 --> 00:02:40.800]  原來這個女孩一出門就去報警
[00:02:40.800 --> 00:02:44.080]  說自己受傷 被媽媽虐待
[00:02:44.080 --> 00:02:47.600]  警察立即來拘捕了這個母親
[00:02:47.600 --> 00:02:49.600]  然後起訴她
[00:02:49.600 --> 00:02:51.600]  雖然不用坐牢
[00:02:51.600 --> 00:02:53.600]  法官下令這個媽媽
[00:02:53.600 --> 00:02:55.920]  不得再接近她的女兒一年
[00:02:55.920 --> 00:02:57.920]  這個所謂restraining order
[00:02:57.920 --> 00:03:00.560]  有兩個方法可以選擇
[00:03:00.560 --> 00:03:04.320]  一是將女兒送給一些foster parents
[00:03:04.320 --> 00:03:07.840]  另外就是她要自己離開家
[00:03:07.840 --> 00:03:09.840]  在毫無選擇之下
[00:03:10.320 --> 00:03:12.320]  這個媽媽帶著沉重的心情
[00:03:12.320 --> 00:03:14.320]  破碎的心
[00:03:14.320 --> 00:03:16.320]  收拾簡單的行李
[00:03:16.320 --> 00:03:18.320]  離開了自己的家
[00:03:18.320 --> 00:03:21.200]  在親戚寄居了一年之久
[00:03:21.200 --> 00:03:24.320]  我不知道你聽了這個故事
[00:03:24.320 --> 00:03:26.320]  有些什麼感受
[00:03:26.320 --> 00:03:28.320]  就算在今天
[00:03:28.320 --> 00:03:30.320]  我們三藩市的地方
[00:03:30.320 --> 00:03:33.280]  絕對不是一個孤單的
[00:03:33.280 --> 00:03:35.280]  孤立的個案
[00:03:35.280 --> 00:03:37.280]  而是天天上演
[00:03:37.280 --> 00:03:39.280]  今天的青少年
[00:03:39.280 --> 00:03:41.280]  我們發覺
[00:03:41.280 --> 00:03:44.400]  和我們的世代已經很不同了
[00:03:44.400 --> 00:03:46.400]  是非常不同了
[00:03:46.400 --> 00:03:48.400]  他們會說的
[00:03:48.400 --> 00:03:51.760]  是私隱、是人權、是反叛
[00:03:51.760 --> 00:03:53.760]  作反有理
[00:03:53.760 --> 00:03:55.760]  這個不是一個口號
[00:03:55.760 --> 00:03:57.760]  是一種文化
[00:03:57.760 --> 00:03:59.760]  和我們世代不再一樣
[00:03:59.760 --> 00:04:02.640]  我們以前是順順服服的順民
[00:04:02.640 --> 00:04:04.640]  聽聽話話
[00:04:04.640 --> 00:04:06.640]  相反他們是駁嘴
[00:04:06.640 --> 00:04:08.640]  是講權利的一族
[00:04:08.640 --> 00:04:10.640]  其實這種文化的產生
[00:04:10.640 --> 00:04:12.640]  絕對不出奇的
[00:04:12.640 --> 00:04:14.640]  因為我們做父母、做教師
[00:04:14.640 --> 00:04:16.640]  做社會領導的
[00:04:16.640 --> 00:04:18.640]  往往是沒有給我們下一代
