
[00:00:00.000 --> 00:00:06.160]  好 第一姐妹 我先分享經文
[00:00:06.160 --> 00:00:12.800]  好 今天我們再看十二小仙之書 約爾書
[00:00:12.800 --> 00:00:17.200]  我選了幾個經文 約爾書很短的 只有三章的經文
[00:00:17.200 --> 00:00:21.360]  我們會嘗試多看幾個經文
[00:00:21.360 --> 00:00:23.360]  但我們專注讀五個經文
[00:00:23.360 --> 00:00:26.640]  我給了一個題目 它叫亂世神給我們的信息
[00:00:26.640 --> 00:00:30.720]  不容易去處理這些經文 我們先從祈禱開始
[00:00:30.720 --> 00:00:33.600]  天父上帝我們仰望祢自己 我們多謝祢
[00:00:33.600 --> 00:00:37.360]  在這個風雨飄搖的日子裏面的時間
[00:00:37.360 --> 00:00:39.920]  主要是祢給我們依然寶貴的信息
[00:00:39.920 --> 00:00:45.280]  祢給我們裏面有一份平安湧流出來 我們都仰望祢自己
[00:00:45.280 --> 00:00:47.040]  我們多謝祢賜下約爾書
[00:00:47.040 --> 00:00:51.600]  縱然是一個很亂世的日子裏面的時間
[00:00:51.600 --> 00:00:54.800]  但祢透過約爾書給我們看見一個平安的信息
[00:00:54.800 --> 00:00:56.800]  給我們看見一個安慰的信息
[00:00:56.800 --> 00:01:00.240]  主也仰望祢自己 打開我們每一個大兄姐們的心
[00:01:00.240 --> 00:01:03.760]  讓我們所聽到的 聽到主祢自己要對我們所說的信息
[00:01:03.760 --> 00:01:05.200]  我們都仰望祢 多謝祢
[00:01:05.200 --> 00:01:08.000]  主耶穌保佑我們明智祈禱 Amen
[00:01:08.000 --> 00:01:11.360]  有幾節經文 我們先讀一讀
[00:01:11.360 --> 00:01:13.360]  二章十二節約爾書
[00:01:13.360 --> 00:01:18.960]  耶和華說:雖然如此,你們應當禁食,毫不被愛,一心歸向我。
[00:01:18.960 --> 00:01:24.000]  你們要撕裂心腸,不撕裂衣服,歸向耶和華,你們的神。
[00:01:24.000 --> 00:01:28.800]  因為祂有恩典、有憐憫,不輕易發怒,有豐盛的慈愛,
[00:01:28.800 --> 00:01:31.840]  並且後悔不幹所說的災。
[00:01:31.840 --> 00:01:35.760]  或者祂轉意後悔,留下餘福就是留下,
