
[00:00:00.000 --> 00:00:04.880]  今天和大家講的題目就是
[00:00:04.880 --> 00:00:07.920]  「天風吹遍神州路」
[00:00:07.920 --> 00:00:10.920]  聖靈在古聖經的翻譯
[00:00:10.920 --> 00:00:14.000]  特別是馬里信譯本
[00:00:14.000 --> 00:00:17.020]  或者是新舊遺詔書的偽版譯本
[00:00:17.020 --> 00:00:19.620]  都是用「天風」
[00:00:19.620 --> 00:00:24.000]  「天風」是聖靈的舊譯
[00:00:24.000 --> 00:00:27.800]  「神州」是中國古書所講的中國
[00:00:27.800 --> 00:00:29.720]  這個神州九路
[00:00:29.720 --> 00:00:32.360]  所以「天風吹遍神州」的意思就是
[00:00:32.360 --> 00:00:39.800]  聖靈動弓將福音傳遍中國
[00:00:39.800 --> 00:00:43.000]  過去我們一直問一個問題就是
[00:00:43.000 --> 00:00:48.280]  聖靈什麼時候動弓讓中國人能夠領受福音?
[00:00:48.280 --> 00:00:50.520]  80年代 當時我還在大學的時候
[00:00:50.520 --> 00:00:52.760]  當時我們舉辦了一個會
[00:00:52.760 --> 00:00:57.680]  不是80年代 我很老了
[00:00:57.680 --> 00:01:01.640]  70年代早期 還有文化大革命的時候
[00:01:01.640 --> 00:01:04.040]  當時在宋基讀書
[00:01:04.040 --> 00:01:06.120]  我們基督徒傳記舉辦了一個會
[00:01:06.120 --> 00:01:09.360]  叫做「天風知否神州路」
[00:01:09.360 --> 00:01:12.760]  當年是1974年
[00:01:12.760 --> 00:01:19.240]  在當年真的對中國教會非常的悲觀
[00:01:19.240 --> 00:01:23.960]  因為中國好像教會已經終結了
[00:01:23.960 --> 00:01:27.480]  我今天從三方面和大家去思想
[00:01:27.480 --> 00:01:31.880]  第一個就是過去一個迷失的路
[00:01:31.880 --> 00:01:35.280]  福音曾經來過中國 迷失了
[00:01:35.280 --> 00:01:39.320]  第二個是昨日一個遙遠的路
[00:01:39.320 --> 00:01:40.840]  然後在未來
[00:01:40.840 --> 00:01:44.560]  以賽亞書給我們看到一個盼望的路
