
[00:00:00.000 --> 00:00:05.000]  各位大紀元的觀眾朋友
[00:00:05.000 --> 00:00:07.000]  歡迎大家參加我們三藩市的播道會
[00:00:07.000 --> 00:00:09.000]  網上索敗
[00:00:09.000 --> 00:00:12.000]  我們繼續思想啟示錄的訊息
[00:00:12.000 --> 00:00:14.000]  我們來到第21講
[00:00:14.000 --> 00:00:19.000]  啟示錄第8章13節至9章12節
[00:00:19.000 --> 00:00:22.000]  和哉和哉和哉
[00:00:22.000 --> 00:00:24.000]  首先請我們同心低頭
[00:00:24.000 --> 00:00:25.000]  我們同一禱告
[00:00:25.000 --> 00:00:28.000]  慈悲人和天父我們滿心感謝你
[00:00:28.000 --> 00:00:30.000]  求你藉著你的話語去提醒
[00:00:30.000 --> 00:00:34.000]  勸勉 教導 安慰 督責我們
[00:00:34.000 --> 00:00:37.000]  叫我們的生命有成長
[00:00:37.000 --> 00:00:39.000]  我們今日祈禱
[00:00:39.000 --> 00:00:42.000]  奉耶穌基督名靠 阿門
[00:00:42.000 --> 00:00:46.000]  啟示錄第9章1至12節
[00:00:46.000 --> 00:00:50.000]  是講述第5號的哉和
[00:00:50.000 --> 00:00:53.000]  整段聖經最震撼的地方
[00:00:53.000 --> 00:00:58.000]  並非像蝗蟲般的樣子
[00:00:58.000 --> 00:01:02.000]  他們的兇殘 力量 危害
[00:01:02.000 --> 00:01:04.000]  而是人的痛苦
[00:01:04.000 --> 00:01:08.000]  特別是第6節所描繪更加令人驚慌
[00:01:08.000 --> 00:01:10.000]  在那些日子
[00:01:10.000 --> 00:01:13.000]  人要求死卻不得死
[00:01:13.000 --> 00:01:16.000]  願意死 死卻遠避他們
[00:01:16.000 --> 00:01:20.000]  這幅難以想像淒厲的圖畫
[00:01:20.000 --> 00:01:23.000]  求死卻不得死
[00:01:23.000 --> 00:01:27.000]  想死 死卻遠離 甚遠
[00:01:27.000 --> 00:01:29.000]  我想到約伯記
[00:01:29.000 --> 00:01:32.000]  約伯記在他最痛苦的時候
[00:01:32.000 --> 00:01:34.000]  他就向神申訴
[00:01:34.000 --> 00:01:37.000]  他說 絕望死 卻不得死
[00:01:37.000 --> 00:01:41.000]  求死勝於隱藏的珍寶
[00:01:41.000 --> 00:01:45.000]  他們尋見墳墓就快樂 極其歡喜
[00:01:45.000 --> 00:01:48.000]  我未嘗吃飯就發出嘆聲
[00:01:48.000 --> 00:01:51.000]  我哀嚎的聲音湧出如水
[00:01:51.000 --> 00:01:57.000]  因我所恐懼的淋到我身
[00:01:57.000 --> 00:01:59.000]  我所懼怕的迎我而來
[00:01:59.000 --> 00:02:04.000]  我不得安寧 不得平靜
[00:02:04.000 --> 00:02:08.000]  也不得安息 卻有患難來到
[00:02:08.000 --> 00:02:14.000]  約伯記第3章21至22節和24章26節
[00:02:14.000 --> 00:02:17.000]  在希臘文的詞彙裏面
[00:02:17.000 --> 00:02:20.000]  有兩個字可以譯作死
[00:02:20.000 --> 00:02:22.000]  一個叫Thanatos
[00:02:22.000 --> 00:02:25.000]  Thanatos是指死
[00:02:25.000 --> 00:02:28.000]  最後的一口氣 生命結束
[00:02:28.000 --> 00:02:31.000]  但有另外一字叫Necrosis
[00:02:31.000 --> 00:02:34.000]  這個字是說到死的過程
[00:02:34.000 --> 00:02:36.000]  不是只說到最後一口氣
[00:02:36.000 --> 00:02:38.000]  是整個死的過程
[00:02:38.000 --> 00:02:41.000]  當保羅描述他自己的經歷的時候
[00:02:41.000 --> 00:02:44.000]  在哥倫多後書第4章有這樣說法
[00:02:44.000 --> 00:02:47.000]  他說身上常帶著耶穌的死
[00:02:47.000 --> 00:02:50.000]  施耶穌的生也顯明在我們身上
[00:02:50.000 --> 00:02:54.000]  保羅所提到的死不是Thanatos這個字
[00:02:54.000 --> 00:02:57.000]  不是指在十字架被釘的時候
[00:02:57.000 --> 00:02:59.000]  是最後一口氣死去
[00:02:59.000 --> 00:03:02.000]  而是Necrosis死的過程
[00:03:02.000 --> 00:03:04.000]  耶穌基督所受的苦難
[00:03:04.000 --> 00:03:07.000]  我們從死的過程裏面
[00:03:07.000 --> 00:03:10.000]  就會看到上帝給我們的生命力
[00:03:10.000 --> 00:03:12.000]  但我們可以這樣說
[00:03:12.000 --> 00:03:15.000]  我們大多數人對死的過程
[00:03:15.000 --> 00:03:19.000]  比對死那一刻更加害怕更加可怕
[00:03:19.000 --> 00:03:23.000]  尤其是寥寥無期的過程和痛苦
[00:03:23.000 --> 00:03:25.000]  就好像約伯說
[00:03:25.000 --> 00:03:29.000]  在這個時候不得安逸 不得平靜
[00:03:29.000 --> 00:03:33.000]  也不得安息 卻有患難來到
[00:03:33.000 --> 00:03:38.000]  在1988年英國福音派的出版商
[00:03:38.000 --> 00:03:43.000]  InterVarsity出版了一本338頁的書
[00:03:43.000 --> 00:03:46.000]  叫做The Evangelical Essentials
[00:03:46.000 --> 00:03:48.000]  在這本書裏面
[00:03:48.000 --> 00:03:50.000]  著名的福音派學者John Stott
[00:03:50.000 --> 00:03:52.000]  和一個新派的
[00:03:52.000 --> 00:03:56.000]  新派即不是完全相信聖經的聖經學者
[00:03:56.000 --> 00:03:59.000]  David Edwards 舉行一個辯論
[00:03:59.000 --> 00:04:02.000]  他們將他們的辯論編成了這本書
[00:04:02.000 --> 00:04:06.000]  辯論的範圍包括甚麼叫做福音
[00:04:06.000 --> 00:04:09.000]  神的話語是否真
[00:04:09.000 --> 00:04:11.000]  神蹟是否可信
[00:04:11.000 --> 00:04:13.000]  倫理問題等等
[00:04:13.000 --> 00:04:15.000]  不過這本書最震撼的地方
[00:04:15.000 --> 00:04:17.000]  就是最後的6頁
[00:04:17.000 --> 00:04:19.000]  是討論地獄的問題
[00:04:19.000 --> 00:04:21.000]  為何最後6頁的討論
[00:04:21.000 --> 00:04:24.000]  竟然好像一個巨型的炸彈
[00:04:24.000 --> 00:04:28.000]  扔在福音派的視同圈子當中
[00:04:28.000 --> 00:04:30.000]  首先我們要描繪一下
[00:04:30.000 --> 00:04:32.000]  幾乎大部份的信徒
[00:04:32.000 --> 00:04:34.000]  他們是這樣相信的
[00:04:34.000 --> 00:04:36.000]  人有身體和靈魂
[00:04:36.000 --> 00:04:37.000]  人死了之後
[00:04:37.000 --> 00:04:39.000]  他的靈魂沒有死
[00:04:39.000 --> 00:04:41.000]  信的人的靈魂就上天堂
[00:04:41.000 --> 00:04:43.000]  與主同在,好得無比
[00:04:43.000 --> 00:04:45.000]  將來雨再來的時候
[00:04:45.000 --> 00:04:47.000]  信徒的身體就會復活
[00:04:47.000 --> 00:04:49.000]  在新天新地永遠與主同在
[00:04:49.000 --> 00:04:50.000]  享受永生
[00:04:50.000 --> 00:04:52.000]  但那些不信的人就會落地獄
[00:04:52.000 --> 00:04:55.000]  在那裏受永恆的痛苦
[00:04:55.000 --> 00:04:57.000]  不住的痛苦
[00:04:57.000 --> 00:05:00.000]  但John Stott就不同於這種傳統的看法
[00:05:00.000 --> 00:05:03.000]  他以為當一個未信的人
[00:05:03.000 --> 00:05:05.000]  受了一段時間的苦楚之後
[00:05:05.000 --> 00:05:07.000]  最後他們就會煙消雲散
[00:05:07.000 --> 00:05:09.000]  英文稱之為
[00:05:09.000 --> 00:05:11.000]  Annihilation
[00:05:11.000 --> 00:05:13.000]  他們被消滅之後
[00:05:13.000 --> 00:05:15.000]  不再有意識
[00:05:15.000 --> 00:05:17.000]  因為神不會這麼殘忍
[00:05:17.000 --> 00:05:19.000]  甘心看見自己所做的人
[00:05:19.000 --> 00:05:23.000]  受著永無止境的痛苦
[00:05:23.000 --> 00:05:24.000]  約伯索記說
[00:05:24.000 --> 00:05:26.000]  不得安然,不得平安
[00:05:26.000 --> 00:05:29.000]  不得安息,卻有患難來到
[00:05:29.000 --> 00:05:31.000]  不只是一時
[00:05:31.000 --> 00:05:33.000]  是永恆的
[00:05:33.000 --> 00:05:36.000]  約伯索記認為這種說法
[00:05:36.000 --> 00:05:38.000]  很難能夠接受
[00:05:38.000 --> 00:05:41.000]  上帝是一個這樣性格的人
[00:05:41.000 --> 00:05:44.000]  他的看法就引起福音教極大的震動
[00:05:44.000 --> 00:05:47.000]  甚至有些極端保守派的神學家
[00:05:47.000 --> 00:05:49.000]  懷疑約伯索記是不是一個基督徒
[00:05:49.000 --> 00:05:52.000]  我怎樣看這個問題呢?
[00:05:52.000 --> 00:05:54.000]  我們在研讀聖經
[00:05:54.000 --> 00:05:56.000]  尤其是研讀啟示錄的時候
[00:05:56.000 --> 00:06:00.000]  這個問題似乎是避不開的
[00:06:00.000 --> 00:06:03.000]  目前來說,我沒有肯定的答案
[00:06:03.000 --> 00:06:05.000]  因為我覺得
[00:06:05.000 --> 00:06:07.000]  是用我們現在一個
[00:06:07.000 --> 00:06:09.000]  活在一個有序的世界
[00:06:09.000 --> 00:06:13.000]  去看待將來一個無序的世界
[00:06:13.000 --> 00:06:15.000]  我想我們很難能夠明白
[00:06:15.000 --> 00:06:18.000]  正如保羅在哥林多前書第十三章
[00:06:18.000 --> 00:06:20.000]  現在我們所看的事如鏡
[00:06:20.000 --> 00:06:23.000]  望著鏡子,模糊不清
[00:06:23.000 --> 00:06:26.000]  當時在銅鏡,不是那麼清楚
[00:06:26.000 --> 00:06:28.000]  面對鏡子,模糊不清
[00:06:28.000 --> 00:06:30.000]  到那一天就必顯明
[00:06:30.000 --> 00:06:33.000]  所以,叫我們在這個時候
[00:06:33.000 --> 00:06:37.000]  去想像一個無序的世界是怎樣的時候
[00:06:37.000 --> 00:06:39.000]  我想我們很難想像
[00:06:39.000 --> 00:06:44.000]  不過,我們可以從聖經的啟示來看
[00:06:44.000 --> 00:06:48.000]  Annihilation這種說法
[00:06:48.000 --> 00:06:50.000]  John Stork這種說法
[00:06:50.000 --> 00:06:53.000]  其實並不是沒有聖經的根據
[00:06:55.000 --> 00:06:57.000]  他所持的理論
[00:06:57.000 --> 00:06:59.000]  也不是單單是因為覺得
[00:06:59.000 --> 00:07:01.000]  傳統的看法對上帝
[00:07:01.000 --> 00:07:03.000]  好像很殘忍,不能夠接受
[00:07:03.000 --> 00:07:07.000]  不是,如果單從聖經來看
[00:07:07.000 --> 00:07:11.000]  這種說法似乎也有道理
[00:07:11.000 --> 00:07:13.000]  反而傳統的看法
[00:07:13.000 --> 00:07:15.000]  是有些問題似乎
[00:07:15.000 --> 00:07:18.000]  我們沒有認真去面對
[00:07:18.000 --> 00:07:20.000]  我們經常說靈魂不滅
[00:07:20.000 --> 00:07:23.000]  這個似乎不是聖經的看法
[00:07:23.000 --> 00:07:25.000]  是希臘思想的看法
[00:07:25.000 --> 00:07:28.000]  如果是靈魂不滅的時候
[00:07:28.000 --> 00:07:31.000]  是不是說上帝做人
[00:07:31.000 --> 00:07:35.000]  不是只有上帝才是無死
[00:07:35.000 --> 00:07:36.000]  即是不會死的
[00:07:36.000 --> 00:07:38.000]  人也不會死
[00:07:38.000 --> 00:07:39.000]  傳統的看法
[00:07:39.000 --> 00:07:43.000]  通常會引用財主與拉薩路的故事來說
[00:07:43.000 --> 00:07:45.000]  信了主的拉薩路
[00:07:45.000 --> 00:07:48.000]  在天堂裡得往永生
[00:07:48.000 --> 00:07:51.000]  財主在地獄裡受害
[00:07:51.000 --> 00:07:54.000]  首先有人會問
[00:07:54.000 --> 00:07:56.000]  這樣就說得很清楚了
[00:07:56.000 --> 00:07:59.000]  死的人在地獄裡永遠受害
[00:07:59.000 --> 00:08:01.000]  就像財主一樣
[00:08:01.000 --> 00:08:02.000]  但我們要看看
[00:08:02.000 --> 00:08:04.000]  這是一個比喻
[00:08:04.000 --> 00:08:09.000]  比喻不能夠每一個細節都直解
[00:08:09.000 --> 00:08:14.000]  好像財主與阿不拉罕的對話
[00:08:14.000 --> 00:08:17.000]  是不是可以在天堂和地獄裡
[00:08:17.000 --> 00:08:20.000]  不受空間限制而彼此交談呢?
[00:08:20.000 --> 00:08:22.000]  可不可以直解呢?
[00:08:22.000 --> 00:08:25.000]  況且這個故事也沒有說明
[00:08:25.000 --> 00:08:28.000]  財主身處地獄裡是一件永恆的事
[00:08:28.000 --> 00:08:30.000]  相反來說
[00:08:30.000 --> 00:08:35.000]  不少聖經論及那些未信者滅亡
[00:08:35.000 --> 00:08:37.000]  聖經裡說得很清楚
[00:08:37.000 --> 00:08:38.000]  最尊命就是
[00:08:38.000 --> 00:08:41.000]  《望國於幽魂風音》第三章十六節
[00:08:41.000 --> 00:08:42.000]  神愛世人
[00:08:42.000 --> 00:08:44.000]  甚至將他的獨生子賜給他們
[00:08:44.000 --> 00:08:46.000]  叫一切信他的不至滅亡
[00:08:46.000 --> 00:08:47.000]  反得永生
[00:08:47.000 --> 00:08:49.000]  很明顯說到有兩種人
[00:08:49.000 --> 00:08:50.000]  一個是信耶穌的
[00:08:50.000 --> 00:08:52.000]  他會得到永生
[00:08:52.000 --> 00:08:54.000]  第二種是不信耶穌的人
[00:08:54.000 --> 00:08:55.000]  必至滅亡
[00:08:55.000 --> 00:08:56.000]  滅亡是什麼意思呢?
[00:08:56.000 --> 00:08:57.000]  Perish
[00:08:57.000 --> 00:08:58.000]  毀滅
[00:08:58.000 --> 00:08:59.000]  死亡
[00:08:59.000 --> 00:09:01.000]  Annihilation
[00:09:01.000 --> 00:09:03.000]  不過最明顯的一段聖經
[00:09:03.000 --> 00:09:08.000]  就是《哥林多前書》十五章四十二至五十四節
[00:09:08.000 --> 00:09:11.000]  保羅在聖經中比較了兩種人
[00:09:11.000 --> 00:09:14.000]  或者兩種不同的存在
[00:09:14.000 --> 00:09:15.000]  Modes of existence
[00:09:15.000 --> 00:09:18.000]  第一種就是所謂所中的
[00:09:18.000 --> 00:09:20.000]  第二種就是所謂復活的
[00:09:20.000 --> 00:09:22.000]  什麼叫所中的呢?
[00:09:22.000 --> 00:09:24.000]  什麼叫復活的呢?
[00:09:24.000 --> 00:09:26.000]  在四十五節就會告訴你
[00:09:26.000 --> 00:09:28.000]  所中的代表就是
[00:09:28.000 --> 00:09:30.000]  首先的阿當
[00:09:30.000 --> 00:09:32.000]  復活的代表就是
[00:09:32.000 --> 00:09:33.000]  末後的阿當
[00:09:33.000 --> 00:09:35.000]  末後的阿當就是基督
[00:09:35.000 --> 00:09:37.000]  我們接著會問
[00:09:37.000 --> 00:09:40.000]  所中的是指犯罪之前呢?
[00:09:40.000 --> 00:09:43.000]  還是犯罪之後的阿當呢?
[00:09:43.000 --> 00:09:45.000]  在四十五節很明顯
