
[00:00:00.000 --> 00:00:05.520]  看的經文就是《仕途行傳》第十一章
[00:00:05.520 --> 00:00:10.100]  請大家翻開《仕途行傳》第十一章這段聖經
[00:00:10.100 --> 00:00:12.800]  我們看第十九節一直到三十節
[00:00:12.800 --> 00:00:14.480]  我希望大家都可以翻開聖經
[00:00:14.480 --> 00:00:16.920]  雖然我們有投影片 但希望大家翻開聖經
[00:00:16.920 --> 00:00:19.480]  這樣你們會慢慢熟習聖經多些
[00:00:19.480 --> 00:00:24.180]  還有我們可能會看一些有關的 相關的經文
[00:00:24.180 --> 00:00:30.480]  再請你們翻開《仕途行傳》第十一章
[00:00:30.480 --> 00:00:35.600]  十九到三十節
[00:00:35.600 --> 00:00:39.960]  在《仕途行傳》裏面記載安提拉教會
[00:00:39.960 --> 00:00:43.160]  但主要只有兩段聖經
[00:00:43.160 --> 00:00:45.880]  一段是安提拉教會的產生
[00:00:45.880 --> 00:00:47.680]  它是怎樣開始的這間教會
[00:00:47.680 --> 00:00:50.120]  另一段就是《仕途行傳》十三章
[00:00:50.120 --> 00:00:56.640]  說安提拉教會成為普世教會猜拳工作的第一個教會
[00:00:56.640 --> 00:01:00.180]  是猜派第一對宣教士保羅和巴拿巴
[00:01:00.180 --> 00:01:03.640]  出去的這間很特別神所使用的教會
[00:01:03.640 --> 00:01:06.960]  我們今天看安提拉教會是怎樣開始的
[00:01:06.960 --> 00:01:10.860]  我們將這段經文分成三個段落來讀
[00:01:10.860 --> 00:01:14.320]  十九節到二十一節是第一段落
[00:01:14.320 --> 00:01:21.600]  然後是二十二節到二十六節是第二段落
[00:01:21.600 --> 00:01:23.960]  我會再提的 二十二到二十六節
[00:01:23.960 --> 00:01:26.000]  最後是二十七到三十節
[00:01:26.000 --> 00:01:31.060]  請你留意 它每一個結束的時候都有些評論
[00:01:31.060 --> 00:01:34.560]  作者在結束的時候 在這個小的段落裏面
[00:01:34.560 --> 00:01:35.860]  都會說一句話給我們聽
[00:01:35.860 --> 00:01:37.400]  究竟這件事做完之後
[00:01:37.400 --> 00:01:40.920]  對神的工作有些什麼的影響
[00:01:40.920 --> 00:01:42.920]  請你留意一下記載的手法
[00:01:42.920 --> 00:01:44.880]  請我們先讀第一個段落
[00:01:44.880 --> 00:01:47.460]  十九節到二十一節
