
[00:00:00.000 --> 00:00:08.000]  今天和大家一起分享的經文是在加拉太書的第五章
[00:00:08.000 --> 00:00:11.200]  從第十三節至第十五節
[00:00:11.200 --> 00:00:16.000]  今天所說的題目是自由到底是如何運作呢
[00:00:16.000 --> 00:00:18.400]  讓我們在聆聽主導以先
[00:00:18.400 --> 00:00:21.200]  讓我們先再一次去讀一下這段經文
[00:00:21.200 --> 00:00:23.200]  如果大家看見節目都有聖經的
[00:00:23.200 --> 00:00:24.800]  就一起打開聖經
[00:00:24.800 --> 00:00:29.600]  加拉太書第五章第十三節至第十五節
[00:00:29.600 --> 00:00:32.800]  我們會先以中文一起去讀一次
[00:00:32.800 --> 00:00:36.000]  加拉太書第五章十三節
[00:00:36.000 --> 00:00:39.600]  弟兄們,你們蒙召是要得自由
[00:00:39.600 --> 00:00:44.800]  只是不可將你們的自由當作放縱情慾的機會
[00:00:44.800 --> 00:00:48.000]  總要用愛心互相服侍
[00:00:48.000 --> 00:00:53.600]  因為全律法都包在愛人如己這一句話之內了
[00:00:53.600 --> 00:00:57.600]  你們要謹慎,若相咬相吞
[00:00:57.600 --> 00:01:00.800]  只怕要彼此消滅了
[00:01:00.800 --> 00:01:05.600]  今天這個世界很多人都說要去爭取自由
[00:01:05.600 --> 00:01:10.800]  究竟是不是自由是可以被爭取回來的呢?
[00:01:10.800 --> 00:01:17.600]  究竟實質上自由又是如何在這個世界裏去運作呢?
[00:01:17.600 --> 00:01:19.600]  特別我們基督徒
[00:01:19.600 --> 00:01:23.600]  自由又如何在我們的生命裏去運作呢?
[00:01:23.600 --> 00:01:27.600]  這個正正就是今天我們一起會思想的題目
[00:01:27.600 --> 00:01:31.600]  在加拉太書第五章第一節裏面
[00:01:31.600 --> 00:01:33.600]  保羅曾經這樣說過
[00:01:33.600 --> 00:01:38.800]  他說基督釋放了我們,叫我們得以自由
[00:01:38.800 --> 00:01:41.600]  很多基督徒不看上文下理
[00:01:41.600 --> 00:01:46.600]  就憑這一句話抽空出來說的時候
[00:01:46.600 --> 00:01:51.600]  他們對於自由的看法就有各式各樣的演繹了
[00:01:51.600 --> 00:01:53.600]  因為今天很多人都認為
[00:01:53.600 --> 00:01:57.600]  當基督徒可以信耶穌得自由的時候
