
[00:00:00.000 --> 00:00:11.000]  因為是去到啟示錄的末段、尾聲
[00:00:11.000 --> 00:00:13.000]  就是上帝的審判
[00:00:13.000 --> 00:00:21.000]  但是因為啟示錄在最後處理一個世界上文化的問題
[00:00:21.000 --> 00:00:25.000]  他就用一個大淫虎
[00:00:25.000 --> 00:00:28.000]  大淫虎指著一個大城
[00:00:28.000 --> 00:00:33.000]  而這個大城是指著在末後的世界裏面
[00:00:33.000 --> 00:00:38.000]  是一個很有能力、影響很大
[00:00:38.000 --> 00:00:43.000]  帶領著整個世界的一種力量
[00:00:43.000 --> 00:00:46.000]  我時常說不要對號入座
[00:00:46.000 --> 00:00:49.000]  所以當我們去看的時候
[00:00:49.000 --> 00:00:55.000]  我們就會問今天我們所處的地方、國家
[00:00:55.000 --> 00:01:01.000]  究竟和啟示錄所說的是不是有相接近的地方
[00:01:01.000 --> 00:01:07.000]  特別作為基督教的龍頭大哥美國、加拿大
[00:01:07.000 --> 00:01:15.000]  究竟在啟示錄所描述的這個所謂世界之城
[00:01:15.000 --> 00:01:20.000]  就是啟示錄處理最後這個文化問題
[00:01:20.000 --> 00:01:25.000]  是否值得我們思想、警醒
[00:01:25.000 --> 00:01:29.000]  剛才讀了六節的經文
[00:01:29.000 --> 00:01:32.000]  我們不再讀了
[00:01:32.000 --> 00:01:34.000]  不過在這裏我們留意
[00:01:34.000 --> 00:01:39.000]  他提到拿著七碗的七位天使
[00:01:39.000 --> 00:01:44.000]  七碗就是最後的審判
[00:01:44.000 --> 00:01:50.000]  這個審判是由千禧年、新天新地
[00:01:50.000 --> 00:02:01.000]  這個審判是由大自然、個人、政治、經濟
[00:02:01.000 --> 00:02:04.000]  去到一個文化的問題
[00:02:04.000 --> 00:02:07.000]  裏面提到一個大淫婦
[00:02:07.000 --> 00:02:10.000]  大淫婦在後面是有解釋的
[00:02:10.000 --> 00:02:13.000]  如果你有時間看第七節就解釋
[00:02:13.000 --> 00:02:15.000]  因為我今天沒有那麼長時間
[00:02:15.000 --> 00:02:17.000]  所以我就不去解釋
[00:02:17.000 --> 00:02:21.000]  我集中去講究竟這個大淫婦是指什麼呢?
[00:02:21.000 --> 00:02:24.000]  很明顯就是指巴比倫
[00:02:24.000 --> 00:02:28.000]  因為他所說的就是巴比倫
[00:02:28.000 --> 00:02:32.000]  這個女人是一個象徵
[00:02:32.000 --> 00:02:37.000]  珠紅色的衣服和紫色的指繁華富貴
[00:02:37.000 --> 00:02:41.000]  滿了金紫寶石的裝飾
[00:02:41.000 --> 00:02:43.000]  就是這個國家是很富庶的
[00:02:43.000 --> 00:02:48.000]  但這種富庶就是一種很虛幻、很快就過去了
[00:02:48.000 --> 00:02:51.000]  還有第五節很清楚
[00:02:51.000 --> 00:02:57.000]  就是額上有名寫著說奧比賽大巴比倫
[00:02:57.000 --> 00:02:59.000]  所以這個是在說巴比倫
[00:02:59.000 --> 00:03:04.000]  但巴比倫很明顯不是指過去的巴比倫
[00:03:04.000 --> 00:03:08.000]  而是在說現在或未來的巴比倫
[00:03:08.000 --> 00:03:14.000]  還有第六節巴比倫喝醉了聖徒的血
[00:03:14.000 --> 00:03:16.000]  和為耶穌見證人的血
[00:03:16.000 --> 00:03:19.000]  也就是說他是基督的
[00:03:19.000 --> 00:03:23.000]  特別是針對基督教
[00:03:23.000 --> 00:03:27.000]  很多信徒在他當中受苦
[00:03:27.000 --> 00:03:30.000]  這是第一段
[00:03:30.000 --> 00:03:32.000]  然後我們再看第二段
[00:03:32.000 --> 00:03:35.000]  第一段我們先看
[00:03:35.000 --> 00:03:41.000]  如果聖經這麼清楚說大淫婦是巴比倫
[00:03:41.000 --> 00:03:45.000]  我們就問巴比倫是什麼意思呢?
[00:03:45.000 --> 00:03:48.000]  巴比倫這個詞是來自巴別
[00:03:48.000 --> 00:03:54.000]  我們知道巴別塔的記載在創世記第十到十一章有
[00:03:54.000 --> 00:03:56.000]  巴別這個字是混亂的意思
[00:03:56.000 --> 00:04:00.000]  因為當時的人要祖國上天
[00:04:00.000 --> 00:04:02.000]  神是辯亂的口音
[00:04:02.000 --> 00:04:06.000]  所以混亂就是不要以上帝為大靈
[00:04:06.000 --> 00:04:09.000]  是各人有自己的自主
[00:04:09.000 --> 00:04:11.000]  今天我們說人權
[00:04:11.000 --> 00:04:13.000]  各人有自主
