
[00:00:00.000 --> 00:00:03.400]  今天是很特別的日子
[00:00:03.400 --> 00:00:05.400]  因為一眼望下去
[00:00:05.400 --> 00:00:09.400]  就確定了今天是男士的聚會
[00:00:09.400 --> 00:00:13.400]  因為沒有女性在當中
[00:00:13.400 --> 00:00:17.000]  我們一年一度的
[00:00:17.000 --> 00:00:20.000]  Awakened Souls的Men's Conference
[00:00:20.000 --> 00:00:22.400]  今年我們在這裡開始
[00:00:22.400 --> 00:00:26.400]  幫助弟兄在聖經裡面學習如何做一個男人
[00:00:26.400 --> 00:00:29.400]  所以特別今年我們請到李思敬博士在我們當中
[00:00:29.400 --> 00:00:32.400]  從聖經的角度來幫助我們
[00:00:32.400 --> 00:00:36.400]  Dr. Stephen Lee幫我們講第一個的演講
[00:00:36.400 --> 00:00:40.400]  (掌聲)
[00:00:40.400 --> 00:00:46.400]  我很想在這個時候
[00:00:46.400 --> 00:00:48.400]  我不敢說代表你們
[00:00:48.400 --> 00:00:51.400]  不過我想都可以這麼說
[00:00:51.400 --> 00:00:54.400]  多謝Awakened Souls的
[00:00:54.400 --> 00:00:56.400]  其實很少的弟兄
[00:00:56.400 --> 00:01:00.400]  來安排預備今天
[00:01:00.400 --> 00:01:02.400]  屬靈的宴席
[00:01:02.400 --> 00:01:06.400]  他們在背後所付出的心機
[00:01:06.400 --> 00:01:08.400]  努力
[00:01:08.400 --> 00:01:10.400]  主會紀念
[00:01:10.400 --> 00:01:12.400]  所以我不是主人家
[00:01:12.400 --> 00:01:14.400]  所以我不可以叫他們站起來
[00:01:14.400 --> 00:01:16.400]  做這些難的動作
[00:01:16.400 --> 00:01:18.400]  不過這是我心裡面
[00:01:18.400 --> 00:01:21.400]  一個很深的感激
[00:01:21.400 --> 00:01:25.400]  上帝用他們的心智
[00:01:25.400 --> 00:01:29.400]  來成為多人的祝福
[00:01:29.400 --> 00:01:34.400]  我也知道來到一個這樣的會場
[00:01:34.400 --> 00:01:37.400]  大家來自五湖四海
[00:01:37.400 --> 00:01:40.400]  應該都打個招呼的
[00:01:40.400 --> 00:01:43.400]  在教會裡面都會和人握手
[00:01:43.400 --> 00:01:45.400]  不過我想請你今早
[00:01:45.400 --> 00:01:48.400]  可不可以和三位你不認識的人握手
[00:01:48.400 --> 00:01:51.400]  就是你一起來的那些不用了
[00:01:51.400 --> 00:01:55.400]  不需要分享通報聲明
[00:01:55.400 --> 00:01:58.400]  不過找三個你完全不認識的人
[00:01:58.400 --> 00:02:00.400]  和他們握手
[00:02:00.400 --> 00:02:04.400]  三個好了就要坐下了
[00:02:04.400 --> 00:02:09.400]  雖然這個聚會好像是一年一次
[00:02:09.400 --> 00:02:14.400]  但其實我知道在不同的教會
[00:02:14.400 --> 00:02:18.400]  弟兄們平日的侍奉
[00:02:18.400 --> 00:02:20.400]  一起的生活
[00:02:20.400 --> 00:02:23.400]  每個禮拜有弟兄和我說
[00:02:23.400 --> 00:02:26.400]  約在教會的肢體打球
[00:02:26.400 --> 00:02:29.400]  最初就只是那些awakened souls去
[00:02:29.400 --> 00:02:31.400]  後來那些太太要跟來
[00:02:31.400 --> 00:02:36.400]  都成為了一個團契生活的焦點
[00:02:36.400 --> 00:02:40.400]  教堂在天父的手中
[00:02:40.400 --> 00:02:43.400]  我想請你和旁邊
[00:02:43.400 --> 00:02:45.400]  可以嗎?兩三個人
[00:02:45.400 --> 00:02:47.400]  按照聖經的應許
[00:02:47.400 --> 00:02:49.400]  一起禱告
[00:02:49.400 --> 00:02:53.400]  當然如果你不認識你旁邊的兩三個人
[00:02:53.400 --> 00:02:56.400]  就需要同心先通報聲明
[00:02:56.400 --> 00:03:00.400]  教會,不過就不要住指電話那些
[00:03:00.400 --> 00:03:03.400]  請你為我祈禱
[00:03:03.400 --> 00:03:05.400]  也請你為你自己祈禱
[00:03:05.400 --> 00:03:06.400]  可以嗎?
[00:03:06.400 --> 00:03:09.400]  那就省下了一些團契分享
[00:03:09.400 --> 00:03:11.400]  或者弟兄不會的
[00:03:11.400 --> 00:03:14.400]  如果說下去就是gossip的時間
[00:03:14.400 --> 00:03:16.400]  我們只是通報聲明
