
[00:00:00.000 --> 00:00:12.000]  《尊嚴》的題目是「我家,我心安處是吾家」。
[00:00:12.000 --> 00:00:30.000]  如果你有參加過我所舉辦的講座,你都會知道我有負擔,希望一連串將聖經裏面的智慧文學的主題都講完。
[00:00:30.000 --> 00:00:49.000]  曾經講過的就是傳道書,從生命的荒謬到直根永恆,亦都講過約伯記,是講到約伯記和人生的苦難和人生的遭遇。
[00:00:49.000 --> 00:01:09.000]  今次就用《尊嚴》來講,相信如果神容許,下次會跟大家講雅歌,雅歌裏面的親切,親密的關係,人和神,人和人之間的親密關係。
[00:01:09.000 --> 00:01:17.000]  還有一次就是講詩篇裏面的屬靈經歷,這個就是我自己的負擔。
[00:01:17.000 --> 00:01:28.000]  《尊嚴》是一本不容易講的書,我心安處是吾家就更加不能完全講完《尊嚴》裏面的主題。
[00:01:28.000 --> 00:01:39.000]  《尊嚴》的主題有相當多,較為重要的主題除了這個題目,其實這個題目包括了兩樣東西,
[00:01:39.000 --> 00:01:53.000]  講一個心,就是今晚我們所講的智慧,然後講一個家,就是我們下一次所講的家庭裏面的父母子女和女性的角色,
[00:01:53.000 --> 00:02:09.000]  講到對於上一代長輩的態度,還有究竟家在香港這麼繁忙緊張的社會裏面,我們怎樣重新定位家是什麼。
[00:02:09.000 --> 00:02:18.000]  這個在《尊嚴》裏面相當多豐富的教訓,所以這個題目為什麼會選這兩個題目呢?
[00:02:18.000 --> 00:02:34.000]  我相信講到《尊嚴》裏面的智慧是一個很重要的主題,如果你稍為讀過《尊嚴》,你會不斷在印象當中時常都講智慧人是怎樣的,愚昧人是怎樣的,聰明人是怎樣的。
[00:02:34.000 --> 00:02:46.000]  這個就是《尊嚴》裏面一個很重要的主題,較為哲學一點,較為思考性強一點,所以我就選了這個題目來講。
[00:02:46.000 --> 00:03:02.000]  下一次《尊嚴》裏面有很多具體實際的教訓,雖然它零零星星不一定是順著次序講下去,但很多隻字片語有很多深度的人生思想,也是智慧的教導。
[00:03:02.000 --> 00:03:12.000]  所以如果我們《尊嚴》只講智慧,只講抽象,只講哲學性的理論,就不能夠講到《尊嚴》那種實際的用法。
[00:03:12.000 --> 00:03:32.000]  所以下一次就《尊嚴》其中一個很實際的用法,就是講到家庭的倫理,人際關係當中的問題,和大家結合現代的社會和我們所面對的困境,我們希望提出一個欣賞,欣賞一下《尊嚴》究竟是怎樣。
[00:03:32.000 --> 00:03:55.000]  剛才講過《尊嚴》還有其他主題,譬如《尊嚴》裏面也有不少地方是講到人與人之間朋友的相處,講話的藝術,懶惰或勤勞的問題,對財富怎樣去運用,這些諸如此類還有很多東西。
[00:03:55.000 --> 00:04:14.000]  當然在兩堂的座會裏面不可能將它全部講完,只能夠拋磚引玉,引導大家對《尊嚴》發生的興趣,對神給我們的智慧的啟示有一種愛慕,我相信我的目的已經達到了。
[00:04:14.000 --> 00:04:35.000]  我們今天就和大家開始講到在資訊爆炸的社會當中重提智慧。資訊爆炸的社會,大家都知道是我們時常掛在口邊的說話,Information Society。
[00:04:35.000 --> 00:04:55.000]  在上一年一個國際的未來學會議裏面有三千多人參加,在這個國際的未來學會議裏面討論其中一個最主要的題目,就是究竟這個資訊爆炸帶給人類是好事還是壞事。
[00:04:55.000 --> 00:05:11.000]  他們就請了兩位在這方面的專家,一個堅持是好事,一個堅持是壞事。有一個主持人嘗試中立,做了一個針鋒相對的討論。
