
[00:00:00.000 --> 00:00:05.200]  各位大姐妹早晨 新年快樂
[00:00:05.200 --> 00:00:07.200]  想不到在年初一的時間
[00:00:07.200 --> 00:00:09.200]  剛剛在今天這個日子裡
[00:00:09.200 --> 00:00:11.200]  在這裡和大家分享神的話
[00:00:11.200 --> 00:00:13.820]  多謝李牧師的安排
[00:00:13.820 --> 00:00:15.820]  也奉傳度給我的機會
[00:00:15.820 --> 00:00:17.820]  在未來這四個月裡
[00:00:17.820 --> 00:00:20.820]  我剛剛在溫哥華這段時間
[00:00:20.820 --> 00:00:24.200]  會做一些研究寫作的工作
[00:00:24.200 --> 00:00:26.200]  五月底就回香港
[00:00:26.200 --> 00:00:27.700]  在這段時間裡
[00:00:27.700 --> 00:00:31.600]  教會給我機會差不多隔個星期來
[00:00:31.600 --> 00:00:32.600]  大家當中講道
[00:00:32.600 --> 00:00:35.100]  我覺得是一個很特別的安排
[00:00:35.100 --> 00:00:37.100]  同時也會在中間教書學
[00:00:37.100 --> 00:00:39.600]  我想一下既然是一連串的講道
[00:00:39.600 --> 00:00:41.600]  我就想用一卷的書
[00:00:41.600 --> 00:00:42.600]  時間不是很多
[00:00:42.600 --> 00:00:43.600]  我就選了一卷的書
[00:00:43.600 --> 00:00:44.600]  就是菲律賓的書
[00:00:44.600 --> 00:00:46.600]  過往我記得在這裡
[00:00:46.600 --> 00:00:48.600]  也和大家分享過這段聖經
[00:00:48.600 --> 00:00:49.600]  但我想連貫一點
[00:00:49.600 --> 00:00:51.600]  所以這次希望從頭
[00:00:51.600 --> 00:00:53.600]  一路講完菲律賓的書
[00:00:53.600 --> 00:00:55.600]  在這大約七八次的講道裡
[00:00:55.600 --> 00:00:57.600]  今天我們先看
[00:00:57.600 --> 00:01:00.600]  菲律賓的書第一章第一到十一節
[00:01:00.600 --> 00:01:03.600]  我叫做不斷成長的教會
[00:01:03.600 --> 00:01:05.600]  剛剛新年開始
[00:01:05.600 --> 00:01:07.600]  我希望我們基督徒
[00:01:07.600 --> 00:01:08.600]  或者我們整個教會
[00:01:08.600 --> 00:01:10.600]  能夠在神的面前
[00:01:10.600 --> 00:01:12.600]  有一個不斷成長的心智
[00:01:12.600 --> 00:01:16.600]  我不知道會不會在成長的路上
[00:01:16.600 --> 00:01:18.600]  慢慢地發覺
[00:01:18.600 --> 00:01:21.600]  信耶穌來了就會停下來
[00:01:22.600 --> 00:01:27.600]  有一次有一個十幾歲的小女孩
[00:01:27.600 --> 00:01:29.600]  就對著愛因斯坦
[00:01:29.600 --> 00:01:33.600]  見到面的時候就問他
[00:01:33.600 --> 00:01:35.600]  我知道你是一個很偉大的科學家
[00:01:35.600 --> 00:01:37.600]  不過你究竟從事什麼
[00:01:37.600 --> 00:01:39.600]  你研究什麼的
[00:01:39.600 --> 00:01:40.600]  愛因斯坦就說
[00:01:40.600 --> 00:01:44.600]  我是研究物理的
[00:01:44.600 --> 00:01:47.600]  這個小女孩就覺得很奇怪
[00:01:47.600 --> 00:01:50.600]  你這麼大年紀還研究物理
[00:01:50.600 --> 00:01:52.600]  九歲的時候已經讀完了
[00:01:52.600 --> 00:01:55.600]  我想這正正就是
[00:01:55.600 --> 00:01:58.600]  小女孩和愛因斯坦的分別
[00:01:58.600 --> 00:01:59.600]  在小女孩的心目中
[00:01:59.600 --> 00:02:02.600]  就覺得我讀完的科目不用再讀了
[00:02:02.600 --> 00:02:04.600]  但是在愛因斯坦的心目中
[00:02:04.600 --> 00:02:06.600]  有無窮的興趣
[00:02:06.600 --> 00:02:08.600]  無窮的好奇心
[00:02:08.600 --> 00:02:10.600]  才會成為一個偉大的科學家
[00:02:10.600 --> 00:02:11.600]  弟兄姊妹們也是
[00:02:11.600 --> 00:02:13.600]  在屬靈路上
[00:02:13.600 --> 00:02:15.600]  如果你說其實很多東西都不懂
[00:02:15.600 --> 00:02:16.600]  我很想學多一點
[00:02:16.600 --> 00:02:18.600]  其實我祝福你
[00:02:18.600 --> 00:02:20.600]  正正就是我們不斷成長的
[00:02:20.600 --> 00:02:22.600]  很重要的一個態度
[00:02:22.600 --> 00:02:23.600]  我們今天想看看
[00:02:23.600 --> 00:02:26.600]  保羅在新教會建立了很多的教會
[00:02:26.600 --> 00:02:30.600]  其中一間差不多被保羅稱讚最多的教會
[00:02:30.600 --> 00:02:31.600]  就是菲律賓教會
[00:02:31.600 --> 00:02:32.600]  這間教會
[00:02:32.600 --> 00:02:34.600]  如果有機會比對
[00:02:34.600 --> 00:02:36.600]  《士堂傳》第十六章
[00:02:36.600 --> 00:02:39.600]  就是保羅領受馬其頓的意象
[00:02:39.600 --> 00:02:40.600]  過到當中
[00:02:40.600 --> 00:02:42.600]  在歐洲建立第一間教會
[00:02:42.600 --> 00:02:43.600]  在《士堂傳》第十六章
[00:02:43.600 --> 00:02:44.600]  用整章的經文
[00:02:44.600 --> 00:02:47.600]  記載這間教會成立的經過
[00:02:47.600 --> 00:02:48.600]  十六章尾
[00:02:48.600 --> 00:02:49.600]  保羅就離開這裡
[00:02:49.600 --> 00:02:50.600]  在一段很短的時間裏
[00:02:50.600 --> 00:02:52.600]  保羅建立了這間教會
[00:02:52.600 --> 00:02:54.600]  在這樣的環境之下
[00:02:54.600 --> 00:02:56.600]  竟然成為一間很蒙福
[00:02:56.600 --> 00:02:59.600]  也是保羅很愛的教會
[00:02:59.600 --> 00:03:00.600]  時間關係
[00:03:00.600 --> 00:03:02.600]  我想將這段經文很簡略地
[00:03:02.600 --> 00:03:04.600]  分成三個段落來思想
[00:03:04.600 --> 00:03:05.600]  第一段落
[00:03:05.600 --> 00:03:08.600]  這段經文很明顯就是保羅用一般寫信的格式
