
[00:00:00.000 --> 00:00:03.500]  請大家打開剛才我們所讀的聖經
[00:00:03.500 --> 00:00:06.500]  在我們這本新的聖經 重一點
[00:00:06.500 --> 00:00:12.200]  不過很開心 今次是我講道第一次了
[00:00:12.200 --> 00:00:17.000]  用這個可以有新譯本的 一起對照的聖經
[00:00:17.000 --> 00:00:24.000]  就是1514頁 我們打開這本聖經
[00:00:24.000 --> 00:00:28.500]  我們今天就看兩個事件
[00:00:28.500 --> 00:00:30.500]  剛才我們所讀的聖經裡面
[00:00:30.500 --> 00:00:36.000]  記載了兩個人被我們的主耶穌所醫好了
[00:00:36.000 --> 00:00:40.500]  我嘗試用新的譯本 新的讀法
[00:00:40.500 --> 00:00:43.000]  因為我本來預備的時候是這本聖經的
[00:00:43.000 --> 00:00:44.000]  不過不要緊
[00:00:44.000 --> 00:00:52.000]  好 我們今天思想耶穌基督的能力
[00:00:52.000 --> 00:00:55.000]  這本聖經記載了兩個人
[00:00:55.000 --> 00:00:58.000]  都經歷了耶穌基督醫治的能力
[00:00:58.000 --> 00:01:02.000]  一個是患了血漏12年的女人
[00:01:02.000 --> 00:01:06.000]  另外一個是管會堂
[00:01:06.000 --> 00:01:11.000]  新譯本是會堂的主管 位置相當高
[00:01:11.000 --> 00:01:15.000]  猶太會堂主管的女兒 12歲
[00:01:15.000 --> 00:01:17.000]  兩個都是女士
[00:01:17.000 --> 00:01:19.000]  我們今天時間不多
[00:01:19.000 --> 00:01:22.000]  想直接進入這兩個人
[00:01:22.000 --> 00:01:25.000]  這兩個的情況當中
[00:01:25.000 --> 00:01:29.000]  首先我想和大家有一點拉近的關係
[00:01:29.000 --> 00:01:32.000]  今天這兩個我們所見到的家庭
[00:01:32.000 --> 00:01:35.000]  其實都是相當有辦法
[00:01:35.000 --> 00:01:42.000]  也相當不是那些不算大富大貴
[00:01:42.000 --> 00:01:45.000]  但是都有實力的家庭
[00:01:45.000 --> 00:01:47.000]  如果你留意到
[00:01:47.000 --> 00:01:49.000]  這個女人記載她不是很多
[00:01:49.000 --> 00:01:53.000]  但是聖經說她患了血漏病有12年
[00:01:53.000 --> 00:01:54.000]  很長的日子
[00:01:54.000 --> 00:01:58.000]  聖經說她花了錢在醫生那裡
[00:01:58.000 --> 00:02:00.000]  還搞了很多麻煩
[00:02:00.000 --> 00:02:01.000]  很簡單的記載
[00:02:01.000 --> 00:02:03.000]  但是我們相信這個女人不簡單
[00:02:03.000 --> 00:02:06.000]  因為第一患血漏病
[00:02:06.000 --> 00:02:09.000]  應該是舊約裡面所記載
[00:02:09.000 --> 00:02:13.000]  血漏就是原文血不斷流
[00:02:13.000 --> 00:02:16.000]  當然不會七孔
[00:02:16.000 --> 00:02:17.000]  死了很久
[00:02:17.000 --> 00:02:21.000]  大家都明白多數是下身流出來
[00:02:21.000 --> 00:02:23.000]  按照利美紀十五章說
[00:02:23.000 --> 00:02:26.000]  下身流出來就是月經之後流出來
[00:02:26.000 --> 00:02:28.000]  就是視為不潔
[00:02:28.000 --> 00:02:31.000]  近史古代他們不明白是什麼原因
[00:02:31.000 --> 00:02:33.000]  總而言之其實很尷尬
[00:02:33.000 --> 00:02:35.000]  今天你和我都尷尬
[00:02:35.000 --> 00:02:39.000]  尤其是當天這個女人
[00:02:39.000 --> 00:02:41.000]  如果她不是大把錢
[00:02:41.000 --> 00:02:43.000]  就不會有醫生肯醫她
[00:02:43.000 --> 00:02:44.000]  因為是女人
[00:02:44.000 --> 00:02:46.000]  還這麼尷尬的病
[00:02:46.000 --> 00:02:48.000]  就是說她是相當有地位的
[00:02:48.000 --> 00:02:51.000]  醫生為了她的名譽也好
[00:02:51.000 --> 00:02:53.000]  或者她的權力也好
[00:02:53.000 --> 00:02:54.000]  或者她大把錢也好
[00:02:54.000 --> 00:02:55.000]  都肯看她
[00:02:55.000 --> 00:02:57.000]  通常這樣的女人是沒有人肯看她的
