
[00:00:00.000 --> 00:00:08.000]  各位觀眾,我們今天很高興開始新一卷書卷
[00:00:08.000 --> 00:00:10.000]  是一卷舊約的書卷
[00:00:10.000 --> 00:00:15.000]  嚴格上來說,我們只是讀到一本書
[00:00:15.000 --> 00:00:18.000]  其中的十二分之一
[00:00:18.000 --> 00:00:22.000]  這卷書就是我們一起看的
[00:00:22.000 --> 00:00:27.000]  《小仙之十二卷》The Book of Twelve 裡面的第二回
[00:00:27.000 --> 00:00:30.000]  叫做《約爾書》
[00:00:30.000 --> 00:00:35.000]  讓我們今天一起用三至四個月的時間
[00:00:35.000 --> 00:00:38.000]  一起去看這卷《約爾書》
[00:00:38.000 --> 00:00:44.000]  從中去看看上帝如何在這個世界裡面去工作
[00:00:44.000 --> 00:00:48.000]  並且讓我們能夠活在這個世界當中
[00:00:48.000 --> 00:00:52.000]  作為神的子民,如何能夠配合上帝
[00:00:52.000 --> 00:00:55.000]  祂要我們在生命上的改變
[00:00:55.000 --> 00:00:58.000]  如何去配合上帝的工作
[00:00:58.000 --> 00:01:01.000]  而去活出神的應有的生命
[00:01:01.000 --> 00:01:04.000]  讓我們再次的回到這卷書卷
[00:01:04.000 --> 00:01:07.000]  今天我們只會看一節的經文
[00:01:07.000 --> 00:01:10.000]  就是《約爾書》的第一章第一節
[00:01:10.000 --> 00:01:13.000]  今天所說的題目是叫做
[00:01:13.000 --> 00:01:18.000]  你是誰竟然來傳神普世之道
[00:01:18.000 --> 00:01:21.000]  或者就是說你是哪一位啊
[00:01:21.000 --> 00:01:26.000]  你竟然敢來做神的工作,傳神的道理
[00:01:26.000 --> 00:01:28.000]  好,我們在開始之先
[00:01:28.000 --> 00:01:32.000]  不如我先為大家去讀一次這節的經文
[00:01:32.000 --> 00:01:35.000]  《約爾書》第一章第一節
[00:01:35.000 --> 00:01:41.000]  耶和華的話臨到彼土耳的兒子約爾
[00:01:41.000 --> 00:01:43.000]  在開始之先
[00:01:43.000 --> 00:01:46.000]  讓我們先看一下
