
[00:00:00.000 --> 00:00:05.000]  各位電視節目的觀眾朋友你們好
[00:00:05.000 --> 00:00:08.000]  歡迎大家參加我們三藩市的網上博客
[00:00:08.000 --> 00:00:13.000]  今天我們繼續思想約翰福音的訊息
[00:00:13.000 --> 00:00:20.000]  我們來到第二講 即是約翰福音第一章六節至十八節
[00:00:20.000 --> 00:00:23.000]  題目叫做回歸
[00:00:23.000 --> 00:00:27.000]  在思想這段聖經之前請我們同心協力
[00:00:27.000 --> 00:00:31.000]  讀禱告 慈悲亞馬遮國我們滿心感謝你
[00:00:31.000 --> 00:00:35.000]  感謝你因為你拆敗了你的獨身兒子耶穌
[00:00:35.000 --> 00:00:39.000]  讓他來到世上為我們釘寫十字架
[00:00:39.000 --> 00:00:43.000]  但剛來到世上世人卻不接受剛
[00:00:43.000 --> 00:00:46.000]  求你憐憫赦免我們
[00:00:46.000 --> 00:00:51.000]  求你也使用我們將這個福音傳遍天下
[00:00:51.000 --> 00:00:56.000]  求聖明借助你的說話去提醒全面驚艷我們
[00:00:56.000 --> 00:01:00.000]  我們禱告 耶穌基督明求 阿們
[00:01:00.000 --> 00:01:04.000]  在台灣發生了一件奇案
[00:01:04.000 --> 00:01:09.000]  一個姓陳的家庭有一個六歲大的獨子
[00:01:09.000 --> 00:01:15.000]  有一天他們夫婦二人帶著兒子到附近的公園玩耍
[00:01:15.000 --> 00:01:18.000]  小孩子在玩鞦韆
[00:01:18.000 --> 00:01:21.000]  大人坐在椅子上聊天
[00:01:21.000 --> 00:01:25.000]  當我們回頭看一看小孩的時候
[00:01:25.000 --> 00:01:30.000]  突然發現小孩子失蹤了
[00:01:30.000 --> 00:01:32.000]  不知道去哪了
[00:01:32.000 --> 00:01:34.000]  他到處找都找不到
[00:01:34.000 --> 00:01:38.000]  他們立即報警四處通緝
[00:01:38.000 --> 00:01:42.000]  但依然無影無蹤 音訊全無
[00:01:42.000 --> 00:01:44.000]  這對夫婦就慘了
[00:01:44.000 --> 00:01:47.000]  一方面很內疚很內疚
[00:01:47.000 --> 00:01:50.000]  另一方面更擔心
[00:01:50.000 --> 00:01:53.000]  小孩子生死未卜
[00:01:53.000 --> 00:01:55.000]  不知去向
[00:01:55.000 --> 00:01:57.000]  但又不見匪徒勒索
[00:01:57.000 --> 00:02:00.000]  事實上他們夫婦只是小康之家
[00:02:00.000 --> 00:02:03.000]  沒有什麼財產 綁票
[00:02:03.000 --> 00:02:06.000]  未免找錯對象了
[00:02:06.000 --> 00:02:09.000]  事隔了兩年
[00:02:09.000 --> 00:02:12.000]  小孩子應該是八歲了
[00:02:12.000 --> 00:02:17.000]  有一天當夫婦二人放了工回家的時候
[00:02:17.000 --> 00:02:21.000]  一回到家 奇蹟的事就發生了
[00:02:21.000 --> 00:02:26.000]  竟然發現自己的兒子在門口站著
[00:02:26.000 --> 00:02:28.000]  一切無恙
[00:02:28.000 --> 00:02:31.000]  他們夫婦真的喜出望外
[00:02:31.000 --> 00:02:33.000]  失是一個謎
[00:02:33.000 --> 00:02:36.000]  得是一個更大的謎
[00:02:36.000 --> 00:02:38.000]  正當我們歡喜之際
[00:02:38.000 --> 00:02:40.000]  叫著兒子的名字
[00:02:40.000 --> 00:02:43.000]  司機司機 你怎樣了
[00:02:43.000 --> 00:02:46.000]  你為何失蹤了兩年 你去哪了
[00:02:46.000 --> 00:02:49.000]  一方面抱著兒子
[00:02:49.000 --> 00:02:52.000]  接著又問一連串的問題
[00:02:52.000 --> 00:02:54.000]  但奇怪
[00:02:54.000 --> 00:02:56.000]  司機毫無反應
[00:02:56.000 --> 00:02:58.000]  好像一個陌生人一樣
[00:02:58.000 --> 00:03:02.000]  甚至好像不太認得是他爸爸和媽媽
[00:03:02.000 --> 00:03:05.000]  從前家裡是說國語的
[00:03:05.000 --> 00:03:09.000]  但現在的小孩子在他面前是說閩南話
[00:03:09.000 --> 00:03:12.000]  從前他很乖 很聽話的
[00:03:12.000 --> 00:03:15.000]  現在就很反叛 很粗魯 很野
[00:03:15.000 --> 00:03:18.000]  從前他很疼爸爸媽媽
[00:03:18.000 --> 00:03:21.000]  現在竟然當父母是陌生人
[00:03:21.000 --> 00:03:23.000]  人是回來的
[00:03:23.000 --> 00:03:27.000]  但發覺已經不是從前的陳士奇
[00:03:27.000 --> 00:03:29.000]  而是好像另外一個人
[00:03:29.000 --> 00:03:33.000]  完全不同的陌生人
[00:03:33.000 --> 00:03:35.000]  原來兩年前
[00:03:35.000 --> 00:03:40.000]  一個抑止狂的女人將士奇擄走了
[00:03:40.000 --> 00:03:44.000]  當自己的兒子來撫養
[00:03:44.000 --> 00:03:46.000]  一切對他唯命是囚
[00:03:46.000 --> 00:03:48.000]  毫無紀律
[00:03:48.000 --> 00:03:50.000]  兩年後他得了絕症
[00:03:50.000 --> 00:03:52.000]  沒辦法再撫養士奇
[00:03:52.000 --> 00:03:56.000]  就偷偷地將他送回給他親生父母
[00:03:56.000 --> 00:03:59.000]  但經過兩年的洗腦
[00:03:59.000 --> 00:04:03.000]  這個小孩子好像變成了另外一個人一樣
[00:04:03.000 --> 00:04:09.000]  回歸是中外文學一個常見的主題
[00:04:09.000 --> 00:04:12.000]  我們小時候讀中國小說
[00:04:12.000 --> 00:04:14.000]  《風雪夜歸人》
[00:04:14.000 --> 00:04:18.000]  中學時讀希臘神話《Odysseus》
[00:04:18.000 --> 00:04:20.000]  同樣是同一個主題
[00:04:20.000 --> 00:04:22.000]  回到家裏
[00:04:22.000 --> 00:04:25.000]  小小離家老大會
[00:04:25.000 --> 00:04:27.000]  但已經面目全非
[00:04:27.000 --> 00:04:30.000]  真是人面不知何處去
[00:04:30.000 --> 00:04:33.000]  桃花依舊笑春風
[00:04:33.000 --> 00:04:37.000]  一個更加令人氣憤的回歸故事
[00:04:37.000 --> 00:04:43.000]  就是耶穌在路加福音第20章9節所說的一個比喻
[00:04:43.000 --> 00:04:48.000]  有一個葡萄園的園主將葡萄園租給了那些園戶
[00:04:48.000 --> 00:04:52.000]  然後就去外國住了很久
[00:04:52.000 --> 00:04:57.000]  到時候他就打一個暴人去到園戶那裏收租
[00:04:57.000 --> 00:05:01.000]  那些園戶竟然打這個暴人
[00:05:01.000 --> 00:05:03.000]  叫他空手回去
[00:05:03.000 --> 00:05:05.000]  於是主人說不行
[00:05:05.000 --> 00:05:07.000]  找另外一個暴徒再去
[00:05:07.000 --> 00:05:09.000]  他們一樣打他
[00:05:09.000 --> 00:05:10.000]  另一個去
[00:05:10.000 --> 00:05:11.000]  叫他空手回去
[00:05:11.000 --> 00:05:14.000]  於是就打回第三個暴人去
[00:05:14.000 --> 00:05:17.000]  同樣被這些園戶打傷
[00:05:17.000 --> 00:05:19.000]  趕了出去
[00:05:19.000 --> 00:05:22.000]  最後園主就打回自己的兒子去
[00:05:22.000 --> 00:05:27.000]  因為這個是主人的兒子
[00:05:27.000 --> 00:05:29.000]  到了自己的地方
[00:05:29.000 --> 00:05:31.000]  或者園戶會尊敬他
[00:05:31.000 --> 00:05:35.000]  然後園戶見到的時候就彼此商量
[00:05:35.000 --> 00:05:38.000]  原來這個是老闆的兒子
[00:05:38.000 --> 00:05:40.000]  是承受產業的
[00:05:40.000 --> 00:05:42.000]  不如我們殺了他
[00:05:42.000 --> 00:05:44.000]  將產業歸回自己
[00:05:44.000 --> 00:05:48.000]  於是就將這個兒子推出葡萄園外
[00:05:48.000 --> 00:05:50.000]  將他殺了
[00:05:50.000 --> 00:05:51.000]  沒錯
[00:05:51.000 --> 00:05:52.000]  這個是一個比喻
[00:05:52.000 --> 00:05:53.000]  一個故事
[00:05:53.000 --> 00:05:57.000]  但絕對不是一個假設虛構的故事
[00:05:57.000 --> 00:06:00.000]  這個園主就是神
[00:06:00.000 --> 00:06:02.000]  這個兒子就是耶穌基督
[00:06:02.000 --> 00:06:05.000]  神誕生耶穌基督來到世上
[00:06:05.000 --> 00:06:07.000]  是他自己的地方
[00:06:07.000 --> 00:06:09.000]  這個園戶就是這個世界
[00:06:09.000 --> 00:06:12.000]  尤其是神的選民以色列
[00:06:12.000 --> 00:06:17.000]  當救主來到自己的地方的時候
[00:06:17.000 --> 00:06:20.000]  他們竟然氣絕耶穌
[00:06:20.000 --> 00:06:22.000]  殺了他
[00:06:22.000 --> 00:06:25.000]  這個就是神回歸的故事
[00:06:25.000 --> 00:06:28.000]  這個案子就用很精簡的幾句話
[00:06:28.000 --> 00:06:31.000]  描繪這個殘忍的故事
[00:06:31.000 --> 00:06:34.000]  他說那剛是真剛
[00:06:34.000 --> 00:06:38.000]  照亮一切坐在世上的人
[00:06:38.000 --> 00:06:40.000]  他在世上
[00:06:40.000 --> 00:06:42.000]  世界也是藉著他做的
[00:06:42.000 --> 00:06:44.000]  世界卻不認識他
[00:06:44.000 --> 00:06:46.000]  他到自己的地方來
[00:06:46.000 --> 00:06:48.000]  自己的人都不接待他
[00:06:48.000 --> 00:06:51.000]  今天就讓我們詳細來看看
[00:06:51.000 --> 00:06:54.000]  這個殘忍的回歸故事
[00:06:54.000 --> 00:06:58.000]  首先我們看看六節至第八節和十五節
