
[00:00:00.000 --> 00:00:05.000]  大胃傳的第八講
[00:00:05.000 --> 00:00:09.000]  我們今天要講薩姆以上的27章
[00:00:09.000 --> 00:00:12.000]  29章和30章
[00:00:12.000 --> 00:00:15.000]  為什麼會跳了28章?
[00:00:15.000 --> 00:00:18.000]  其實薩姆以上還有28章和30章
[00:00:18.000 --> 00:00:20.000]  我是還沒講
[00:00:20.000 --> 00:00:22.000]  下一次就會講
[00:00:22.000 --> 00:00:25.000]  28章是有關掃羅交軌
[00:00:25.000 --> 00:00:28.000]  30章是說他賤死在沙場
[00:00:28.000 --> 00:00:33.000]  所以薩姆以上關於大胃的故事就會完結
[00:00:33.000 --> 00:00:36.000]  然後再會在薩姆以下開始
[00:00:36.000 --> 00:00:39.000]  我們也會休息一會
[00:00:39.000 --> 00:00:41.000]  講完下一次之後
[00:00:41.000 --> 00:00:46.000]  我們會回去看羅馬書第九章至第十一章
[00:00:46.000 --> 00:00:48.000]  聖經真是厲害
[00:00:48.000 --> 00:00:53.000]  我們看到舊約就是故事反映出神學
[00:00:53.000 --> 00:00:57.000]  但回到羅馬書又是講神學
[00:00:57.000 --> 00:01:00.000]  所以聖經真是很精彩
[00:01:00.000 --> 00:01:03.000]  今天我要講的題目就是
[00:01:03.000 --> 00:01:06.000]  從失落到再蒙恩的途徑
[00:01:06.000 --> 00:01:09.000]  我們做基督徒很多時候
[00:01:09.000 --> 00:01:12.000]  雖然我們做了基督徒都會失落
[00:01:12.000 --> 00:01:14.000]  失落了不要緊
[00:01:14.000 --> 00:01:19.000]  但最重要是怎樣再一次蒙神的因典
[00:01:19.000 --> 00:01:21.000]  走上蒙恩的途徑
[00:01:21.000 --> 00:01:24.000]  這就是我今天要講的訊息
[00:01:24.000 --> 00:01:27.000]  首先一些背景
[00:01:27.000 --> 00:01:31.000]  在薩姆以上的二十四章和二十六章
[00:01:31.000 --> 00:01:34.000]  大胃兩次有機會殺死素羅
[00:01:34.000 --> 00:01:36.000]  但他都沒有這樣做
[00:01:36.000 --> 00:01:38.000]  他有試探
[00:01:38.000 --> 00:01:40.000]  但他勝過這些試探
[00:01:40.000 --> 00:01:42.000]  應該很開心吧
[00:01:42.000 --> 00:01:44.000]  勝過試探
[00:01:44.000 --> 00:01:47.000]  但又有新的試探等他
[00:01:47.000 --> 00:01:49.000]  這次他信心不足
[00:01:49.000 --> 00:01:52.000]  又去了斐理士人的地方
[00:01:52.000 --> 00:01:55.000]  記不記得這次已經不是第一次了
[00:01:55.000 --> 00:01:57.000]  上次去斐理士人的地方
[00:01:57.000 --> 00:01:59.000]  他又是私行詭詐
[00:01:59.000 --> 00:02:01.000]  欺騙阿吉王
[00:02:01.000 --> 00:02:03.000]  這次又來了
[00:02:03.000 --> 00:02:06.000]  他居然叫阿吉做甚麼
[00:02:06.000 --> 00:02:09.000]  我的主我的王
[00:02:09.000 --> 00:02:11.000]  你能不能想像
[00:02:11.000 --> 00:02:13.000]  以色列人的王
[00:02:13.000 --> 00:02:15.000]  就是叫斐理士人的王
[00:02:15.000 --> 00:02:17.000]  做我的主我的王
[00:02:17.000 --> 00:02:20.000]  他還跟阿吉說我是你的僕人
[00:02:20.000 --> 00:02:23.000]  他已經低落到一個程度
[00:02:23.000 --> 00:02:27.000]  他是稱他的敵人成為他的主他的王
[00:02:27.000 --> 00:02:30.000]  我們都很相似
[00:02:30.000 --> 00:02:33.000]  很多時候當我們失落的時候
[00:02:33.000 --> 00:02:36.000]  我們跟世俗的人有沒有分別
[00:02:36.000 --> 00:02:38.000]  沒有分別
[00:02:38.000 --> 00:02:42.000]  甚至可以說有時比俗世的人還差
[00:02:42.000 --> 00:02:44.000]  這個我們要很小心
[00:02:44.000 --> 00:02:46.000]  但不要緊
[00:02:46.000 --> 00:02:48.000]  聖經告訴我們甚麼
[00:02:48.000 --> 00:02:50.000]  要我們歸向神
[00:02:50.000 --> 00:02:54.000]  我們仍然能夠走回蒙恩道路
[00:02:54.000 --> 00:02:58.000]  這個就是我要和大家分享的訊息
[00:02:58.000 --> 00:03:01.000]  大衛的問題在哪裏
[00:03:01.000 --> 00:03:04.000]  他有錯誤的觀點
[00:03:04.000 --> 00:03:07.000]  他在寫詩篇的27篇的時候
[00:03:07.000 --> 00:03:09.000]  他很醒目
[00:03:09.000 --> 00:03:11.000]  他說了甚麼
[00:03:11.000 --> 00:03:13.000]  27篇一節
[00:03:13.000 --> 00:03:15.000]  耶和華是我的亮光
[00:03:15.000 --> 00:03:17.000]  是我的拯救
[00:03:17.000 --> 00:03:19.000]  是我的鎮壓
[00:03:19.000 --> 00:03:21.000]  是我的保障
[00:03:21.000 --> 00:03:23.000]  是我的玩具
[00:03:23.000 --> 00:03:25.000]  說得很好聽
[00:03:25.000 --> 00:03:27.000]  冠冕堂皇
[00:03:27.000 --> 00:03:31.000]  但在撒姆爾上的27章一節
[00:03:31.000 --> 00:03:33.000]  今天的經文很有趣
[00:03:33.000 --> 00:03:35.000]  兩個都是27章一節
[00:03:35.000 --> 00:03:37.000]  大衛說甚麼
[00:03:37.000 --> 00:03:39.000]  他心裏說
[00:03:39.000 --> 00:03:42.000]  我必有一日死在蘇羅的手裏
[00:03:42.000 --> 00:03:45.000]  不如逃奔菲利士地去
[00:03:45.000 --> 00:03:48.000]  蘇羅見我不在以色列的境內
[00:03:48.000 --> 00:03:50.000]  就必絕望
[00:03:50.000 --> 00:03:52.000]  不再尋索我
[00:03:52.000 --> 00:03:55.000]  這樣我就可以脫離他的手
[00:03:55.000 --> 00:03:59.000]  他以為可以走到菲利士人的地方
[00:03:59.000 --> 00:04:01.000]  就一了了之
[00:04:01.000 --> 00:04:03.000]  他失落
[00:04:03.000 --> 00:04:05.000]  他完全失去鬥志
[00:04:05.000 --> 00:04:09.000]  我相信他是非常憂鬱
[00:04:09.000 --> 00:04:11.000]  我們上次也說過
[00:04:11.000 --> 00:04:15.000]  大衛是一個非常希望敬拜神的人
[00:04:15.000 --> 00:04:18.000]  在C篇的63篇和145篇
[00:04:18.000 --> 00:04:20.000]  我們也看到
[00:04:20.000 --> 00:04:22.000]  他渴望敬拜神
[00:04:22.000 --> 00:04:25.000]  但現在偏偏被蘇羅迫住
[00:04:25.000 --> 00:04:29.000]  他認為只可以離開自己的國家
[00:04:29.000 --> 00:04:31.000]  離開了自己的國家
[00:04:31.000 --> 00:04:34.000]  就不能去聖殿敬拜神
[00:04:34.000 --> 00:04:36.000]  神曾經跟他說
[00:04:36.000 --> 00:04:38.000]  你不要離開猶大地
[00:04:38.000 --> 00:04:42.000]  但現在他決定離開猶大
[00:04:42.000 --> 00:04:45.000]  問題是為何他會失落
[00:04:45.000 --> 00:04:47.000]  為何他會這麼憂鬱
[00:04:47.000 --> 00:04:50.000]  有兩個主要原因
[00:04:50.000 --> 00:04:51.000]  第一
[00:04:51.000 --> 00:04:54.000]  他認為他有不能勝過的敵人
[00:04:54.000 --> 00:04:56.000]  就是蘇羅
[00:04:56.000 --> 00:04:59.000]  蘇羅是神所高沒的
[00:04:59.000 --> 00:05:03.000]  他知道不能伸手害神的受高者
[00:05:03.000 --> 00:05:06.000]  你不要說殺死他
[00:05:06.000 --> 00:05:08.000]  傷害他也不可以
[00:05:08.000 --> 00:05:10.000]  不可以詛咒他
[00:05:10.000 --> 00:05:12.000]  他只有捱打的份
[00:05:12.000 --> 00:05:14.000]  他只有逃跑
[00:05:14.000 --> 00:05:17.000]  蘇羅對他窮追不捨
[00:05:17.000 --> 00:05:19.000]  他完全沒有還擊的能力
[00:05:19.000 --> 00:05:22.000]  這就是他有不能勝過的敵人
[00:05:22.000 --> 00:05:24.000]  弟兄姊妹
[00:05:24.000 --> 00:05:25.000]  你們的生命當中
[00:05:25.000 --> 00:05:28.000]  有沒有一些不可勝過的敵人
[00:05:28.000 --> 00:05:30.000]  你想想
[00:05:30.000 --> 00:05:32.000]  可能是你的丈夫
[00:05:32.000 --> 00:05:34.000]  可能是你的太太
[00:05:34.000 --> 00:05:36.000]  可能是你的子女
[00:05:36.000 --> 00:05:38.000]  可能是你的父母
[00:05:38.000 --> 00:05:40.000]  可能是你的上司
[00:05:40.000 --> 00:05:43.000]  你不能勝過他
[00:05:43.000 --> 00:05:46.000]  每天就是這樣追趕你
[00:05:46.000 --> 00:05:49.000]  不能還手只能逃跑
[00:05:49.000 --> 00:05:51.000]  這就是大衛
[00:05:51.000 --> 00:05:54.000]  蘇羅其實是撒旦的寫照
[00:05:54.000 --> 00:05:57.000]  在《比特前書》的五章八節
[00:05:57.000 --> 00:05:59.000]  告訴他們什麼
[00:05:59.000 --> 00:06:02.000]  撒旦就像咆哮的獅子
[00:06:02.000 --> 00:06:05.000]  不斷攻擊神的子民
[00:06:05.000 --> 00:06:07.000]  攻擊神的兒女
[00:06:07.000 --> 00:06:09.000]  現在蘇羅就是這樣
[00:06:09.000 --> 00:06:14.000]  每天都使大衛在邊緣上生活
[00:06:14.000 --> 00:06:17.000]  最後他說我一定要離開
[00:06:17.000 --> 00:06:18.000]  我一定要走去
[00:06:18.000 --> 00:06:20.000]  「斐理士人」的地方
[00:06:20.000 --> 00:06:23.000]  除了他有不能勝過的敵人
[00:06:23.000 --> 00:06:25.000]  他還有什麼呢
[00:06:25.000 --> 00:06:28.000]  不能夠滿足的需要
[00:06:28.000 --> 00:06:31.000]  以前他是一個人逃跑
[00:06:31.000 --> 00:06:34.000]  他喜歡睡在哪裡就睡在哪裡
[00:06:34.000 --> 00:06:37.000]  找些東西吃也不太艱難
[00:06:37.000 --> 00:06:40.000]  現在有兩個老婆
[00:06:40.000 --> 00:06:43.000]  有六百個士兵跟著他
[00:06:43.000 --> 00:06:45.000]  你只是每天想著
[00:06:45.000 --> 00:06:47.000]  那些士兵在哪裡住
[00:06:47.000 --> 00:06:50.000]  就已經夠你煩惱了
[00:06:50.000 --> 00:06:52.000]  不僅僅顧著自己
[00:06:52.000 --> 00:06:55.000]  還要顧著六百人的食宿
[00:06:55.000 --> 00:06:58.000]  這一切都是值得他憂慮的
[00:06:58.000 --> 00:07:01.000]  可能他就在這個時候
[00:07:01.000 --> 00:07:03.000]  寫詩篇的十三篇
[00:07:03.000 --> 00:07:05.000]  詩篇的十三篇說什麼呢
