
[00:00:00.000 --> 00:00:08.000]  《若意書》是十二仙之書裏的第二部
[00:00:08.000 --> 00:00:12.000]  記得我們上次講賀西亞書的時候
[00:00:12.000 --> 00:00:15.000]  我們講到賀西亞書是有關復興
[00:00:15.000 --> 00:00:18.000]  是有關神的救贖
[00:00:18.000 --> 00:00:22.000]  我們講到將來會有一天叫做耶和華的日子
[00:00:22.000 --> 00:00:27.000]  在那天列國都要聚集在一個地方叫耶斯列
[00:00:27.000 --> 00:00:30.000]  來跟以色列爭戰
[00:00:30.000 --> 00:00:36.000]  這個耶和華的日子就是《若意書》的主題
[00:00:36.000 --> 00:00:39.000]  所以我們今天要講的就是耶和華的日子
[00:00:39.000 --> 00:00:42.000]  將會有一場很激烈的戰爭
[00:00:42.000 --> 00:00:49.000]  是列國和以色列會在耶斯列這個地方發生
[00:00:49.000 --> 00:00:54.000]  聖經很少提到若意仙之的背景
[00:00:54.000 --> 00:00:58.000]  若意仙之這個名字很有趣
[00:00:58.000 --> 00:01:05.000]  Joel就是耶和華
[00:01:05.000 --> 00:01:09.000]  El就是神的解釋
[00:01:09.000 --> 00:01:12.000]  所以你將兩個部份加在一起的時候
[00:01:12.000 --> 00:01:15.000]  就變成了耶和華是神
[00:01:15.000 --> 00:01:19.000]  這個就是若意仙之名字的意思
[00:01:19.000 --> 00:01:23.000]  若意仙之是南國猶大的仙之
[00:01:23.000 --> 00:01:25.000]  我們怎麼知道呢
[00:01:25.000 --> 00:01:31.000]  因為在若意書裏面四次提到耶路撒冷的聖典
[00:01:31.000 --> 00:01:40.000]  在若意書的一章九節、一章十三節、十四節和二章十五節
[00:01:40.000 --> 00:01:43.000]  都有提到耶路撒冷的聖典
[00:01:43.000 --> 00:01:51.000]  在阿摩斯書一章二節是引用了若意書三章十六節
[00:01:51.000 --> 00:01:55.000]  講到若意書的背景
[00:01:55.000 --> 00:01:59.000]  在若意書裏面沒有提及到有任何的君王
[00:01:59.000 --> 00:02:06.000]  也沒有提及到亞述國和巴比倫去侵略以色列和猶大
[00:02:06.000 --> 00:02:12.000]  所以很多的聖經學者都說若意書的成書日期
[00:02:12.000 --> 00:02:19.000]  應該在亞述國侵略北國以色列之前
[00:02:19.000 --> 00:02:27.000]  所以他們說應該差不多在838年至756年的期間
[00:02:27.000 --> 00:02:33.000]  的確在聖經裏面有一段日子南國猶大是沒有王的
[00:02:33.000 --> 00:02:41.000]  記載在獵王紀下十一章和歷代治下二十二至二十三章
[00:02:41.000 --> 00:02:44.000]  講到在阿哈謝死了之後
[00:02:44.000 --> 00:02:50.000]  他的母親叫阿他利亞,阿他利亞是耶洗別的女兒
[00:02:50.000 --> 00:02:54.000]  我們知道耶洗別是一個非常之姦惡的人
[00:02:54.000 --> 00:02:57.000]  所以他的女兒也不是一個好人
[00:02:57.000 --> 00:03:00.000]  說他的兒子阿哈謝死了之後
[00:03:00.000 --> 00:03:03.000]  他就起來剿滅皇室
[00:03:03.000 --> 00:03:07.000]  將皇室殺盡,他自己篡位來做皇帝
[00:03:07.000 --> 00:03:13.000]  所以在那段日子在南國猶大的皇位上
[00:03:13.000 --> 00:03:18.000]  在大衛的皇室上居然沒有王
[00:03:18.000 --> 00:03:26.000]  有很多的神學家就說若意書所講的正是這一段日子
[00:03:26.000 --> 00:03:32.000]  很有趣若意書告訴我們有王蟲的故事
[00:03:32.000 --> 00:03:35.000]  相信若意書最出名的就是王蟲的故事
[00:03:35.000 --> 00:03:38.000]  第一章和第二章都是講王蟲
[00:03:38.000 --> 00:03:42.000]  究竟這些是真正的王蟲還是假的王蟲
[00:03:42.000 --> 00:03:44.000]  即是不是真正的王蟲呢
[00:03:44.000 --> 00:03:48.000]  答案是是也不是
[00:03:48.000 --> 00:03:52.000]  為什麼這麼奇怪的答案又是又不是呢
[00:03:52.000 --> 00:03:54.000]  我們一起來看看
[00:03:54.000 --> 00:03:58.000]  其實第一章的王蟲很有趣
[00:03:58.000 --> 00:04:01.000]  也是一個很應時的題目
[00:04:01.000 --> 00:04:07.000]  我們知道新疆剛剛東非才有3600億的王蟲遺害
[00:04:07.000 --> 00:04:09.000]  很多很多王蟲
[00:04:09.000 --> 00:04:11.000]  今天要講的就是王蟲
[00:04:11.000 --> 00:04:13.000]  有很多人都經歷過王蟲
[00:04:13.000 --> 00:04:17.000]  不知道我們當中有沒有人經歷過王蟲的災難
[00:04:17.000 --> 00:04:19.000]  好像沒有
[00:04:19.000 --> 00:04:24.000]  王蟲有24000種類的王蟲
[00:04:24.000 --> 00:04:26.000]  你想想有多少
[00:04:26.000 --> 00:04:29.000]  他們可以生長到十吋那麼長
[00:04:29.000 --> 00:04:34.000]  他們的生長過程是有4至13個階段
[00:04:34.000 --> 00:04:39.000]  要經過6至7年才會去到成長的階段
[00:04:39.000 --> 00:04:45.000]  科學家發現那些王蟲的身體裏面有一種荷爾蒙
[00:04:45.000 --> 00:04:48.000]  當這種荷爾蒙分泌出來的時候
[00:04:48.000 --> 00:04:51.000]  王蟲就會變得非常之的兇猛
[00:04:51.000 --> 00:04:55.000]  王蟲經過的地方是寸草不生
[00:04:55.000 --> 00:05:01.000]  他們連樹皮樹根都會吃掉
[00:05:01.000 --> 00:05:05.000]  所以王蟲一天可以吃掉一萬噸的食物
[00:05:05.000 --> 00:05:07.000]  不是一隻王蟲,是一群王蟲
[00:05:07.000 --> 00:05:09.000]  可以吃掉一萬噸
[00:05:09.000 --> 00:05:11.000]  一噸是二千多磅
[00:05:11.000 --> 00:05:13.000]  一萬噸你想一下有多厲害
[00:05:13.000 --> 00:05:17.000]  他們飛起來,他們的翼會發出很響的聲音
[00:05:17.000 --> 00:05:21.000]  他們咬東西的時候都會發出聲音
[00:05:21.000 --> 00:05:23.000]  很可怕
[00:05:23.000 --> 00:05:29.000]  在約爾斯一章六節說王蟲的牙好像獅子的牙一樣
[00:05:29.000 --> 00:05:32.000]  你想一下,若爾仙之是怎麼知道的呢?
[00:05:32.000 --> 00:05:35.000]  因為若爾仙之沒有顯微鏡,看不到
[00:05:35.000 --> 00:05:40.000]  但是神居然顯示給他聽
[00:05:40.000 --> 00:05:43.000]  王蟲的牙好像獅子一樣
[00:05:43.000 --> 00:05:45.000]  王蟲也好像馬一樣
[00:05:45.000 --> 00:05:49.000]  在約爾斯二章四節告訴我們
[00:05:49.000 --> 00:05:58.000]  意大利文和德文說到王蟲這個字都是和馬有關
[00:05:58.000 --> 00:06:03.000]  約爾斯二章八節說那些王蟲在地上走的時候
[00:06:03.000 --> 00:06:06.000]  好像軍隊一樣,好像操兵一樣
[00:06:06.000 --> 00:06:11.000]  他們一起飛的時候,能夠遮蓋著太陽和月亮
[00:06:11.000 --> 00:06:15.000]  六億隻王蟲就能夠遮蓋太陽
[00:06:15.000 --> 00:06:19.000]  不能想像三千六百億隻王蟲會怎樣
[00:06:19.000 --> 00:06:21.000]  真是日月無光
[00:06:21.000 --> 00:06:25.000]  他們能夠連續飛十七個小時
[00:06:25.000 --> 00:06:28.000]  每小時能夠飛十二里
[00:06:28.000 --> 00:06:35.000]  在1899年他們在地上遮蓋了有二千方里的地
[00:06:35.000 --> 00:06:39.000]  就是二十里乘以一百里這樣的範圍
[00:06:39.000 --> 00:06:44.000]  每一方里裡面有一點二億隻王蟲
[00:06:44.000 --> 00:06:50.000]  一點二億乘以二千都是二千四百億
[00:06:50.000 --> 00:06:53.000]  和最新近的三千六百億
[00:06:53.000 --> 00:06:56.000]  都不夠新近那次那麼厲害
[00:06:56.000 --> 00:06:58.000]  真是不可思議
[00:06:58.000 --> 00:07:02.000]  每方呎王蟲可以生五千隻蛋
[00:07:02.000 --> 00:07:05.000]  當他們知道快要有旱災來臨的時候
[00:07:05.000 --> 00:07:07.000]  他們會生特別多蛋
[00:07:07.000 --> 00:07:09.000]  因為要預防有旱災
[00:07:09.000 --> 00:07:14.000]  他們的蛋能夠生一千三百噸的蛋出來
[00:07:14.000 --> 00:07:16.000]  有多恐怖
[00:07:16.000 --> 00:07:20.000]  我們越知道關於王蟲多的資料越恐怖
[00:07:20.000 --> 00:07:23.000]  有一個小女孩她很喜歡企鵝
[00:07:23.000 --> 00:07:26.000]  於是有一次她學校要做報告
[00:07:26.000 --> 00:07:28.000]  她和老師說我做企鵝
[00:07:28.000 --> 00:07:33.000]  於是上網找了所有企鵝的資料出來做了報告
[00:07:33.000 --> 00:07:35.000]  有一天她的爸爸媽媽和她說
[00:07:35.000 --> 00:07:38.000]  我們去看企鵝了
[00:07:38.000 --> 00:07:39.000]  去動物園
[00:07:39.000 --> 00:07:43.000]  這個女孩子居然說我不再喜歡企鵝了
[00:07:43.000 --> 00:07:44.000]  我做完這個報告
[00:07:44.000 --> 00:07:45.000]  我知得太多
[00:07:45.000 --> 00:07:48.000]  連我不想知道的東西都知道了
[00:07:48.000 --> 00:07:50.000]  王蟲也是一樣
[00:07:50.000 --> 00:07:53.000]  我們越多越覺得它恐怖
[00:07:53.000 --> 00:07:56.000]  在出埃及記的十則十災裡面
[00:07:56.000 --> 00:08:00.000]  我們知道第八災是王蟲的災害
