
[00:00:00.000 --> 00:00:07.000]  各位主人 各位網友 今天主人又有機會跟大家分享神的話
[00:00:07.000 --> 00:00:08.000]  我一直在看《馬克福音》
[00:00:08.000 --> 00:00:12.000]  所以今天輪到看《馬克福音》第十二章
[00:00:12.000 --> 00:00:14.000]  第十七到二十二節
[00:00:14.000 --> 00:00:16.000]  請大家如果是聖經請你翻開
[00:00:16.000 --> 00:00:19.000]  無論是電子版還是手上的聖經
[00:00:19.000 --> 00:00:20.000]  請你翻開
[00:00:20.000 --> 00:00:22.000]  因為我們講道 再講是講聖經
[00:00:22.000 --> 00:00:24.000]  我希望你能夠看著聖經一直來到
[00:00:24.000 --> 00:00:26.000]  接著經文的第二章
[00:00:26.000 --> 00:00:30.000]  內容是思想神的話
[00:00:30.000 --> 00:00:33.000]  今天這段經文的上下文
[00:00:33.000 --> 00:00:35.000]  我相信大家如果還有印象的話
[00:00:35.000 --> 00:00:37.000]  其實由《馬克福音》第十一章
[00:00:37.000 --> 00:00:41.000]  主耶穌進入耶路撒冷
[00:00:41.000 --> 00:00:43.000]  進入耶路撒冷的時候
[00:00:43.000 --> 00:00:46.000]  其中一件事在十一章的第十五節
[00:00:46.000 --> 00:00:47.000]  耶穌結證聖殿
[00:00:47.000 --> 00:00:50.000]  這件事引起當時很多人
[00:00:50.000 --> 00:00:52.000]  特別是宗教領袖很不滿
[00:00:52.000 --> 00:00:55.000]  因為聖經是在十一章的第十五節
[00:00:55.000 --> 00:00:59.000]  因為聖殿或者耶路撒冷的宗教
[00:00:59.000 --> 00:01:02.000]  是由這班領導所共同擁有的
[00:01:02.000 --> 00:01:05.000]  現在有人來好像把他炒了當攤
[00:01:05.000 --> 00:01:08.000]  所以這班宗教領袖可以說是傾巢而出
[00:01:08.000 --> 00:01:10.000]  來對耶穌作出攻擊
[00:01:10.000 --> 00:01:12.000]  你看看經文的內容
[00:01:12.000 --> 00:01:16.000]  十一章的二十七節
[00:01:16.000 --> 00:01:19.000]  前一章聖經 十一章二十七節
[00:01:19.000 --> 00:01:22.000]  早一段時間他們在耶穌結證聖殿之後
[00:01:22.000 --> 00:01:24.000]  提出第一個問題
[00:01:24.000 --> 00:01:25.000]  這班人提出第一個問題
[00:01:25.000 --> 00:01:27.000]  就是問耶穌的權柄是從何而來的
[00:01:27.000 --> 00:01:32.000]  這班人二十七節說是祭司長、文士和長老
[00:01:32.000 --> 00:01:35.000]  這是第一個問題 是這班人問出的
[00:01:35.000 --> 00:01:37.000]  第二個問題 他們就著耶穌所說的比喻
