
[00:00:00.000 --> 00:00:06.240]  各位姐妹 今晚我們是查啟示錄的第七章
[00:00:06.240 --> 00:00:12.560]  我叫這一章是做兩類站立得住的人
[00:00:12.560 --> 00:00:15.680]  我們記得我前幾個星期
[00:00:15.680 --> 00:00:17.600]  我們查第四章的時候
[00:00:17.600 --> 00:00:24.800]  就是約翰被提到天上去參加天上的敬拜
[00:00:24.800 --> 00:00:29.600]  到了第五章就是主耶穌從聖父的手中
[00:00:29.600 --> 00:00:32.000]  拿過這一個書卷
[00:00:32.000 --> 00:00:36.400]  這一個書卷是有七個印密封著的
[00:00:36.400 --> 00:00:42.160]  我相信這一個書卷是代表了宇宙的統治權
[00:00:42.160 --> 00:00:48.160]  主耶穌要從撒旦的手中拿回這個統治權
[00:00:48.160 --> 00:00:51.920]  是要透過打開這七個印的時候
[00:00:51.920 --> 00:00:55.040]  所傾倒下來的災難
[00:00:55.040 --> 00:01:00.720]  第六章敘述了前面那六個所謂的印災
[00:01:00.720 --> 00:01:03.520]  因為每一個印揭開的時候
[00:01:03.520 --> 00:01:06.720]  就有災難淋到地上
[00:01:06.720 --> 00:01:09.360]  這個災難的時候
[00:01:09.360 --> 00:01:12.240]  我們以前看《但義理書》
[00:01:12.240 --> 00:01:15.760]  是最後的七年
[00:01:15.760 --> 00:01:21.120]  就是世界終結之前神的憤怒要傾倒下來
[00:01:21.120 --> 00:01:26.560]  這七個印災是由假的和平開始
[00:01:26.560 --> 00:01:32.000]  第一個印是有騎著白馬的有弓但是沒有箭
[00:01:32.000 --> 00:01:37.520]  因為是基督開頭的時候會為世界帶來和平
[00:01:37.520 --> 00:01:40.000]  但這個和平是虛假的
[00:01:40.000 --> 00:01:42.240]  這個和平是騙人的
[00:01:42.240 --> 00:01:48.960]  所以基督是用鬼咋的方式來哄得到
[00:01:48.960 --> 00:01:52.320]  世界上帶來包括中東的和平
[00:01:52.320 --> 00:01:55.760]  但是我說這個是一個假的和平
[00:01:55.760 --> 00:01:59.120]  然後第二個災就是戰爭
[00:01:59.120 --> 00:02:02.400]  所以和平是很短的時間
[00:02:02.400 --> 00:02:05.920]  戰爭、饑荒、死亡
[00:02:05.920 --> 00:02:09.200]  死亡你記得聖經告訴我們
