
[00:00:00.000 --> 00:00:07.560]  進入第三晚
[00:00:07.560 --> 00:00:13.320]  我在今晚講第三堂講道之前
[00:00:13.320 --> 00:00:16.560]  有兩件事想先處理
[00:00:16.560 --> 00:00:21.000]  第一件事我們弟兄姊妹問到
[00:00:21.000 --> 00:00:23.000]  我們信仰如果不離地
[00:00:23.000 --> 00:00:25.480]  要貼地
[00:00:25.480 --> 00:00:27.480]  但也要有上帝標準
[00:00:27.480 --> 00:00:29.480]  實際怎麼做呢?
[00:00:29.480 --> 00:00:33.840]  坦白說這個問題在過去兩年
[00:00:33.840 --> 00:00:36.640]  經常纏繞在我心靈裡
[00:00:36.640 --> 00:00:38.640]  我的背景
[00:00:38.640 --> 00:00:40.640]  或者方向派信仰
[00:00:40.640 --> 00:00:42.640]  方向派神學
[00:00:42.640 --> 00:00:46.480]  比較強調我們和上帝的關係
[00:00:46.480 --> 00:00:49.920]  但對於如何應用在社會當中
[00:00:49.920 --> 00:00:51.920]  包括我自己在內
[00:00:51.920 --> 00:00:54.920]  我承認我這方面有很多缺陷
[00:00:54.920 --> 00:00:56.920]  這方面的經驗
[00:00:56.920 --> 00:00:59.920]  因為這個緣故
[00:00:59.920 --> 00:01:02.920]  所以有些人選擇了迴避
[00:01:02.920 --> 00:01:04.920]  不去探討這些問題
[00:01:04.920 --> 00:01:08.640]  覺得教會只講聖經就行
[00:01:08.640 --> 00:01:11.920]  我估計這不是最好的處理方法
[00:01:11.920 --> 00:01:13.920]  有些人反過來說
[00:01:13.920 --> 00:01:15.920]  現在這個情況還講聖經
[00:01:15.920 --> 00:01:17.920]  要走入人群當中
[00:01:17.920 --> 00:01:20.920]  這個我更加擔心
[00:01:20.920 --> 00:01:23.920]  意思是我做了再說
[00:01:23.920 --> 00:01:25.920]  或者我隨著潮流
[00:01:25.920 --> 00:01:27.920]  隨著人的情緒做了再說
[00:01:27.920 --> 00:01:30.920]  這肯定是錯誤的方向
[00:01:30.920 --> 00:01:32.920]  實際怎麼做呢?
[00:01:32.920 --> 00:01:34.920]  有什麼模特兒
[00:01:34.920 --> 00:01:36.920]  可以用聖經
[00:01:36.920 --> 00:01:40.920]  但也回應這個時代呢?
[00:01:40.920 --> 00:01:42.920]  我自己在掙扎中
[00:01:42.920 --> 00:01:44.920]  我都在學習中
[00:01:44.920 --> 00:01:45.920]  所以請你寬恕我
