
[00:00:00.000 --> 00:00:04.260]  親愛的兄弟姐妹
[00:00:04.260 --> 00:00:04.920]  平安
[00:00:04.920 --> 00:00:09.160]  我們今天再一次回到出埃及記
[00:00:09.160 --> 00:00:12.240]  講完十節之後
[00:00:12.240 --> 00:00:15.260]  聖經不是就這樣就結束了
[00:00:15.260 --> 00:00:18.280]  從21章開始
[00:00:18.280 --> 00:00:20.200]  出埃及記的21章
[00:00:20.200 --> 00:00:25.560]  直落幾章都是講那個律例和簡章
[00:00:25.560 --> 00:00:27.640]  你可以這麼說
[00:00:27.640 --> 00:00:33.720]  3500多年前已經有這些律例和簡章
[00:00:33.720 --> 00:00:39.760]  而如果我們留意一下里面所記載的律例和簡章的時候
[00:00:39.760 --> 00:00:43.240]  你會發覺到今天大部分的國家
[00:00:43.240 --> 00:00:46.440]  是依據這些律例和簡章
[00:00:46.440 --> 00:00:50.320]  來建立他們自己的法律體系
[00:00:50.320 --> 00:00:54.800]  甚至聯合國都有他們的所謂國際法
[00:00:54.800 --> 00:01:01.360]  而這些律例和簡章是什麼呢?
[00:01:01.360 --> 00:01:07.520]  是涉及到每一個人經常可能會犯錯
[00:01:07.520 --> 00:01:11.640]  而帶來的就是人與人之間的那種爭
[00:01:11.640 --> 00:01:13.600]  你做得對
[00:01:13.600 --> 00:01:14.720]  你做得錯
[00:01:14.720 --> 00:01:16.560]  大家有不同的看法
[00:01:16.560 --> 00:01:19.120]  你如何去平衡這些事情呢?
[00:01:19.120 --> 00:01:27.040]  最近如果我叫大家去每日新聞裏面告訴我們
[00:01:27.040 --> 00:01:32.960]  世界上的罪和罪案大部分是和什麼有關
[00:01:32.960 --> 00:01:40.560]  我相信大部分的人都很容易講出來是幾樣東西有關
[00:01:40.560 --> 00:01:43.120]  第一 錢
[00:01:43.120 --> 00:01:46.480]  大部分的罪案是和錢有關的
[00:01:46.480 --> 00:01:50.000]  甚至很多的殺人都是和錢有關的
[00:01:50.000 --> 00:01:52.160]  第二是性
[00:01:52.160 --> 00:01:58.640]  同樣是因爲這是大部分人蔘與在裏面
[00:01:58.640 --> 00:02:04.800]  以至到在今天的法庭判這些罪越來越嚴
[00:02:04.800 --> 00:02:07.520]  因爲受害的人是越來越多
[00:02:07.520 --> 00:02:10.160]  第三是權
[00:02:10.160 --> 00:02:12.480]  一個一個去爭權勢
[00:02:12.480 --> 00:02:18.240]  不是爭做皇帝 不是爭做宰相 不是爭做這些
[00:02:18.240 --> 00:02:21.280]  甚至連每一個地區都爭做頭領
[00:02:21.280 --> 00:02:24.320]  每一間機構爭做頭領
[00:02:24.320 --> 00:02:26.800]  就是因爲要爭做頭領
[00:02:26.800 --> 00:02:31.760]  所有的犯罪手法層出不窮
[00:02:31.760 --> 00:02:33.680]  包括賠償
[00:02:33.680 --> 00:02:41.440]  包括用非法的手段來去講衰別人等等
[00:02:41.440 --> 00:02:46.240]  是因爲這樣的緣故
[00:02:46.240 --> 00:02:52.000]  很多著名的社會學家 心理學家
[00:02:52.000 --> 00:02:55.040]  他就將這幾樣的爭
[00:02:55.040 --> 00:03:00.320]  錢 性和權勢之爭
[00:03:00.320 --> 00:03:07.920]  看成是今天世界裏面最重要的爭的範圍
[00:03:07.920 --> 00:03:09.920]  你同不同意嗎
[00:03:11.520 --> 00:03:13.280]  但是我們看到的爭
[00:03:13.280 --> 00:03:15.920]  他們的手法層出不窮
[00:03:15.920 --> 00:03:19.760]  犯罪的手法層出不窮
[00:03:19.760 --> 00:03:23.120]  但是犯罪者想達到的目的
[00:03:23.120 --> 00:03:25.920]  是由頭到尾沒有改變過
[00:03:25.920 --> 00:03:27.920]  你同不同意嗎
[00:03:27.920 --> 00:03:29.920]  三千五百多年前
[00:03:29.920 --> 00:03:33.520]  沈香人首次啓示他的界名
[00:03:33.520 --> 00:03:37.040]  然後就啓示他的律例和典章的時候
[00:03:37.040 --> 00:03:42.880]  沈最關注的是什麼呢
[00:03:42.880 --> 00:03:44.880]  我們試一試看一看
[00:03:44.880 --> 00:03:49.840]  最近熱門的一些新聞
[00:03:49.840 --> 00:03:56.240]  整個美國政府內閣差不多要全部下臺
[00:03:56.240 --> 00:04:01.600]  總統要下臺是因爲什麼
[00:04:01.600 --> 00:04:05.440]  愛潑斯坦這個案件
[00:04:05.440 --> 00:04:08.480]  愛潑斯坦渡假村
[00:04:08.480 --> 00:04:12.080]  因爲愛潑斯坦這個富商
