
[00:00:00.000 --> 00:00:04.720]  各位大兄姐妹們 平安
[00:00:04.720 --> 00:00:08.680]  我們來到從創造到新創造的第六講
[00:00:08.680 --> 00:00:11.240]  西奈山的啓示
[00:00:11.240 --> 00:00:14.240]  當上帝臨到西奈山
[00:00:14.240 --> 00:00:16.960]  或者亦稱為西奈山
[00:00:16.960 --> 00:00:22.240]  他有很重要的事情要透過摩西去和以色列人說
[00:00:22.240 --> 00:00:25.960]  而你可以說今天我們要思考的這一段經文
[00:00:25.960 --> 00:00:28.760]  在初開及紀十九章一到六節
[00:00:28.760 --> 00:00:32.680]  可以說是整卷初開及的一個很重要的經文
[00:00:32.680 --> 00:00:35.680]  因為他回顧了之前
[00:00:35.680 --> 00:00:39.880]  關於上帝拯救他們的故事
[00:00:39.880 --> 00:00:45.600]  亦預視了之後將會發生什麼事情
[00:00:45.600 --> 00:00:47.600]  而另外在這段經文裡面
[00:00:47.600 --> 00:00:53.880]  你會看到同時起著解釋、鼓勵和挑戰的作用
[00:00:53.880 --> 00:00:56.000]  在這段經文裡面也看到
[00:00:56.000 --> 00:01:01.320]  以色列人或者我們究竟有什麼角色、身份
[00:01:01.320 --> 00:01:07.240]  和地上有什麼重要的使命工作要我們去做
[00:01:07.240 --> 00:01:10.520]  不如我們先看看那幾節的經文
[00:01:10.520 --> 00:01:13.480]  在初開及紀十九章三節裡面說
[00:01:13.480 --> 00:01:15.360]  摩西到神雅里
[00:01:15.360 --> 00:01:18.120]  耶和華從山上呼喚他說
[00:01:18.120 --> 00:01:21.360]  你要這樣告訴雅各加
[00:01:21.360 --> 00:01:23.880]  曉遇以色列人說
[00:01:23.880 --> 00:01:24.880]  說什麼呢?
[00:01:24.880 --> 00:01:27.480]  我向埃及人所行的事
[00:01:27.480 --> 00:01:29.200]  你們都看見了
[00:01:29.200 --> 00:01:34.800]  且看見我如英將你們背在翅膀上帶來歸我
[00:01:34.800 --> 00:01:38.240]  一會兒我們會較詳細去看
[00:01:38.240 --> 00:01:41.600]  究竟上帝說你們都看見了
[00:01:41.600 --> 00:01:43.600]  其實看見什麼事情
[00:01:43.600 --> 00:01:45.200]  第五節
[00:01:45.200 --> 00:01:48.080]  如今你們若實在聽從我的話
[00:01:48.080 --> 00:01:49.320]  遵守我的約
[00:01:49.320 --> 00:01:52.880]  就要在萬民中作屬我的子民
[00:01:52.880 --> 00:01:55.200]  因為全地都是我的
[00:01:55.200 --> 00:01:59.000]  你們要歸我作祭司的國度
[00:01:59.000 --> 00:02:01.040]  為聖潔的國民
[00:02:01.040 --> 00:02:04.480]  這些話你要告訴以色列人
[00:02:04.480 --> 00:02:06.880]  在這裡很想大家先有個印象
[00:02:06.880 --> 00:02:09.400]  就是原來上帝這番話
[00:02:09.400 --> 00:02:12.200]  是要對全部以色列人說的
[00:02:12.200 --> 00:02:16.760]  他當全部以色列人就是一個群體
[00:02:16.760 --> 00:02:19.200]  大家記住了
[00:02:19.200 --> 00:02:22.560]  在詳細去看這幾節經文之前
[00:02:22.560 --> 00:02:24.320]  讓我們先看看
[00:02:24.320 --> 00:02:27.280]  究竟以色列人出於埃及的情況是怎樣
[00:02:27.280 --> 00:02:32.160]  究竟他們是如何走到西來的曠野
[00:02:32.160 --> 00:02:38.480]  在之前就是當上帝透過用了十災
[00:02:38.480 --> 00:02:41.000]  然後讓埃及人知道
[00:02:41.000 --> 00:02:44.640]  上帝究竟是一個多有能力的上帝的時候
[00:02:44.640 --> 00:02:46.960]  接著埃及人很害怕
[00:02:46.960 --> 00:02:49.960]  他說叫百姓快點走
[00:02:49.960 --> 00:02:52.240]  因為我們都快要死了
[00:02:52.720 --> 00:02:56.160]  究竟他們是從哪裡出發離開埃及的呢
[00:02:56.160 --> 00:02:59.720]  在《塞浦約記》第十二章三十七節說
[00:02:59.720 --> 00:03:04.480]  以色列人從蘭塞起行往蘇格去
[00:03:04.480 --> 00:03:08.400]  除了婦人和孩子步行的男人
[00:03:08.400 --> 00:03:10.320]  約有六十萬
[00:03:10.320 --> 00:03:12.320]  哇 你想想
[00:03:12.320 --> 00:03:16.080]  一個六十萬只男人的一對人
[00:03:16.080 --> 00:03:19.080]  要帶領他們真的一點都不容易
[00:03:19.080 --> 00:03:20.760]  這裡大家先記住
[00:03:20.760 --> 00:03:25.240]  他們的起程是在蘭塞那裡起程
[00:03:25.240 --> 00:03:29.240]  在《塞浦約記》十三章十七節說
