
[00:00:00.000 --> 00:00:13.000]  今天和大家分享的經文是出自於加拉太書第四章27節至第五章第一節
[00:00:13.000 --> 00:00:19.200]  今天所講的題目是以基督的身份奠定信徒的身份
[00:00:19.200 --> 00:00:30.200]  加拉太書第四章27節
[00:00:30.200 --> 00:00:54.200]  (國語)
[00:00:54.200 --> 00:01:23.200]  (國語)
[00:01:24.200 --> 00:01:27.200]  今天在這個世界裡
[00:01:27.200 --> 00:01:33.200]  每個人都對自由有自己的定義
[00:01:33.200 --> 00:01:40.200]  但是當我們越多為自己的自由去定立定義的時候
[00:01:40.200 --> 00:01:45.200]  我發現到人反而越來越不自由
[00:01:45.200 --> 00:01:49.200]  被自己所謂的自由而將他捆綁起來
[00:01:49.200 --> 00:01:51.200]  牢籠起來
[00:01:51.200 --> 00:01:53.200]  可能你會問牧師
[00:01:53.200 --> 00:02:01.200]  你何以見得人所稱為的自由越來越被人所謂的自由所捆綁起來呢?
[00:02:01.200 --> 00:02:09.200]  其實今天很多所謂的自由只不過是一種對於人希望放縱的一種藉口
[00:02:09.200 --> 00:02:14.200]  例如我們身處在加拿大這個國家裡
[00:02:14.200 --> 00:02:20.200]  政府經常說本著人人平等自由的觀念
[00:02:20.200 --> 00:02:26.200]  於是有很多事情做出來令人詫異
[00:02:26.200 --> 00:02:33.200]  例如加拿大政府甚至推動同性婚姻合法化
[00:02:33.200 --> 00:02:36.200]  讓很多人不斷要求
[00:02:36.200 --> 00:02:41.200]  就算同性戀也要有同性婚姻的自由
[00:02:41.200 --> 00:02:48.200]  又或者在加拿大另一樣令人舉世詫異的就是
[00:02:48.200 --> 00:02:54.200]  加拿大願意將大麻吸食合法化
[00:02:54.200 --> 00:03:02.200]  這種所謂自由的一種recreational的大麻享用成為大家的喜愛
[00:03:02.200 --> 00:03:07.200]  因為在加拿大很多政府的人員
[00:03:07.200 --> 00:03:10.200]  他們見到人這麼喜歡吃大麻的時候
[00:03:10.200 --> 00:03:13.200]  而大麻又可以為他們帶來益處
[00:03:13.200 --> 00:03:15.200]  特別是經濟上的收益
[00:03:15.200 --> 00:03:17.200]  於是又將大麻合法化
[00:03:17.200 --> 00:03:22.200]  尤其是加拿大總理自己年輕的時候也吃大麻
[00:03:22.200 --> 00:03:26.200]  這個也是人以為自己好像得到自由了
[00:03:26.200 --> 00:03:30.200]  我自己喜歡的事情可以得到任意去做了
[00:03:30.200 --> 00:03:33.200]  這種就是認為的自由
[00:03:33.200 --> 00:03:40.200]  而另一個我們同樣在加拿大看見的就是對槍械的管制
[00:03:40.200 --> 00:03:45.200]  人認為自己有自由有權利去擁有槍械
[00:03:45.200 --> 00:03:49.200]  自己去使用這些槍械
[00:03:49.200 --> 00:03:55.200]  於是政府就任你們去申請這個所謂槍牌
[00:03:55.200 --> 00:03:57.200]  可以讓你們去擁有槍械
[00:03:57.200 --> 00:04:00.200]  於是我們看到一個什麼結局呢
[00:04:00.200 --> 00:04:03.200]  我們看見在現在這個世界裏面
[00:04:03.200 --> 00:04:05.200]  加拿大的世界裏面
[00:04:05.200 --> 00:04:09.200]  越來越多很多這些因為同性婚姻的有法的問題
[00:04:09.200 --> 00:04:12.200]  引起很多家庭上的矛盾
[00:04:12.200 --> 00:04:14.200]  逐步逐步來衍生出來
[00:04:14.200 --> 00:04:19.200]  又或者我們看見這個所謂容許人去擁有槍械的事情
[00:04:19.200 --> 00:04:23.200]  加拿大我們發覺在近這幾年裏面
[00:04:23.200 --> 00:04:27.200]  槍械的使用特別是違法的使用槍械呢
[00:04:27.200 --> 00:04:28.200]  越來越多
[00:04:28.200 --> 00:04:31.200]  人擁有槍的機會越高的時候
[00:04:31.200 --> 00:04:34.200]  人以為他使用槍械的自由
[00:04:34.200 --> 00:04:37.200]  也都越來越可以得到任意的選用
[00:04:37.200 --> 00:04:38.200]  結局怎樣啊
