
[00:00:00.000 --> 00:00:05.000]  在教會歷史上是1925年左右才開始
[00:00:05.000 --> 00:00:11.000]  就是要抗衡這個世界的西族化的潮流
[00:00:11.000 --> 00:00:16.000]  多謝敬拜主任提醒我這個主日
[00:00:16.000 --> 00:00:21.000]  也多謝主比我今天在這裡可以來講
[00:00:21.000 --> 00:00:25.000]  教會的歷史和歷史的歷史
[00:00:25.000 --> 00:00:31.000]  也多謝主比我今天在這裡可以來講這段經文
[00:00:31.000 --> 00:00:36.000]  一個相當傲備的
[00:00:36.000 --> 00:00:41.000]  但是非常重要的關於基督的經文
[00:00:41.000 --> 00:00:47.000]  今天華人教會是非常需要調教我們的基督論
[00:00:47.000 --> 00:00:51.000]  關於基督的神學對基督的認識
[00:00:51.000 --> 00:01:00.000]  因為我們很容易習慣習慣有傾側的一種對基督的看法
[00:01:00.000 --> 00:01:06.000]  或者我們的信仰漸漸會忘記一些更加重要
[00:01:06.000 --> 00:01:12.000]  因為我們覺得一些生活性的東西、故事性的東西是很好的
[00:01:12.000 --> 00:01:16.000]  一些實用性的東西我們就趨之若鶩
[00:01:16.000 --> 00:01:22.000]  但是如果講到一些是很理論的似乎是很神學的
[00:01:22.000 --> 00:01:25.000]  我們都覺得嘩!真的頭都大了
[00:01:25.000 --> 00:01:32.000]  所以我們求聖靈在今天早上當我們思考關乎基督論的時候
[00:01:32.000 --> 00:01:37.000]  我們的心都能夠好像二馬五師路上的門徒
[00:01:37.000 --> 00:01:42.000]  說我們和他談的時候我們心裡面火熱
[00:01:42.000 --> 00:01:47.000]  我們一起祈禱主祢佩德
[00:01:47.000 --> 00:01:53.000]  祢佩德至高的尊崇、榮耀和效忠
[00:01:53.000 --> 00:01:56.000]  願祢開我們的眼
[00:01:56.000 --> 00:02:01.000]  好像啟建說的我們經常都想做王甚至做人家的王
[00:02:01.000 --> 00:02:06.000]  好像我們自己經歷的我們其實是很難信服
[00:02:06.000 --> 00:02:12.000]  事實上背叛我們都是很容易跪拜偶像、隨波逐流
[00:02:12.000 --> 00:02:15.000]  信著情慾而行
[00:02:15.000 --> 00:02:18.000]  我們今天口稱基督為主
[00:02:18.000 --> 00:02:22.000]  我們心裡信祢從死人當中復活
[00:02:22.000 --> 00:02:28.000]  願聖靈今天再一次幫助我們確認祢
[00:02:28.000 --> 00:02:33.000]  承認祢到底是怎樣的一位主
[00:02:33.000 --> 00:02:36.000]  如此祈求奉耶穌基督聖名
[00:02:36.000 --> 00:02:43.000]  華人教會的基督論到底是怎樣的
[00:02:43.000 --> 00:02:47.000]  我覺得如果你的基督論不夠高的話
[00:02:47.000 --> 00:02:53.000]  你都不能夠有一個很落地的信仰
[00:02:53.000 --> 00:02:56.000]  如果你的基督論是太低的話
[00:02:56.000 --> 00:03:00.000]  你會騎劫了這一位的耶穌基督
[00:03:00.000 --> 00:03:03.000]  將祂扭曲了亦都不自知
[00:03:03.000 --> 00:03:07.000]  希望我們今天學習
[00:03:07.000 --> 00:03:12.000]  不要被一個敵基督的潮流來迷惑我們
