
[00:00:00.000 --> 00:00:03.000]  其實今天是4月2日
[00:00:03.000 --> 00:00:05.000]  當年的今天
[00:00:05.000 --> 00:00:08.000]  耶穌已經慢慢步入
[00:00:08.000 --> 00:00:12.000]  祂人生的最後一個星期
[00:00:12.000 --> 00:00:14.000]  去到人生最後一程的時候
[00:00:14.000 --> 00:00:18.000]  在約翰福音第十三章一節這樣說
[00:00:18.000 --> 00:00:20.000]  他說如月節以前
[00:00:20.000 --> 00:00:23.000]  耶穌已經知道
[00:00:23.000 --> 00:00:27.000]  自己離世歸附的時候到了
[00:00:27.000 --> 00:00:30.000]  離世歸附的時候到了
[00:00:30.000 --> 00:00:33.000]  我不知道我們有沒有幻想過
[00:00:33.000 --> 00:00:36.000]  耶穌當時的心情
[00:00:36.000 --> 00:00:42.000]  如果我知道人生剩下一個星期多一點
[00:00:42.000 --> 00:00:45.000]  究竟我會做些什麼呢
[00:00:45.000 --> 00:00:47.000]  你會做些什麼呢
[00:00:47.000 --> 00:00:51.000]  如果人生真的剩下最後一星期多一點
[00:00:51.000 --> 00:00:53.000]  我曾經聽過一句這樣的說話
[00:00:53.000 --> 00:00:56.000]  他說如果我生命剩下一個星期
[00:00:56.000 --> 00:01:00.000]  我都會繼續如常做我平時做的事情
[00:01:00.000 --> 00:01:03.000]  我會繼續和我相愛的人一起
[00:01:03.000 --> 00:01:07.000]  我會繼續種我正在種的花
[00:01:07.000 --> 00:01:09.000]  說這句話的人
[00:01:09.000 --> 00:01:12.000]  我想他一是一直善用時間
[00:01:12.000 --> 00:01:17.000]  所以他可以最後做他平時做的事情
[00:01:17.000 --> 00:01:21.000]  但另一方面可能層次對我來說太高
[00:01:21.000 --> 00:01:24.000]  如果我真的剩下一個星期多一點
[00:01:24.000 --> 00:01:26.000]  我想我就算種花
[00:01:26.000 --> 00:01:28.000]  我真的不理會我的花
[00:01:28.000 --> 00:01:31.000]  我去見我想見的人
[00:01:31.000 --> 00:01:34.000]  我去做我還沒做完的事情
[00:01:34.000 --> 00:01:38.000]  如果耶穌來到最後一個星期
[00:01:38.000 --> 00:01:42.000]  祂一定會做一些祂認為很重要的事情
