
[00:00:00.000 --> 00:00:05.620]  多謝主席為我讀出這麼長的經文
[00:00:05.620 --> 00:00:08.500]  各位朋友弟姐妹早晨 平安
[00:00:08.500 --> 00:00:13.900]  今天我選了一個對我來說很嚴肅很重要的題目
[00:00:13.900 --> 00:00:17.620]  就是警醒 準備 主在來
[00:00:17.620 --> 00:00:20.820]  因為主在來如果我們沒有準備好
[00:00:20.820 --> 00:00:24.940]  是一個驚嚇和一個大的災難
[00:00:24.940 --> 00:00:28.220]  如果我們準備好的時候會有很多的驚喜
[00:00:28.220 --> 00:00:30.940]  這是一個很嚴肅的問題
[00:00:30.940 --> 00:00:34.060]  這個比喻和綿羊和山羽的比喻
[00:00:34.060 --> 00:00:35.740]  都有很多的驚嚇存在
[00:00:35.740 --> 00:00:40.100]  因為他告訴我們主在來的時候
[00:00:40.100 --> 00:00:42.740]  有很多人才知道他不能進入天國
[00:00:42.740 --> 00:00:48.380]  所以我們今天要很仔細的去認真去留意耶穌基督的教導
[00:00:48.380 --> 00:00:51.500]  開始的時候我們一起祈禱求神幫助我們
[00:00:51.500 --> 00:00:58.140]  天上的父我們感謝你今天可以奉祢主耶穌的名在這裡聚會
[00:00:58.140 --> 00:01:00.140]  求祢的靈系和我們同在
[00:01:00.140 --> 00:01:02.500]  幫助我們去明白神的教訓
[00:01:02.500 --> 00:01:05.500]  我們這樣去祈禱 奉我們救主耶穌的名
[00:01:05.500 --> 00:01:13.900]  這個題目我在三月的時候讀經會都曾經涉及過
[00:01:13.900 --> 00:01:18.060]  今天我會比較詳細的去解釋
[00:01:18.060 --> 00:01:22.460]  希望將我的理解和大家分享
[00:01:22.460 --> 00:01:26.380]  這段經文是在《馬太福音》第24到25章
[00:01:26.380 --> 00:01:29.100]  如果我們看回耶穌基督最後一個星期
[00:01:29.100 --> 00:01:31.820]  進入耶路撒冷被釘的那個星期
[00:01:31.820 --> 00:01:34.620]  我們看到他星期日進入耶路撒冷
[00:01:34.620 --> 00:01:36.940]  騎路進去的時候
[00:01:36.940 --> 00:01:40.460]  他進入聖殿看到外邦人的地方
[00:01:40.460 --> 00:01:43.660]  在聖殿裡面應該是外邦人敬拜神的地方
[00:01:43.660 --> 00:01:46.220]  變成是做買賣的地方
[00:01:46.220 --> 00:01:50.540]  他星期一再進去的時候
[00:01:50.540 --> 00:01:53.020]  就做了兩個有象徵性的行動
[00:01:53.020 --> 00:01:55.900]  第一個就是就坐無花果樹
[00:01:55.900 --> 00:01:59.740]  無花果樹是代表以色列
[00:01:59.740 --> 00:02:01.820]  他們沒有跌果子
[00:02:01.820 --> 00:02:03.340]  沒有聽道而行道
[00:02:03.340 --> 00:02:07.020]  所以耶穌基督做了第一個象徵性的行動
[00:02:07.020 --> 00:02:12.060]  告訴他們知道一個虛偽的宗教生活會受到審判
[00:02:12.060 --> 00:02:15.980]  第二個象徵性的行動就是他潔淨聖殿
[00:02:15.980 --> 00:02:18.700]  因為聖殿是代表人心
[00:02:18.700 --> 00:02:23.260]  耶穌基督是很盼望將人心潔淨
[00:02:23.260 --> 00:02:25.100]  很叫人可以去敬拜他
[00:02:25.100 --> 00:02:28.540]  我們看到耶穌基督最後一個星期
[00:02:28.540 --> 00:02:31.100]  大部分的講道都是在星期二講的
[00:02:31.100 --> 00:02:34.460]  聖經沒有記載他星期三講道
[00:02:34.460 --> 00:02:37.420]  星期四就是去守禦節晚餐
[00:02:37.420 --> 00:02:42.060]  晚上就被出賣被抓去審判
[00:02:42.060 --> 00:02:45.100]  所以他最後上十字架之前
[00:02:45.100 --> 00:02:48.140]  主要有系統的講道就在星期二
[00:02:48.140 --> 00:02:51.740]  而今天括著的部分就是我今天會和大家解釋的部分
[00:02:51.740 --> 00:02:57.020]  如果我們將這五章的經文的重點列出來的時候
[00:02:57.020 --> 00:03:01.340]  我們會留意到耶穌基督第一次進去的時候
[00:03:01.340 --> 00:03:04.540]  他進去之前是為耶路撒冷福音
[00:03:04.540 --> 00:03:07.740]  因為他已經預知到在之後的七十年
[00:03:07.740 --> 00:03:09.340]  耶路撒冷會被毀滅
[00:03:09.340 --> 00:03:11.580]  而很多以色列人會當時被殺
[00:03:11.580 --> 00:03:17.260]  他去到中段的時候也為耶路撒冷哀嘆
[00:03:17.260 --> 00:03:24.060]  他進去做了兩個象徵性的行動之後
[00:03:24.060 --> 00:03:25.900]  他講了三個的比喻
[00:03:25.900 --> 00:03:27.580]  我想大家留意
[00:03:27.580 --> 00:03:29.980]  因為今天我講的這段經文
[00:03:29.980 --> 00:03:34.940]  是在他最後星期二那天有系統的講道的一部分
[00:03:34.940 --> 00:03:37.340]  但是如果我們留意整個結構
[00:03:37.340 --> 00:03:39.980]  是很連貫性很一致的
[00:03:39.980 --> 00:03:43.500]  他第一個的比喻是講兩個兒子的比喻
[00:03:43.500 --> 00:03:49.100]  父親叫大兒子和小兒子去屯裡面工作
[00:03:49.100 --> 00:03:50.860]  大兒子一開始說不去
[00:03:50.860 --> 00:03:52.700]  最後後悔去了
[00:03:52.700 --> 00:03:53.740]  他悔改去了
[00:03:53.740 --> 00:04:00.700]  告訴我們知道真正信服神是要以行為表達出來的
[00:04:00.700 --> 00:04:04.300]  所以結果子這個聖經經常用的字眼
[00:04:04.300 --> 00:04:07.340]  是表示聽了道而行道的意思
[00:04:07.340 --> 00:04:08.460]  就叫做結果子
[00:04:08.460 --> 00:04:09.660]  聽道而行道
[00:04:09.660 --> 00:04:14.380]  在填護的比喻裡面講到葡萄園的主人
[00:04:14.380 --> 00:04:18.380]  即是上帝將地方分給那些園戶
[00:04:18.380 --> 00:04:24.700]  但是那些園戶不肯交他們的果子給主人
[00:04:24.700 --> 00:04:26.460]  主人派那些僕人去的時候
[00:04:26.460 --> 00:04:33.260]  這些園戶是黑袋那些葡萄園主人的僕人
[00:04:33.260 --> 00:04:36.540]  最後葡萄園的主人派自己的兒子去
[00:04:36.540 --> 00:04:41.660]  這些園戶竟然去謀殺害這個兒子
[00:04:41.660 --> 00:04:43.580]  代表他們殺害耶穌基督
[00:04:43.580 --> 00:04:47.020]  最後結論就是葡萄園的主人
[00:04:47.020 --> 00:04:51.420]  即天國的主人將天國交給那些結果子的人
[00:04:51.420 --> 00:04:53.580]  即聽道而行道的人
[00:04:53.580 --> 00:04:56.060]  去到婚宴的比喻
[00:04:56.060 --> 00:04:58.700]  耶穌基督講了一句很驚嚇的話
