
[00:00:00.000 --> 00:00:06.000]  今天是聖誕節 又是主日
[00:00:06.000 --> 00:00:11.600]  應該說一個有關耶穌基督降生的訊息
[00:00:11.600 --> 00:00:14.600]  但是剛才我們也有唱一首歌
[00:00:14.600 --> 00:00:17.000]  叫做「普世歡騰」 是不是
[00:00:17.000 --> 00:00:19.000]  有沒有留意歌詞
[00:00:19.000 --> 00:00:24.000]  其實「普世歡騰」不是給耶穌基督誕生的歌
[00:00:24.000 --> 00:00:26.500]  如果你留意歌詞的話
[00:00:26.500 --> 00:00:31.000]  你會發覺是給耶穌基督再次來臨
[00:00:31.000 --> 00:00:32.500]  歌詞怎麼說呢?
[00:00:32.500 --> 00:00:36.000]  「普世歡騰主治萬方」
[00:00:36.000 --> 00:00:38.000]  耶穌基督第一次來臨
[00:00:38.000 --> 00:00:41.500]  有沒有用祂的真理來恩治萬方呢?
[00:00:41.500 --> 00:00:43.500]  沒有
[00:00:43.500 --> 00:00:47.000]  還有我們剛才沒有唱到的第四節
[00:00:47.000 --> 00:00:48.500]  第四節說什麼呢?
[00:00:48.500 --> 00:00:55.500]  「世徒荊棘消亡化祖為恩無怨乏答」
[00:00:55.500 --> 00:00:58.000]  耶穌基督第一次來臨
[00:00:58.000 --> 00:01:01.000]  有沒有所有的荊棘都消滅了?
[00:01:01.000 --> 00:01:04.000]  有沒有化詛咒成為神的恩典?
[00:01:04.000 --> 00:01:06.000]  都沒有
[00:01:06.000 --> 00:01:10.500]  所以這首歌其實是給耶穌基督第二次來臨
[00:01:10.500 --> 00:01:16.500]  所以我今天也要說有關耶穌基督再次來臨
[00:01:16.500 --> 00:01:20.500]  我們新近在說「使徒行傳」
[00:01:20.500 --> 00:01:23.000]  「使徒行傳」的一章六節
[00:01:23.000 --> 00:01:25.000]  當耶穌基督復活了之後
[00:01:25.000 --> 00:01:28.000]  門徒聚集問耶穌基督
[00:01:28.000 --> 00:01:33.000]  主啊!祢復興以色列國就在這時候嗎?
[00:01:33.000 --> 00:01:35.000]  當耶穌基督復活了之後
[00:01:35.000 --> 00:01:37.000]  門徒問耶穌基督
[00:01:37.000 --> 00:01:41.000]  現在是不是以色列復興的時候啊?
[00:01:41.000 --> 00:01:46.000]  耶穌基督在「使徒行傳」的一章七節怎樣回答呢?
[00:01:46.000 --> 00:01:51.000]  祂說「父貧著自己權並所定的時候
[00:01:51.000 --> 00:01:54.000]  日期不是你們可以知道的
[00:01:54.000 --> 00:01:57.000]  我這篇道叫做甚麼?
[00:01:57.000 --> 00:02:03.000]  這篇道叫做「末世耶穌基督在來的時間性和景象」
[00:02:03.000 --> 00:02:06.000]  如果我今天站在這裡跟大家說
[00:02:06.000 --> 00:02:10.000]  耶穌基督某年某月某日就會回來
[00:02:10.000 --> 00:02:12.000]  你們不要相信了
[00:02:12.000 --> 00:02:15.000]  我就變成了假先知了
[00:02:15.000 --> 00:02:19.000]  耶穌基督說沒有人能夠知道祂再次回來是甚麼時候
[00:02:19.000 --> 00:02:24.000]  但是有很多經文都給我們有些兆頭、有些概念
[00:02:24.000 --> 00:02:29.000]  可以知道耶穌基督回來大概是甚麼時候
[00:02:29.000 --> 00:02:32.000]  「使徒行傳」的三章二十至二十一節
[00:02:32.000 --> 00:02:34.000]  就是其中一節的經文
[00:02:34.000 --> 00:02:36.000]  是我們今天所讀的
[00:02:36.000 --> 00:02:41.000]  但其實我們今天主要的經文是利未記的二十五章是舊約
[00:02:41.000 --> 00:02:44.000]  等下會跟大家說利未記二十五章
[00:02:44.000 --> 00:02:48.000]  我們先看看「使徒行傳」的三章二十至二十一節
[00:02:48.000 --> 00:02:54.000]  「主也必差遣所預定給你們的基督耶穌降臨
[00:02:54.000 --> 00:02:59.000]  天必留他,等到萬物復興的時候
[00:02:59.000 --> 00:03:05.000]  就是神從創世以來直著聖先知的口所說的
[00:03:05.000 --> 00:03:13.000]  天會留住耶穌基督留到幾時?萬物復興的時候」
[00:03:13.000 --> 00:03:16.000]  甚麼是萬物復興的時候?
[00:03:16.000 --> 00:03:20.000]  這就是我們今天要說的「欺年」
[00:03:20.000 --> 00:03:22.000]  我們在看「欺年」之前
[00:03:22.000 --> 00:03:25.000]  我們先看看為甚麼我們需要復興
[00:03:25.000 --> 00:03:29.000]  在羅馬書的八章十九至二十節
[00:03:29.000 --> 00:03:37.000]  說所有創造的萬物都期待脫離因為人的罪所造成的詛咒
[00:03:37.000 --> 00:03:40.000]  原來我們現在在詛咒當中
[00:03:40.000 --> 00:03:43.000]  就是因為亞當夏娃的罪
[00:03:43.000 --> 00:03:45.000]  所以我們在詛咒當中
[00:03:45.000 --> 00:03:48.000]  羅馬書的八章二十二節也說
[00:03:48.000 --> 00:03:53.000]  「受造之物仍然指望脫離敗壞的痕跡」
[00:03:53.000 --> 00:03:55.000]  有甚麼痕跡?
[00:03:55.000 --> 00:03:58.000]  我們現在在撒旦的管理之下
[00:03:58.000 --> 00:04:00.000]  是有很多痕跡的
[00:04:00.000 --> 00:04:04.000]  在羅馬書的八章二十三節又說
[00:04:04.000 --> 00:04:09.000]  「一切受造之物一同嘆息:奴婦直到如今」
[00:04:09.000 --> 00:04:11.000]  有甚麼是奴婦?
[00:04:11.000 --> 00:04:15.000]  你想想就算你現在要去耕田
[00:04:15.000 --> 00:04:20.000]  你未耕田你先要將荊棘、野草全部拔掉
[00:04:20.000 --> 00:04:23.000]  為甚麼有那麼多荊棘、野草?
