
[00:00:00.000 --> 00:00:08.000]  今日的崇拜我們想開始一個新的課題
[00:00:08.000 --> 00:00:12.000]  叫做「舊酒新瓶」
[00:00:12.000 --> 00:00:20.000]  我們一起用幾次的分享去回顧和重溫一下
[00:00:20.000 --> 00:00:27.000]  在以往曾經大家都很喜歡的屬靈課題
[00:00:27.000 --> 00:00:34.000]  他們在今天的屬靈操練裏面還有什麼重要性和應該怎樣去理解
[00:00:34.000 --> 00:00:38.000]  我承認我不是一個懷舊的人
[00:00:38.000 --> 00:00:45.000]  不過在過去這三四年我實在是有一些擔憂
[00:00:45.000 --> 00:00:50.000]  一些現象我覺得說出來可能很坦白
[00:00:50.000 --> 00:00:54.000]  但是我也要和大家分享一下我內心的一些掙扎
[00:00:54.000 --> 00:00:59.000]  我開始看到香港的教會和信徒
[00:00:59.000 --> 00:01:03.000]  普遍是有一些現象
[00:01:03.000 --> 00:01:07.000]  這些現象令我有些擔心
[00:01:07.000 --> 00:01:13.000]  肯定是這幾年因為社會上發生很多的事
[00:01:13.000 --> 00:01:18.000]  所以基督徒普遍對社會很敏銳
[00:01:18.000 --> 00:01:23.000]  這個可以是很正常的、很正確的態度
[00:01:23.000 --> 00:01:27.000]  不過如果是這樣的話
[00:01:27.000 --> 00:01:34.000]  我們發覺基督徒和周圍的人好像沒什麼分別
[00:01:34.000 --> 00:01:36.000]  他們要謾罵的時候
[00:01:36.000 --> 00:01:40.000]  同樣的謾罵的態度是黑惡的時候
[00:01:40.000 --> 00:01:42.000]  和周圍的人一樣黑惡
[00:01:42.000 --> 00:01:44.000]  我覺得這個有點不對勁
[00:01:44.000 --> 00:01:50.000]  我們發覺開始在我們周圍的人的心目中
[00:01:50.000 --> 00:01:56.000]  我們基督徒開始失去了那種應該有令人羨慕、嚮往的氣質
[00:01:56.000 --> 00:02:00.000]  你記得在《使徒行傳》第二章說到初期教會
[00:02:00.000 --> 00:02:05.000]  他們就有這種吸引人的屬靈魅力
[00:02:05.000 --> 00:02:12.000]  周圍的人只不過在家裡查聖經和吃聖餐
[00:02:12.000 --> 00:02:18.000]  要相信神的人天天加給他們
[00:02:18.000 --> 00:02:27.000]  這種氣質好像在現代信徒身上看不見、消失了
[00:02:27.000 --> 00:02:34.000]  你說我們現代的信徒是有不同的氣質的
[00:02:34.000 --> 00:02:36.000]  我們不可以堅離地
[00:02:36.000 --> 00:02:38.000]  我沒有反對這件事
[00:02:38.000 --> 00:02:41.000]  不過到了一個地步
[00:02:41.000 --> 00:02:50.000]  我們發覺那個表現令我們有些困惑
[00:02:50.000 --> 00:02:54.000]  現在信徒好像我發覺普遍
[00:02:54.000 --> 00:02:59.000]  甚至連去教會的敬拜都覺得不是很興奮
[00:02:59.000 --> 00:03:01.000]  即是可有可無
[00:03:01.000 --> 00:03:03.000]  沒有興趣
[00:03:03.000 --> 00:03:08.000]  我經常想起詩篇122篇那裡說到
[00:03:08.000 --> 00:03:11.000]  詩人說人對我算
[00:03:11.000 --> 00:03:13.000]  我們去耶路撒冷神的聖殿
[00:03:13.000 --> 00:03:15.000]  他說我就很歡喜
[00:03:15.000 --> 00:03:18.000]  你不要想起敬拜就很歡喜
[00:03:18.000 --> 00:03:20.000]  有時我們有祈禱的
[00:03:20.000 --> 00:03:22.000]  不過我們祈禱都是懶懶行行
[00:03:22.000 --> 00:03:24.000]  那幾句
[00:03:24.000 --> 00:03:30.000]  重覆重覆那些自己都覺得很悶的課題去祈禱
[00:03:30.000 --> 00:03:32.000]  讀聖經
[00:03:32.000 --> 00:03:34.000]  隨便讀一下
[00:03:34.000 --> 00:03:38.000]  有些人說我有參加一些查經課程
[00:03:38.000 --> 00:03:40.000]  是呀我沒有反對
[00:03:40.000 --> 00:03:42.000]  這些都是很好的
[00:03:42.000 --> 00:03:44.000]  不過我亦都可以告訴你
[00:03:44.000 --> 00:03:46.000]  我見到很多情況
[00:03:46.000 --> 00:03:50.000]  有人參加了我們這些課程
[00:03:50.000 --> 00:03:54.000]  查經的聚會的時候
[00:03:54.000 --> 00:03:57.000]  研究的時候很精彩
[00:03:57.000 --> 00:03:59.000]  很投入
[00:03:59.000 --> 00:04:03.000]  不過研究之後對他的生活好像沒有什麼影響
[00:04:03.000 --> 00:04:07.000]  他要煩躁的時候仍然是煩躁
[00:04:07.000 --> 00:04:09.000]  他要憂慮的時候
[00:04:09.000 --> 00:04:11.000]  一樣是和以往一樣憂慮
[00:04:11.000 --> 00:04:17.000]  好像聖經沒有給他一種生命扭轉的力量
[00:04:17.000 --> 00:04:22.000]  這個我覺得是令我擔憂的
