
[00:00:00.000 --> 00:00:04.000]  領事館早安
[00:00:04.000 --> 00:00:08.000]  感謝主 亦多謝陳全圖給我機會
[00:00:08.000 --> 00:00:12.000]  陳全圖跟我說
[00:00:12.000 --> 00:00:16.000]  如果我在溫哥華的時間每個月就來溫播講一次崇拜
[00:00:16.000 --> 00:00:20.000]  會不會太多 好像多過你們同宮
[00:00:20.000 --> 00:00:24.000]  他說不會不會
[00:00:24.000 --> 00:00:28.000]  所以大家有什麼意見可以跟他講
[00:00:28.000 --> 00:00:32.000]  我都好像在這裡找到另外一個在海外生活的時間
[00:00:32.000 --> 00:00:36.000]  另一個屬靈的大家庭
[00:00:36.000 --> 00:00:40.000]  上一個月我在當中跟大家分享亞國書
[00:00:40.000 --> 00:00:44.000]  亦是大家退休會一個陪團會的時間
[00:00:44.000 --> 00:00:48.000]  在那裏亞國書第一章的訊息
[00:00:48.000 --> 00:00:52.000]  和今天我跟大家分享的馬拉福音第五章登山裏的八福
[00:00:52.000 --> 00:00:56.000]  很類似的訊息
[00:00:56.000 --> 00:01:00.000]  他講了一個令人難以理解和接受的說話
[00:01:00.000 --> 00:01:04.000]  你們落在百般試煉當中
[00:01:04.000 --> 00:01:08.000]  都要以為大喜樂 是不是傻的呢
[00:01:08.000 --> 00:01:12.000]  怎會落在患難困難很多人生的不幸裏面
[00:01:12.000 --> 00:01:16.000]  要大喜樂呢 是沒什麼可能的事
[00:01:16.000 --> 00:01:20.000]  同樣今天講有福的人生
[00:01:20.000 --> 00:01:24.000]  和我們所想像什麼是有福的人生呢
[00:01:24.000 --> 00:01:28.000]  都會有很大的落差 特別對我們中國人
[00:01:28.000 --> 00:01:32.000]  我們中國人認為什麼是有福呢
[00:01:32.000 --> 00:01:36.000]  招財進寶 特別是這樣的招財進寶
[00:01:36.000 --> 00:01:40.000]  我見到很多食肆都有這種東西
[00:01:40.000 --> 00:01:44.000]  這個就是表示好了 或者開心
[00:01:44.000 --> 00:01:48.000]  如果沒有那麼物質的 我都希望心靈上
[00:01:48.000 --> 00:01:52.000]  快快樂樂的才是有福的人生
[00:01:52.000 --> 00:01:56.000]  我相信你們順風順水
[00:01:56.000 --> 00:02:00.000]  不要太多挫折困難
[00:02:00.000 --> 00:02:04.000]  我相信我們對我們下一代都是這樣期望
[00:02:04.000 --> 00:02:08.000]  我們希望他們都是這樣的人生
[00:02:08.000 --> 00:02:12.000]  但是在今天的八福裏面講到貧窮的
[00:02:12.000 --> 00:02:16.000]  心靈貧窮的有福的
[00:02:16.000 --> 00:02:20.000]  誰會想到貧窮的有福呢
[00:02:20.000 --> 00:02:26.000]  更加難以想像 怎麼會一個苦口苦面
[00:02:26.000 --> 00:02:30.000]  經常哭的人 很不開心的人會有福的人呢
[00:02:30.000 --> 00:02:34.000]  和一個快快樂樂平平安安的人是剛剛相反的
[00:02:34.000 --> 00:02:40.000]  或者是受逼迫 怎麼會受逼迫會有福呢
[00:02:40.000 --> 00:02:44.000]  逼迫人已經不是那麼好了
[00:02:44.000 --> 00:02:48.000]  被逼迫的人更加談不上有福的人
