
[00:00:00.000 --> 00:00:05.000]  各位電影姊妹 主禮平安
[00:00:05.000 --> 00:00:10.000]  上星期在風雨交加的主日
[00:00:10.000 --> 00:00:15.000]  沙宣慶祝40週年堂慶
[00:00:15.000 --> 00:00:21.000]  如果你錯過了 明年記得要參加
[00:00:21.000 --> 00:00:27.000]  在40年前的9月 我們在沙角村
[00:00:27.000 --> 00:00:33.000]  開始第一次崇拜44個人 如果我沒有記錯
[00:00:33.000 --> 00:00:39.000]  感謝神 過去40年是很大的恩典
[00:00:39.000 --> 00:00:46.000]  今年沙宣慶40週年 我們來到最後的
[00:00:46.000 --> 00:00:52.000]  一講追本溯源的第六堂
[00:00:52.000 --> 00:01:00.000]  趙陽齊尼 很熟悉的經文
[00:01:00.000 --> 00:01:07.000]  我也想讀給你聽 如果你記得可以跟我一起背
[00:01:07.000 --> 00:01:12.000]  如果不是的話你可以聽約翰福音第20章
[00:01:12.000 --> 00:01:18.000]  第19節到21節
[00:01:18.000 --> 00:01:23.000]  那天就是七天的第一天晚上
[00:01:23.000 --> 00:01:28.000]  門徒所在的地方因怕猶太人門都關了
[00:01:28.000 --> 00:01:33.000]  耶穌來站在當中對他們說:願你們平安
[00:01:33.000 --> 00:01:38.000]  說了這話 就把手和肋旁指給他們看
[00:01:38.000 --> 00:01:43.000]  門徒看見主就喜樂了
[00:01:43.000 --> 00:01:50.000]  他們說:願你們平安 父怎樣差遣了我
[00:01:50.000 --> 00:01:56.000]  我也照樣差遣你們
[00:01:56.000 --> 00:02:04.000]  志願弟兄剛才所分享的其實和這一句的金句
[00:02:04.000 --> 00:02:12.000]  是很有連貫的意思和味道
[00:02:12.000 --> 00:02:20.000]  40年前 沙宣在1983年的7月、8月
[00:02:20.000 --> 00:02:27.000]  18位弟兄姊妹我們每個星期三晚在塞伊的家
[00:02:27.000 --> 00:02:34.000]  一起同心抱高 戰經迎向沙田社區
[00:02:34.000 --> 00:02:42.000]  百萬人口的機遇和挑戰
[00:02:42.000 --> 00:02:48.000]  沙田的人口增長是大家都知道的
[00:02:48.000 --> 00:02:55.000]  但你一定猜不到其實沙宣進來沙田
[00:02:55.000 --> 00:03:00.000]  從83年開始的這十年
[00:03:00.000 --> 00:03:04.000]  就是正正適逢其會
[00:03:04.000 --> 00:03:13.000]  沙田人口從23萬到86萬
[00:03:13.000 --> 00:03:16.000]  這個數字不是我作出來的
[00:03:16.000 --> 00:03:23.000]  是當年我們去市區辦公室 沙田
[00:03:23.000 --> 00:03:31.000]  在那裡找資料 是政府的城市規劃
[00:03:31.000 --> 00:03:34.000]  所以我們找的時候是23萬人
