
[00:00:00.000 --> 00:00:08.120]  新年期間我有機會和不同的人接觸
[00:00:08.120 --> 00:00:13.480]  亦有機會探望一些很久沒有回到教會的老人家
[00:00:13.480 --> 00:00:17.000]  另一方面在新年期間和一些人接觸的時候
[00:00:17.000 --> 00:00:20.000]  我才發覺有很多人同樣發出同一個問題
[00:00:20.000 --> 00:00:24.000]  為什麼今年農曆年災難特別多呢?
[00:00:24.000 --> 00:00:25.720]  的確在我的印象中
[00:00:25.720 --> 00:00:32.400]  今年的農曆新年可算是世上非戰爭時期最多災多難的一年
[00:00:32.400 --> 00:00:34.400]  我不知道大家同不同意
[00:00:34.400 --> 00:00:37.400]  7.9級在印度的大地震
[00:00:37.400 --> 00:00:40.400]  死亡人數恐怕超過12萬以上
[00:00:40.400 --> 00:00:44.400]  世上被埋在瓦礫的人日子越久生存機會越少
[00:00:44.400 --> 00:00:46.400]  有些宣教士去完那邊
[00:00:46.400 --> 00:00:48.400]  有些醫療人員去完那邊
[00:00:48.400 --> 00:00:50.400]  回來的電郵和我們說的時候
[00:00:50.400 --> 00:00:54.200]  去到一些村子整條村子沒有一間屋不倒
[00:00:54.200 --> 00:00:56.200]  全部倒了
[00:00:56.200 --> 00:00:57.200]  主要原因在那裡呢?
[00:00:57.200 --> 00:00:58.200]  因為那些村子很落後
[00:00:58.200 --> 00:01:01.200]  用的磚全部是泥磚
[00:01:01.200 --> 00:01:02.200]  泥而已
[00:01:02.200 --> 00:01:04.200]  所以鬆一鬆,搖一搖
[00:01:04.200 --> 00:01:05.200]  整間就散了
[00:01:05.200 --> 00:01:07.200]  整間就這樣倒了下來
[00:01:07.200 --> 00:01:09.200]  而實際上無數的地方
[00:01:09.200 --> 00:01:13.200]  到現在為止還沒有救災隊去救得到
[00:01:13.200 --> 00:01:15.200]  所以我希望大家禱告的時候
[00:01:15.200 --> 00:01:19.200]  現在救的就是新聞報紙賣到哪裡就救到哪裡
[00:01:19.200 --> 00:01:21.200]  沒人去就沒人救了
[00:01:21.200 --> 00:01:22.200]  差不多現在是這樣
[00:01:22.200 --> 00:01:26.200]  所以因為這樣很需要大家在禱告裡面紀念
[00:01:26.200 --> 00:01:27.200]  另一方面呢
[00:01:27.200 --> 00:01:29.200]  內蒙的風雪
[00:01:29.200 --> 00:01:31.200]  我聽一位姐妹說
[00:01:31.200 --> 00:01:34.200]  是50年來最嚴重的一次
[00:01:34.200 --> 00:01:35.200]  就是西北的地方
[00:01:35.200 --> 00:01:38.200]  有些積雪去到6尺,7尺,甚至8尺
[00:01:38.200 --> 00:01:42.200]  甚至無數的人在家裡當他們的糧用盡了
[00:01:42.200 --> 00:01:44.200]  煤用盡,碳用盡
[00:01:44.200 --> 00:01:46.200]  又出不去買的時候
[00:01:46.200 --> 00:01:49.200]  就在家裡變成冰糕條
[00:01:49.200 --> 00:01:52.200]  你蓋成6張棉袋都不暖的那種
[00:01:52.200 --> 00:01:54.200]  這個也是給我們看得見很大的問題
[00:01:54.200 --> 00:01:55.200]  還有一些車
[00:01:55.200 --> 00:01:57.200]  就在這個路上死了火
