
[00:00:00.000 --> 00:00:04.000]  我們看以色列的利希米記
[00:00:04.000 --> 00:00:08.000]  現在來到高潮的高潮
[00:00:08.000 --> 00:00:11.000]  十二章剛才我們所讀的經文
[00:00:11.000 --> 00:00:15.000]  提到耶路撒冷城牆
[00:00:15.000 --> 00:00:17.000]  這裡古老一點
[00:00:17.000 --> 00:00:19.000]  翻譯做高城
[00:00:19.000 --> 00:00:22.000]  大公高城之禮
[00:00:22.000 --> 00:00:24.000]  其實可以翻譯做
[00:00:24.000 --> 00:00:26.000]  我們今天大家都會明白的
[00:00:26.000 --> 00:00:28.000]  叫做奉獻禮
[00:00:28.000 --> 00:00:34.000]  教會有新唐樂城奉獻禮
[00:00:34.000 --> 00:00:38.000]  北約華基新唐奉獻禮
[00:00:38.000 --> 00:00:40.000]  你有沒有去參加
[00:00:40.000 --> 00:00:42.000]  這是很高興的事情
[00:00:42.000 --> 00:00:46.000]  整個記載其實去到結束的時候
[00:00:46.000 --> 00:00:48.000]  你有沒有留意到
[00:00:48.000 --> 00:00:51.000]  在十二章的四十三節
[00:00:51.000 --> 00:00:55.000]  那裡重複提到
[00:00:55.000 --> 00:01:02.000]  眾人因為獻盛大的祭禮而歡樂
[00:01:02.000 --> 00:01:04.000]  這是第一次提歡樂
[00:01:04.000 --> 00:01:09.000]  因為神使他們大大歡樂
[00:01:09.000 --> 00:01:11.000]  第二次提歡樂
[00:01:11.000 --> 00:01:17.000]  然後婦女孩童也都歡樂
[00:01:17.000 --> 00:01:20.000]  第三次重複
[00:01:20.000 --> 00:01:23.000]  一而再再而三提歡樂
[00:01:23.000 --> 00:01:26.000]  還不夠中文翻譯來到這裡
[00:01:26.000 --> 00:01:28.000]  我想他Fat up了
[00:01:28.000 --> 00:01:32.000]  所以第四次他就譯耶路撒冷歡聲
[00:01:32.000 --> 00:01:35.000]  歡樂的聲音
[00:01:35.000 --> 00:01:41.000]  第四次重複說歡樂
[00:01:41.000 --> 00:01:46.000]  一個盛大的慶祝典禮
[00:01:46.000 --> 00:01:52.000]  最重要的原來是歡樂
[00:01:52.000 --> 00:01:57.000]  這個歡樂是從心裡湧出來的
[00:01:57.000 --> 00:02:02.000]  不是氣氛製造出來的
[00:02:02.000 --> 00:02:05.000]  分不分得到這兩種不同的情況
[00:02:05.000 --> 00:02:09.000]  有些情形下大家都好像很歡樂
[00:02:09.000 --> 00:02:13.000]  不過其實心裡有很多埋怨
[00:02:13.000 --> 00:02:15.000]  又是我做這件事
[00:02:15.000 --> 00:02:16.000]  又是我一個人在做
[00:02:16.000 --> 00:02:18.000]  別人都不幫忙
[00:02:18.000 --> 00:02:19.000]  你們就歡樂
[00:02:19.000 --> 00:02:20.000]  不過我不歡樂
[00:02:20.000 --> 00:02:22.000]  每個人心裡這樣想
[00:02:22.000 --> 00:02:24.000]  其實就沒什麼歡樂
[00:02:24.000 --> 00:02:28.000]  但是你留意到這一處記載的
[00:02:28.000 --> 00:02:30.000]  其實那個歡樂
[00:02:30.000 --> 00:02:33.000]  從他們獻祭開始
[00:02:33.000 --> 00:02:41.000]  包括婦女和小孩子
[00:02:41.000 --> 00:02:44.000]  這裡有兩個意思
[00:02:44.000 --> 00:02:46.000]  第一個意思就是
[00:02:46.000 --> 00:02:52.000]  你讀他們那兩隊清謝的隊伍
[00:02:52.000 --> 00:02:54.000]  裡面沒有小孩子
[00:02:54.000 --> 00:02:55.000]  對不起
