
[00:00:00.000 --> 00:00:03.000]  多謝施先生這麼美麗的一年的詩歌
[00:00:03.000 --> 00:00:05.500]  在一年快要結束的時候
[00:00:05.500 --> 00:00:09.000]  我們再一次透過詩歌回想
[00:00:09.000 --> 00:00:12.500]  神賜給我們的平安
[00:00:12.500 --> 00:00:17.000]  賜給我們心靈裏面的安穩
[00:00:17.000 --> 00:00:22.000]  這個真是我們人生裏面最大的福氣
[00:00:22.000 --> 00:00:25.000]  尤其是我們在多變的一年之後
[00:00:25.000 --> 00:00:28.000]  我們可以再一次聽見有
[00:00:28.000 --> 00:00:32.000]  安穩、有平安的訊息
[00:00:32.000 --> 00:00:35.000]  還有幾個小時我們就開始新的一年了
[00:00:35.000 --> 00:00:38.000]  不如我在這裏先祝大家新的一年
[00:00:38.000 --> 00:00:41.000]  是新年蒙福
[00:00:41.000 --> 00:00:43.000]  大家一起在整個因典當中
[00:00:43.000 --> 00:00:46.000]  2012年新的一年
[00:00:46.000 --> 00:00:49.000]  新的因典、新的經歷
[00:00:49.000 --> 00:00:52.000]  我們今天就選一段聖經
[00:00:52.000 --> 00:00:54.000]  就是剛才我們所讀的那段聖經
[00:00:54.000 --> 00:00:56.000]  我相信都是很適合在我們
[00:00:56.000 --> 00:00:59.000]  期待新的一年的時候
[00:00:59.000 --> 00:01:02.000]  一起思想的經文
[00:01:02.000 --> 00:01:06.000]  所以大家請大家打開剛才的羅馬書第八章
[00:01:06.000 --> 00:01:08.000]  羅馬書第八章在大家
[00:01:08.000 --> 00:01:12.000]  唐用聖經的1600
[00:01:12.000 --> 00:01:14.000]  我們由94頁開始
[00:01:14.000 --> 00:01:16.000]  95頁剛才我們讀
[00:01:16.000 --> 00:01:18.000]  但今天我們的聖經
[00:01:18.000 --> 00:01:22.000]  其實可以由第26節開始
[00:01:22.000 --> 00:01:24.000]  羅馬書第八章
[00:01:24.000 --> 00:01:34.000]  我們唐用聖經的1694頁至95頁
[00:01:34.000 --> 00:01:38.000]  這些頁數是很難讀的
[00:01:38.000 --> 00:01:41.000]  羅馬書第八章的下半章聖經
[00:01:41.000 --> 00:01:44.000]  我相信大家可能很多頂字會都很熟
[00:01:44.000 --> 00:01:47.000]  我相信是一個很偉大的篇章
[00:01:47.000 --> 00:01:50.000]  羅馬書第八章是很偉大的篇章
[00:01:50.000 --> 00:01:52.000]  剛才我們讀的時候
[00:01:52.000 --> 00:01:55.000]  每一次讀都得到很大的鼓勵
[00:01:55.000 --> 00:01:57.000]  我們說這段聖經
[00:01:57.000 --> 00:02:01.000]  一方面充滿了一種現實的悲情
[00:02:01.000 --> 00:02:06.000]  另一方面又充滿了一種樂觀
[00:02:06.000 --> 00:02:09.000]  一種盼望的樂觀
[00:02:09.000 --> 00:02:10.000]  為什麼呢?
[00:02:10.000 --> 00:02:13.000]  不如我們用時間來看看這段聖經
