
[00:00:00.000 --> 00:00:02.000]  頂住會平安
[00:00:02.000 --> 00:00:05.000]  剛才我們讀了一段很美麗的
[00:00:05.000 --> 00:00:07.000]  肅靈的描述
[00:00:07.000 --> 00:00:09.000]  今天我們的主角
[00:00:09.000 --> 00:00:11.000]  就是約西亞
[00:00:11.000 --> 00:00:12.000]  做西亞
[00:00:12.000 --> 00:00:13.000]  約西亞王
[00:00:13.000 --> 00:00:15.000]  在他的領導下
[00:00:15.000 --> 00:00:16.000]  以色列的民族
[00:00:16.000 --> 00:00:18.000]  尤其是當時的猶大國
[00:00:18.000 --> 00:00:21.000]  有一個很大的復興
[00:00:21.000 --> 00:00:22.000]  如果剛才你讀的時候
[00:00:22.000 --> 00:00:23.000]  你會留意到
[00:00:23.000 --> 00:00:25.000]  很美麗
[00:00:25.000 --> 00:00:29.000]  是王自己親自來主持
[00:00:29.000 --> 00:00:33.000]  親自來將在聖殿裏面
[00:00:33.000 --> 00:00:34.000]  找出來的約書
[00:00:34.000 --> 00:00:36.000]  就是神自己的說話
[00:00:36.000 --> 00:00:38.000]  來中讀給眾民聽
[00:00:38.000 --> 00:00:40.000]  對他們有要求
[00:00:40.000 --> 00:00:42.000]  對他們有挑戰
[00:00:42.000 --> 00:00:43.000]  有鼓勵
[00:00:43.000 --> 00:00:45.000]  然後大家的心就回到
[00:00:45.000 --> 00:00:48.000]  這個神的標準底下
[00:00:48.000 --> 00:00:50.000]  然後就和神立約
[00:00:50.000 --> 00:00:52.000]  然後他們是定義的
[00:00:52.000 --> 00:00:54.000]  要跟隨神
[00:00:54.000 --> 00:00:55.000]  聖經說
[00:00:55.000 --> 00:00:58.000]  在約西亞王在位的時候
[00:00:58.000 --> 00:00:59.000]  當他做王的時候
[00:00:59.000 --> 00:01:01.000]  以色列的民眾
[00:01:01.000 --> 00:01:03.000]  大家都歸回神
[00:01:03.000 --> 00:01:04.000]  整個心
[00:01:04.000 --> 00:01:06.000]  全國的信仰
[00:01:06.000 --> 00:01:09.000]  都是重建起來
[00:01:09.000 --> 00:01:11.000]  今天我們一起研究一下
[00:01:11.000 --> 00:01:13.000]  這個約西亞王
[00:01:13.000 --> 00:01:15.000]  可能對於很多影子們來說
[00:01:15.000 --> 00:01:17.000]  約西亞王都不是很熟悉的
[00:01:17.000 --> 00:01:18.000]  一個皇帝
[00:01:18.000 --> 00:01:19.000]  不要緊
