
[00:00:00.000 --> 00:00:03.560]  跟大家拜完年就說回今天的題目
[00:00:03.560 --> 00:00:05.680]  就是聞雞禱告
[00:00:05.680 --> 00:00:10.400]  因為我知道大家今年一定會有很多機會聞到
[00:00:10.400 --> 00:00:12.400]  聽到 吃到
[00:00:12.400 --> 00:00:14.200]  聞呢 聽的聞
[00:00:14.200 --> 00:00:16.880]  還有這個聞呢 吃到很多關於雞的東西
[00:00:16.880 --> 00:00:19.200]  我想大家一想起雞呢
[00:00:19.200 --> 00:00:20.960]  就可以禱告
[00:00:20.960 --> 00:00:22.640]  試一下做不做到
[00:00:22.640 --> 00:00:26.080]  因為其實在耶穌也說了很多
[00:00:26.080 --> 00:00:26.880]  也不是很多
[00:00:26.880 --> 00:00:28.960]  但是耶穌有說到關於供雞
[00:00:28.960 --> 00:00:31.320]  有說到關於母雞
[00:00:31.320 --> 00:00:33.680]  有說到關於小雞的東西
[00:00:33.680 --> 00:00:36.560]  我們今天就從耶穌說的一些說話
[00:00:36.560 --> 00:00:38.720]  和一些四字詞語
[00:00:38.720 --> 00:00:42.400]  或者一些諺語去談論關於雞
[00:00:42.400 --> 00:00:44.880]  第一個好像不是很好
[00:00:44.880 --> 00:00:46.880]  雞犬不寧
[00:00:46.880 --> 00:00:50.360]  可以說明明年 因為明年是九年
[00:00:50.360 --> 00:00:52.360]  雞犬不寧 為什麼這樣說呢
[00:00:52.360 --> 00:00:55.360]  第一個用來形容耶穌來到這個世界
[00:00:55.360 --> 00:00:56.560]  我覺得是對的
[00:00:56.560 --> 00:00:59.120]  因為上一次我們在聖誕節的時候
[00:00:59.120 --> 00:01:00.560]  我們說到 也說到
[00:01:00.560 --> 00:01:03.680]  耶穌就是那個光
[00:01:03.680 --> 00:01:05.040]  在約翰福音一章五節
[00:01:05.040 --> 00:01:07.680]  他說 光照在黑暗裡面
[00:01:07.680 --> 00:01:10.080]  黑暗卻不接受光
[00:01:10.080 --> 00:01:12.800]  耶穌來到這個醜惡的世界
[00:01:12.800 --> 00:01:15.520]  祂就要令到這個世界不舒服
[00:01:15.520 --> 00:01:16.640]  不開心
[00:01:16.640 --> 00:01:18.880]  讓人有個反省的機會
[00:01:18.880 --> 00:01:19.920]  但是可惜
[00:01:19.920 --> 00:01:22.160]  我相信大家現在每天看聖經的時候
[00:01:22.160 --> 00:01:23.760]  我們在看《馬太福音》
[00:01:23.760 --> 00:01:25.920]  你可能會覺得 為什麼這樣呢
[00:01:25.920 --> 00:01:29.360]  耶穌去到哪裡都被人趕
[00:01:29.360 --> 00:01:32.720]  耶穌去到哪裡都有人想祂死
[00:01:32.720 --> 00:01:35.120]  一個這麼好的人 為什麼會這樣做
[00:01:35.120 --> 00:01:37.200]  原來耶穌自己也有說
[00:01:37.200 --> 00:01:39.760]  祂在《馬太福音》十章三十四節說
[00:01:39.760 --> 00:01:44.080]  你們不要想我來是要叫地上太平
[00:01:44.080 --> 00:01:47.040]  我來不是叫地上太平
[00:01:47.040 --> 00:01:50.240]  而是叫地上動刀兵
[00:01:50.240 --> 00:01:53.280]  有一次本來聖殿
[00:01:53.280 --> 00:01:56.320]  就是神的殿本來好好的
[00:01:56.320 --> 00:01:58.400]  好好的是那些人覺得的
[00:01:58.400 --> 00:01:59.280]  你看看
[00:01:59.280 --> 00:02:03.200]  但是耶穌一來就令到他們雞犬不寧
[00:02:03.200 --> 00:02:05.920]  令到他們雞飛狗走
[00:02:05.920 --> 00:02:08.480]  在《馬太福音》描述都很細緻
[00:02:08.480 --> 00:02:11.040]  在二章十三到十六節說
[00:02:11.040 --> 00:02:13.440]  猶太人的愉悅節近了
[00:02:13.440 --> 00:02:16.000]  耶穌就上耶路撒冷去
[00:02:16.000 --> 00:02:21.520]  看見殿裡面有賣牛羊鴿子
[00:02:21.520 --> 00:02:24.560]  並有兌換銀錢的人坐在那裡
[00:02:24.560 --> 00:02:27.280]  耶穌就立刻拿起繩子
[00:02:27.280 --> 00:02:28.960]  做成鞭子
[00:02:28.960 --> 00:02:32.000]  把牛羊都趕出去
[00:02:32.000 --> 00:02:35.600]  推倒那些兌換銀錢的櫃位
[00:02:35.600 --> 00:02:36.800]  那些桌子
[00:02:36.800 --> 00:02:38.800]  又對賣鴿子的人說
[00:02:38.800 --> 00:02:40.720]  把這些東西拿走
[00:02:40.720 --> 00:02:46.080]  不要把我付的電當作買賣的地方
[00:02:46.080 --> 00:02:50.320]  為什麼祭司長和長老會容許人
[00:02:50.320 --> 00:02:53.360]  在聖殿做買賣呢
[00:02:53.360 --> 00:02:56.800]  那時候是猶太人準備去過節
[00:02:56.800 --> 00:02:58.880]  猶太人每年都會在聖殿裡面
[00:02:58.880 --> 00:03:00.640]  去過愉悅節
[00:03:00.640 --> 00:03:04.000]  他們會敬拜 會獻祭 會奉獻
[00:03:04.000 --> 00:03:06.160]  他們每一個人都要帶著自己
[00:03:06.160 --> 00:03:08.800]  去獻給上帝的物品
[00:03:08.800 --> 00:03:10.320]  有牛 羊等等
[00:03:10.320 --> 00:03:12.160]  而舊約規定
[00:03:12.160 --> 00:03:14.800]  那些牛羊是不可以有殘疾的
[00:03:14.800 --> 00:03:17.200]  要把最好的給上帝
[00:03:17.200 --> 00:03:20.080]  那時候可能很多人從四面八方
[00:03:20.080 --> 00:03:22.080]  去到聖殿
[00:03:22.080 --> 00:03:23.840]  可能帶了些牛羊來
[00:03:23.840 --> 00:03:25.200]  如果有問題
[00:03:25.200 --> 00:03:28.480]  因為當時是有些祭司要負責去檢查
[00:03:28.480 --> 00:03:31.200]  那些到底可不可以獻給上帝
[00:03:31.200 --> 00:03:33.360]  如果千里迢迢去到
[00:03:33.360 --> 00:03:35.440]  接著不批核
[00:03:35.440 --> 00:03:37.600]  結果又要回去再拿
[00:03:37.600 --> 00:03:40.400]  慢慢地人就覺得這樣不是太好
[00:03:40.400 --> 00:03:43.680]  所以聖殿就有一種買賣出來
[00:03:43.680 --> 00:03:46.800]  就是說有些人已經找了
[00:03:46.800 --> 00:03:49.120]  已經審批了
[00:03:49.120 --> 00:03:50.880]  有質素保證的
[00:03:50.880 --> 00:03:52.160]  就在聖殿裏面
[00:03:52.160 --> 00:03:55.200]  然後就給人來做買賣
[00:03:55.200 --> 00:03:56.400]  這是第一個
[00:03:56.400 --> 00:03:57.840]  第二個就是猶太人
[00:03:57.840 --> 00:04:00.160]  要納聖殿稅
[00:04:00.160 --> 00:04:02.080]  半赦夏勒銀紙
[00:04:02.080 --> 00:04:04.080]  等於他們兩日工資
[00:04:04.080 --> 00:04:08.400]  大家知道羅馬帝國所用的錢幣
[00:04:08.400 --> 00:04:11.760]  是有凱撒的象和號
[00:04:11.760 --> 00:04:14.720]  所以是不可以奉獻的
[00:04:14.720 --> 00:04:19.840]  他們就要兌換純度極高的赦夏勒銀紙
[00:04:19.840 --> 00:04:22.400]  是屬於聖殿專用的貨幣
[00:04:22.400 --> 00:04:24.160]  就在這裏
[00:04:24.160 --> 00:04:26.800]  也讓人有機會做買賣
[00:04:26.800 --> 00:04:28.320]  因為現在兌換
