
[00:00:00.000 --> 00:00:07.680]  今天我們試想的經文是剛才我們所讀的一段聖經
[00:00:07.680 --> 00:00:09.220]  就是新約的
[00:00:09.220 --> 00:00:12.020]  提多書的第二章
[00:00:12.020 --> 00:00:18.420]  提多書的第二章是大家唐用聖經是1803頁
[00:00:18.420 --> 00:00:23.040]  1803頁提多書的第二章
[00:00:23.040 --> 00:00:27.380]  找到的時候請大家就打開
[00:00:27.640 --> 00:00:30.960]  我們比較仔細看一看這段聖經
[00:00:30.960 --> 00:00:39.160]  我是會多些用這個新譯本來跟大家講解大家可以看新譯本和學本的對焦
[00:00:39.160 --> 00:00:47.600]  大家都知道我們教會的主題是使命的教會我們要反思使命的教會
[00:00:47.600 --> 00:00:49.400]  使命的人生
[00:00:49.400 --> 00:00:52.460]  使命的教會是由一群
[00:00:52.460 --> 00:00:56.820]  有使命人生的成員我們的頂展會組成
[00:00:57.340 --> 00:01:00.400]  所以大家知道使命教會不是屬於萬木師的
[00:01:00.400 --> 00:01:03.220]  不是屬於蕭牧師的
[00:01:03.220 --> 00:01:05.780]  不是屬於執事會的是你和我
[00:01:05.780 --> 00:01:09.360]  有使命人生的信徒就有使命的教會
[00:01:09.360 --> 00:01:12.960]  如果沒有使命人生的你和我一些的弟兄姊妹
[00:01:12.960 --> 00:01:15.520]  組成一個教會搞什麼都沒有
[00:01:15.520 --> 00:01:20.120]  很多這個世界很多這些節目搞來搞去的
[00:01:20.120 --> 00:01:25.760]  所以我們知道什麼叫使命人生今天我想和大家看使命的人生
[00:01:26.020 --> 00:01:27.560]  提多書的第二章
[00:01:27.560 --> 00:01:31.140]  我想剛才你讀這段聖經的時候都看到
[00:01:31.140 --> 00:01:34.460]  保羅去提醒幾類的人
[00:01:34.460 --> 00:01:38.040]  剛才如果留心你會知道五類的人
[00:01:38.040 --> 00:01:39.580]  有年老的
[00:01:39.580 --> 00:01:41.380]  只是男人
[00:01:41.380 --> 00:01:44.200]  有年老的婦女
[00:01:44.200 --> 00:01:46.240]  有年輕的婦女
[00:01:46.240 --> 00:01:48.800]  有年輕的男人
[00:01:48.800 --> 00:01:53.160]  還有5種的人
[00:01:53.660 --> 00:01:57.500]  我會和大家稍微看看這五類的人
[00:01:57.500 --> 00:02:01.860]  聖經是藉著保羅去提醒他們什麼
[00:02:01.860 --> 00:02:04.400]  不過最重要
[00:02:04.400 --> 00:02:05.940]  如果你
[00:02:05.940 --> 00:02:12.080]  看到剛才我們所讀的那段聖經每一類的人有時可能很短的幾句說話
[00:02:12.080 --> 00:02:15.160]  你看見其實有一個pattern
[00:02:15.160 --> 00:02:17.460]  有一個模式在
[00:02:17.460 --> 00:02:19.780]  這個模式是什麼呢
[00:02:20.040 --> 00:02:24.640]  當聖經神的話語對每一類的人來說的時候
[00:02:24.640 --> 00:02:27.200]  有兩個方向的
[00:02:27.200 --> 00:02:29.520]  大家就算什麼都不記得你走之後
[00:02:29.520 --> 00:02:31.820]  今天我們看聖經有兩個方向
[00:02:31.820 --> 00:02:36.420]  每一類人的教導提醒有兩個方向
[00:02:36.420 --> 00:02:37.440]  一個
[00:02:37.440 --> 00:02:40.520]  就是你這種的人你這種生活
[00:02:40.520 --> 00:02:42.320]  你現在是這個角色
[00:02:42.320 --> 00:02:46.660]  大部分的人都會墮落的這樣的方式墮落的
[00:02:46.660 --> 00:02:48.460]  不過你是不可以這樣墮落
[00:02:49.220 --> 00:02:51.520]  然後大部分人都是這樣生活
[00:02:51.520 --> 00:02:54.860]  不過你要比那些人生活得更加
[00:02:54.860 --> 00:02:58.180]  有美得更加好
[00:02:58.180 --> 00:02:59.720]  就是一個向上
[00:02:59.720 --> 00:03:01.760]  向下的力量
[00:03:01.760 --> 00:03:04.840]  其實如果你這樣想你就知道這個就是使命人生
[00:03:04.840 --> 00:03:10.200]  什麼叫使命人生呢使命人生不是說我有使命人生
[00:03:10.200 --> 00:03:12.000]  我們做一件大事出來
[00:03:12.000 --> 00:03:15.580]  我就要不要做現在的工作做個大一點的
[00:03:15.840 --> 00:03:19.940]  去搏一個更高的位或者做一些另外的事不是
[00:03:19.940 --> 00:03:21.980]  使命的人生
[00:03:21.980 --> 00:03:25.320]  我相信大家都知道我再講一次
[00:03:25.320 --> 00:03:27.860]  就是不甘於平凡
[00:03:27.860 --> 00:03:31.460]  一個是使命的人生就是不甘於平凡
